Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	2.0	5.0	150	15000	rebshr1	Red-backed Shrike	0.1217
2	Spectrogram 1	1	4.0	7.0	150	15000	rebshr1	Red-backed Shrike	0.1027
3	Spectrogram 1	1	8.0	11.0	150	15000	rebshr1	Red-backed Shrike	0.1249
4	Spectrogram 1	1	14.0	17.0	150	15000	rebshr1	Red-backed Shrike	0.1098
5	Spectrogram 1	1	16.0	19.0	150	15000	rebshr1	Red-backed Shrike	0.1070
6	Spectrogram 1	1	24.0	27.0	150	15000	rebshr1	Red-backed Shrike	0.1270
7	Spectrogram 1	1	26.0	29.0	150	15000	rebshr1	Red-backed Shrike	0.1062
8	Spectrogram 1	1	28.0	31.0	150	15000	rebshr1	Red-backed Shrike	0.1147
9	Spectrogram 1	1	30.0	33.0	150	15000	rebshr1	Red-backed Shrike	0.1077
10	Spectrogram 1	1	32.0	35.0	150	15000	grnsan	Green Sandpiper	0.1057
11	Spectrogram 1	1	36.0	39.0	150	15000	reebun	Reed Bunting	0.1038
12	Spectrogram 1	1	36.0	39.0	150	15000	rebshr1	Red-backed Shrike	0.1035
13	Spectrogram 1	1	40.0	43.0	150	15000	rebshr1	Red-backed Shrike	0.1044
14	Spectrogram 1	1	42.0	45.0	150	15000	rebshr1	Red-backed Shrike	0.1083
15	Spectrogram 1	1	46.0	49.0	150	15000	rebshr1	Red-backed Shrike	0.1062
16	Spectrogram 1	1	50.0	53.0	150	15000	rebshr1	Red-backed Shrike	0.1042
17	Spectrogram 1	1	52.0	55.0	150	15000	rebshr1	Red-backed Shrike	0.1031
18	Spectrogram 1	1	54.0	57.0	150	15000	rebshr1	Red-backed Shrike	0.1459
19	Spectrogram 1	1	56.0	59.0	150	15000	rebshr1	Red-backed Shrike	0.1158
