Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	comchi1	Common Chiffchaff	0.5805
2	Spectrogram 1	1	2.0	5.0	150	15000	cirbun1	Cirl Bunting	0.3362
3	Spectrogram 1	1	4.0	7.0	150	15000	trepip	Tree Pipit	0.7639
4	Spectrogram 1	1	6.0	9.0	150	15000	trepip	Tree Pipit	0.8717
5	Spectrogram 1	1	8.0	11.0	150	15000	grewhi1	Greater Whitethroat	0.2275
6	Spectrogram 1	1	8.0	11.0	150	15000	garwar1	Garden Warbler	0.1416
7	Spectrogram 1	1	8.0	11.0	150	15000	melwar1	Melodious Warbler	0.1268
8	Spectrogram 1	1	10.0	13.0	150	15000	blackc1	Eurasian Blackcap	0.4902
9	Spectrogram 1	1	14.0	17.0	150	15000	trepip	Tree Pipit	0.3492
10	Spectrogram 1	1	16.0	19.0	150	15000	trepip	Tree Pipit	0.4701
11	Spectrogram 1	1	18.0	21.0	150	15000	comchi1	Common Chiffchaff	0.5032
12	Spectrogram 1	1	22.0	25.0	150	15000	trepip	Tree Pipit	0.8824
13	Spectrogram 1	1	24.0	27.0	150	15000	trepip	Tree Pipit	0.7692
14	Spectrogram 1	1	26.0	29.0	150	15000	cirbun1	Cirl Bunting	0.7463
15	Spectrogram 1	1	28.0	31.0	150	15000	comchi1	Common Chiffchaff	0.4751
16	Spectrogram 1	1	30.0	33.0	150	15000	trepip	Tree Pipit	0.5096
17	Spectrogram 1	1	30.0	33.0	150	15000	grewhi1	Greater Whitethroat	0.1107
18	Spectrogram 1	1	32.0	35.0	150	15000	trepip	Tree Pipit	0.9829
19	Spectrogram 1	1	34.0	37.0	150	15000	trepip	Tree Pipit	0.9805
20	Spectrogram 1	1	36.0	39.0	150	15000	grewhi1	Greater Whitethroat	0.3513
21	Spectrogram 1	1	38.0	41.0	150	15000	grewhi1	Greater Whitethroat	0.3691
22	Spectrogram 1	1	38.0	41.0	150	15000	comchi1	Common Chiffchaff	0.3120
23	Spectrogram 1	1	40.0	43.0	150	15000	grewhi1	Greater Whitethroat	0.2263
24	Spectrogram 1	1	44.0	47.0	150	15000	trepip	Tree Pipit	0.2668
25	Spectrogram 1	1	46.0	49.0	150	15000	trepip	Tree Pipit	0.1365
26	Spectrogram 1	1	48.0	51.0	150	15000	comchi1	Common Chiffchaff	0.1324
27	Spectrogram 1	1	48.0	51.0	150	15000	trepip	Tree Pipit	0.1254
28	Spectrogram 1	1	50.0	53.0	150	15000	trepip	Tree Pipit	0.5568
29	Spectrogram 1	1	52.0	55.0	150	15000	trepip	Tree Pipit	0.4097
30	Spectrogram 1	1	52.0	55.0	150	15000	grewhi1	Greater Whitethroat	0.1973
31	Spectrogram 1	1	54.0	57.0	150	15000	melwar1	Melodious Warbler	0.3888
32	Spectrogram 1	1	54.0	57.0	150	15000	grewhi1	Greater Whitethroat	0.1937
