Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	9.0	12.0	150	15000	trepip	Tree Pipit	0.1283
2	Spectrogram 1	1	15.0	18.0	150	15000	comchi1	Common Chiffchaff	0.2922
3	Spectrogram 1	1	16.0	19.0	150	15000	comchi1	Common Chiffchaff	0.7475
4	Spectrogram 1	1	17.0	20.0	150	15000	comchi1	Common Chiffchaff	0.7072
5	Spectrogram 1	1	18.0	21.0	150	15000	comchi1	Common Chiffchaff	0.6828
6	Spectrogram 1	1	19.0	22.0	150	15000	comchi1	Common Chiffchaff	0.1973
7	Spectrogram 1	1	25.0	28.0	150	15000	trepip	Tree Pipit	0.1254
8	Spectrogram 1	1	26.0	29.0	150	15000	trepip	Tree Pipit	0.4464
9	Spectrogram 1	1	27.0	30.0	150	15000	trepip	Tree Pipit	0.3412
10	Spectrogram 1	1	27.0	30.0	150	15000	comchi1	Common Chiffchaff	0.3113
11	Spectrogram 1	1	28.0	31.0	150	15000	comchi1	Common Chiffchaff	0.5766
12	Spectrogram 1	1	28.0	31.0	150	15000	trepip	Tree Pipit	0.3155
13	Spectrogram 1	1	29.0	32.0	150	15000	comchi1	Common Chiffchaff	0.6889
14	Spectrogram 1	1	30.0	33.0	150	15000	comchi1	Common Chiffchaff	0.8030
15	Spectrogram 1	1	31.0	34.0	150	15000	comchi1	Common Chiffchaff	0.4137
16	Spectrogram 1	1	32.0	35.0	150	15000	comchi1	Common Chiffchaff	0.2354
17	Spectrogram 1	1	36.0	39.0	150	15000	trepip	Tree Pipit	0.1292
18	Spectrogram 1	1	37.0	40.0	150	15000	trepip	Tree Pipit	0.2179
19	Spectrogram 1	1	38.0	41.0	150	15000	trepip	Tree Pipit	0.5253
20	Spectrogram 1	1	39.0	42.0	150	15000	comchi1	Common Chiffchaff	0.1598
21	Spectrogram 1	1	42.0	45.0	150	15000	blackc1	Eurasian Blackcap	0.1048
22	Spectrogram 1	1	43.0	46.0	150	15000	blackc1	Eurasian Blackcap	0.4850
23	Spectrogram 1	1	44.0	47.0	150	15000	comchi1	Common Chiffchaff	0.5931
24	Spectrogram 1	1	45.0	48.0	150	15000	trepip	Tree Pipit	0.4819
25	Spectrogram 1	1	45.0	48.0	150	15000	comchi1	Common Chiffchaff	0.4535
26	Spectrogram 1	1	46.0	49.0	150	15000	comchi1	Common Chiffchaff	0.2712
27	Spectrogram 1	1	46.0	49.0	150	15000	trepip	Tree Pipit	0.1789
28	Spectrogram 1	1	47.0	50.0	150	15000	comchi1	Common Chiffchaff	0.2506
29	Spectrogram 1	1	48.0	51.0	150	15000	trepip	Tree Pipit	0.3024
30	Spectrogram 1	1	48.0	51.0	150	15000	comchi1	Common Chiffchaff	0.1259
31	Spectrogram 1	1	49.0	52.0	150	15000	comchi1	Common Chiffchaff	0.3372
32	Spectrogram 1	1	49.0	52.0	150	15000	trepip	Tree Pipit	0.1406
33	Spectrogram 1	1	50.0	53.0	150	15000	comchi1	Common Chiffchaff	0.1348
34	Spectrogram 1	1	54.0	57.0	150	15000	trepip	Tree Pipit	0.5900
35	Spectrogram 1	1	55.0	58.0	150	15000	trepip	Tree Pipit	0.6981
36	Spectrogram 1	1	56.0	59.0	150	15000	trepip	Tree Pipit	0.7662
37	Spectrogram 1	1	57.0	60.0	150	15000	trepip	Tree Pipit	0.5222
