"recording_id","species","code_n_ind","total_time","total_time_detected","BirdNET_confidence","proportion_of_time_detected"
"129","Turdus merula","1",7.21197,0,0,0
"129","Turdus merula","4",9.489876,0,0,0
"13","Corvus corone","1",6.110841,0,0,0
"13","Corvus corone","4",4.597841,0,0,0
"13","Luscinia megarhynchos","4",3.03440699999999,0,0,0
"13","Streptopelia decaocto","1",3.101651,0,0,0
"13","Sylvia atricapilla","4",2.319934,0,0,0
"13","Turdus merula","1",5.26187999999999,0,0,0
"13","Turdus merula","4",7.497758,0,0,0
"130","Chloris chloris","1",0.890990000000002,0,0,0
"130","Curruca communis","1",0.806933999999998,0,0,0
"130","Emberiza calandra","1",7.749926,6.303946,0.385,0.813420153947276
"130","Emberiza calandra","4",5.026524,2.538479,0.25955,0.505016786948595
"130","Luscinia megarhynchos","1",1.529812,0,0,0
"130","Luscinia megarhynchos","2",1.437351,0,0,0
"130","Sylvia atricapilla","1",7.716303,0,0,0
"130","Sylvia atricapilla","4",5.539263,0,0,0
"130","Turdus merula","1",1.168373,0,0,0
"130","Turdus merula","4",4.051479,0,0,0
"131","Luscinia megarhynchos","1",11.717348,0,0,0
"131","Luscinia megarhynchos","2",2.16022899999999,0,0,0
"131","Otus scops","1",0.773310999999999,0,0,0
"132","Alauda arvensis","4",55.199305,15,0.42018,0.271742551831042
"132","Cisticola juncidis","1",21.392148,11.944075,0.28542,0.558339209321102
"132","Curruca communis","1",0.941423,0,0,0
"132","Curruca communis","4",5.614914,1.159743,0.0771,0.20654688566913
"132","Emberiza calandra","1",4.614651,4.614651,0.84585,1
"132","Emberiza calandra","4",5.64013,5.64013,0.471733333333333,1
"132","Luscinia megarhynchos","4",4.001046,0,0,0
"132","Pica pica","1",0.260572,0,0,0
"132","Pica pica","4",4.480162,0,0,0
"132","Sylvia atricapilla","4",2.219067,0,0,0
"132","Turdus merula","1",3.337008,0,0,0
"134","Poecile palustris","1",1.075911,0,0,0
"134","Poecile palustris","4",1.966901,0,0,0
"134","Prunella modularis","4",2.126607,0,0,0
"134","Sylvia atricapilla","4",48.121825,27.752578,0.368866666666667,0.576714993664517
"134","Turdus merula","1",3.143679,0,0,0
"134","Turdus merula","4",5.396368,0,0,0
"134","Turdus viscivorus","1",1.017073,0,0,0
"136","Luscinia megarhynchos","1",2.235879,0,0,0
"137","Certhia brachydactyla","4",9.893343,5.331702,0.40392,0.538918139197236
"137","Columba oenas","1",0.6052,0,0,0
"137","Cuculus canorus","1",8.691348,0,0,0
"137","Dendrocopos major","4",0.874178,0,0,0
"137","Erithacus rubecula","4",7.691086,0,0,0
"137","Fringilla coelebs","1",1.992117,0,0,0
"137","Fringilla coelebs","4",16.886769,0,0,0
"137","Lullula arborea","1",1.378511,0,0,0
"137","Lullula arborea","4",2.118201,0,0,0
"137","Oriolus oriolus","1",5.18622999999999,2.99238,0.470557142857143,0.576985594545557
"137","Oriolus oriolus","4",2.311529,0.680851000000001,0.274966666666667,0.294545731418469
"137","Parus major","4",9.784071,0,0,0
"137","Phylloscopus collybita","4",28.999178,0,0,0
"137","Picus viridis","4",3.404252,2.57311,0.2315,0.755851799455504
"137","Regulus ignicapilla","1",2.210662,1.136544,0.5704,0.514119300010585
"137","Regulus ignicapilla","4",8.49802100000001,3.1318,0.1607,0.368532861945151
"137","Streptopelia decaocto","1",1.681111,0,0,0
"137","Turdus merula","1",8.817431,0,0,0
"137","Turdus merula","2",2.908324,0,0,0
"137","Turdus merula","4",1.277645,0,0,0
"138","Certhia brachydactyla","1",1.403728,1.160527,0.6818,0.826746349720174
"138","Cuculus canorus","1",0.512738999999996,0,0,0
"138","Erithacus rubecula","4",5.404774,0,0,0
"138","Fringilla coelebs","4",1.756762,0,0,0
"138","Phylloscopus collybita","4",50.290458,9,0.164075,0.178960390458166
"138","Regulus ignicapilla","1",3.63960699999999,3.101651,0.318833333333333,0.852193931927267
"138","Regulus ignicapilla","2",3.631202,3.631202,0.6832,1
"138","Regulus ignicapilla","4",3.23614,3.23614,0.638075,1
"138","Sylvia atricapilla","1",1.571839,0,0,0
"138","Sylvia atricapilla","4",5.530857,0,0,0
"138","Troglodytes troglodytes","1",2.27790700000001,0,0,0
"138","Turdus merula","1",7.262403,0,0,0
"138","Turdus merula","4",4.681896,0,0,0
"139","Emberiza calandra","4",1.445756,0,0,0
"139","Sylvia atricapilla","4",51.710999,0,0,0
"139","Turdus merula","1",3.53873999999999,0,0,0
"139","Turdus merula","4",3.02600099999999,0,0,0
"14","Luscinia megarhynchos","1",1.353295,0,0,0
"14","Otus scops","1",0.571576999999997,0,0,0
"140","Luscinia megarhynchos","1",31.260275,4.906718,0.3025625,0.156963366445113
"141","Alectoris rufa","4",1.857628,0,0,0
"141","Corvus corone","1",1.672706,0,0,0
"141","Corvus corone","4",1.580245,0,0,0
"141","Curruca communis","4",1.437351,0,0,0
"141","Emberiza calandra","1",4.471758,0,0,0
"141","Emberiza calandra","4",7.32124,0,0,0
"141","Emberiza citrinella","1",4.984497,0,0,0
"141","Emberiza citrinella","4",2.925135,0,0,0
"141","Luscinia megarhynchos","1",0.613606000000001,0,0,0
"141","Luscinia megarhynchos","4",0.848960999999996,0,0,0
"141","Merops apiaster","4",59.965257,26.965257,0.733333333333333,0.449681337978757
"141","Oriolus oriolus","4",0.327817000000003,0,0,0
"141","Streptopelia decaocto","1",21.417364,0,0,0
"141","Sylvia atricapilla","4",59.982068,12,0.641075,0.200059791202931
"141","Turdus merula","4",1.185184,0,0,0
"143","Corvus corone","2",3.715257,0,0,0
"143","Curruca communis","1",1.092723,0,0,0
"143","Cyanistes caeruleus","1",2.958758,0,0,0
"143","Luscinia megarhynchos","1",5.80824,0,0,0
"143","Luscinia megarhynchos","4",4.135536,0,0,0
"143","Parus major","1",3.790907,0,0,0
"143","Parus major","4",2.02574000000001,0,0,0
"143","Streptopelia turtur","1",33.840779,0,0,0
"143","Sylvia atricapilla","1",9.120031,0,0,0
"143","Sylvia atricapilla","4",10.448108,0,0,0
"144","Cyanistes caeruleus","1",0.706066999999999,0,0,0
"144","Cyanistes caeruleus","4",0.848961000000001,0,0,0
"144","Dendrocoptes medius","1",0.159705,0,0,0
"144","Dendrocoptes medius","4",11.826622,6,0.97825,0.507329988224871
"144","Emberiza cirlus","1",9.59915,4.034669,0.23341,0.420315236244876
"144","Erithacus rubecula","1",3.404252,0.959579000000001,0.15492,0.281876606079691
"144","Erithacus rubecula","4",14.264233,11.411611,0.25585,0.800015745676616
"144","Luscinia megarhynchos","1",8.05252400000001,0,0,0
"144","Luscinia megarhynchos","4",11.221421,4.280558,0.270875,0.381463096340472
"144","Phylloscopus collybita","1",3.143679,0,0,0
"144","Phylloscopus collybita","4",12.104005,0,0,0
"144","Sitta europaea","4",2.958757,0,0,0
"144","Streptopelia decaocto","1",6.842124,0,0,0
"144","Streptopelia turtur","1",19.937985,0,0,0
"144","Sylvia atricapilla","1",2.395584,0,0,0
"144","Sylvia atricapilla","4",3.656417,0,0,0
"144","Turdus merula","1",3.891774,0,0,0
"144","Turdus merula","2",2.420801,0,0,0
"144","Turdus merula","4",4.085102,0,0,0
"145","Luscinia megarhynchos","1",31.083758,11.416318,0.474983333333333,0.367275990245452
"145","Luscinia megarhynchos","2",18.551068,5.571092,0.6974,0.300311119553872
"146","Corvus corone","1",1.260834,0,0,0
"146","Corvus corone","4",1.74835599999999,0,0,0
"146","Curruca communis","4",2.437612,0,0,0
"146","Luscinia megarhynchos","4",16.121862,5.955282,0.143221428571429,0.369391699296272
"146","Oriolus oriolus","1",0.622012,0.622012,0.7976,1
"146","Saxicola rubicola","1",1.815602,0.690825,0.4489,0.380493632415034
"146","Saxicola rubicola","4",5.312313,0.140541000000001,0.4489,0.0264557077114999
"146","Sylvia atricapilla","1",3.160491,2.299201,0.1536,0.727482217161827
"146","Sylvia atricapilla","2",3.975829,0,0,0
"146","Sylvia atricapilla","4",27.662696,3,0.058325,0.108449299374146
"147","Curruca communis","1",4.925657,3.23939,0.409166666666667,0.657656430401062
"147","Curruca communis","2",5.967947,0,0,0
"147","Curruca communis","4",5.673752,2.003661,0.166525,0.353145678556271
"147","Oriolus oriolus","1",1.454162,0,0,0
"147","Oriolus oriolus","4",0.537955000000004,0,0,0
"147","Phasianus colchicus","1",0.655632999999998,0,0,0
"147","Sylvia atricapilla","1",2.227473,1.300956,0.1959,0.584050177039183
"147","Sylvia atricapilla","4",9.120031,0,0,0
"147","Turdus merula","1",9.061191,0,0,0
"147","Turdus merula","4",4.059885,0,0,0
"148","Luscinia megarhynchos","1",20.585215,3,0.087525,0.145735665136361
"149","Corvus corone","1",0.243762,0,0,0
"149","Cuculus canorus","1",9.38901,0,0,0
"149","Emberiza cirlus","1",1.403728,0,0,0
