Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	webwar1	Western Bonelli's Warbler	0.1694
2	Spectrogram 1	1	2.0	5.0	150	15000	blakit1	Black Kite	0.2036
3	Spectrogram 1	1	10.0	13.0	150	15000	firecr1	Common Firecrest	0.4506
4	Spectrogram 1	1	16.0	19.0	150	15000	comred2	Common Redstart	0.2839
5	Spectrogram 1	1	18.0	21.0	150	15000	shttre1	Short-toed Treecreeper	0.1568
6	Spectrogram 1	1	22.0	25.0	150	15000	webwar1	Western Bonelli's Warbler	0.1044
7	Spectrogram 1	1	34.0	37.0	150	15000	winwre4	Eurasian Wren	0.3357
8	Spectrogram 1	1	36.0	39.0	150	15000	winwre4	Eurasian Wren	0.1123
