Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	18.0	21.0	150	15000	blackc1	Eurasian Blackcap	0.1414
2	Spectrogram 1	1	19.0	22.0	150	15000	blackc1	Eurasian Blackcap	0.1749
3	Spectrogram 1	1	20.0	23.0	150	15000	blackc1	Eurasian Blackcap	0.1736
4	Spectrogram 1	1	26.0	29.0	150	15000	winwre4	Eurasian Wren	0.1044
5	Spectrogram 1	1	27.0	30.0	150	15000	winwre4	Eurasian Wren	0.1487
6	Spectrogram 1	1	29.0	32.0	150	15000	eurrob1	European Robin	0.1238
7	Spectrogram 1	1	30.0	33.0	150	15000	eurrob1	European Robin	0.3053
8	Spectrogram 1	1	31.0	34.0	150	15000	eurrob1	European Robin	0.3361
9	Spectrogram 1	1	38.0	41.0	150	15000	carcro1	Carrion Crow	0.2120
10	Spectrogram 1	1	41.0	44.0	150	15000	eugori2	Eurasian Golden Oriole	0.3492
11	Spectrogram 1	1	42.0	45.0	150	15000	webwar1	Western Bonelli's Warbler	0.1032
12	Spectrogram 1	1	47.0	50.0	150	15000	winwre4	Eurasian Wren	0.1077
13	Spectrogram 1	1	48.0	51.0	150	15000	blackc1	Eurasian Blackcap	0.1039
