Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	trepip	Tree Pipit	0.2798
2	Spectrogram 1	1	0	3.0	150	15000	blackc1	Eurasian Blackcap	0.1648
3	Spectrogram 1	1	0	3.0	150	15000	melwar1	Melodious Warbler	0.1641
4	Spectrogram 1	1	0	3.0	150	15000	webwar1	Western Bonelli's Warbler	0.1424
5	Spectrogram 1	1	0	3.0	150	15000	firecr1	Common Firecrest	0.1346
6	Spectrogram 1	1	2.0	5.0	150	15000	melwar1	Melodious Warbler	0.1575
7	Spectrogram 1	1	2.0	5.0	150	15000	eutdov	European Turtle-Dove	0.1305
8	Spectrogram 1	1	2.0	5.0	150	15000	grewhi1	Greater Whitethroat	0.1001
9	Spectrogram 1	1	6.0	9.0	150	15000	subwar6	Western Subalpine Warbler	0.2720
10	Spectrogram 1	1	6.0	9.0	150	15000	melwar1	Melodious Warbler	0.2594
11	Spectrogram 1	1	6.0	9.0	150	15000	sarwar1	Sardinian Warbler	0.1975
12	Spectrogram 1	1	6.0	9.0	150	15000	comred2	Common Redstart	0.1654
13	Spectrogram 1	1	6.0	9.0	150	15000	grewhi1	Greater Whitethroat	0.1637
14	Spectrogram 1	1	6.0	9.0	150	15000	comnig1	Common Nightingale	0.1403
15	Spectrogram 1	1	10.0	13.0	150	15000	melwar1	Melodious Warbler	0.2729
16	Spectrogram 1	1	10.0	13.0	150	15000	eutdov	European Turtle-Dove	0.1339
17	Spectrogram 1	1	10.0	13.0	150	15000	subwar6	Western Subalpine Warbler	0.1004
18	Spectrogram 1	1	14.0	17.0	150	15000	corbun1	Corn Bunting	0.1113
19	Spectrogram 1	1	14.0	17.0	150	15000	grewhi1	Greater Whitethroat	0.1092
20	Spectrogram 1	1	20.0	23.0	150	15000	trepip	Tree Pipit	0.1496
21	Spectrogram 1	1	22.0	25.0	150	15000	trepip	Tree Pipit	0.1321
22	Spectrogram 1	1	26.0	29.0	150	15000	melwar1	Melodious Warbler	0.1784
23	Spectrogram 1	1	26.0	29.0	150	15000	grewhi1	Greater Whitethroat	0.1349
24	Spectrogram 1	1	26.0	29.0	150	15000	sarwar1	Sardinian Warbler	0.1073
25	Spectrogram 1	1	26.0	29.0	150	15000	blackc1	Eurasian Blackcap	0.1070
26	Spectrogram 1	1	30.0	33.0	150	15000	firecr1	Common Firecrest	0.1820
27	Spectrogram 1	1	38.0	41.0	150	15000	melwar1	Melodious Warbler	0.2508
28	Spectrogram 1	1	38.0	41.0	150	15000	corbun1	Corn Bunting	0.1408
29	Spectrogram 1	1	38.0	41.0	150	15000	webwar1	Western Bonelli's Warbler	0.1392
30	Spectrogram 1	1	38.0	41.0	150	15000	eugori2	Eurasian Golden Oriole	0.1070
31	Spectrogram 1	1	38.0	41.0	150	15000	rebshr1	Red-backed Shrike	0.1061
32	Spectrogram 1	1	38.0	41.0	150	15000	eutdov	European Turtle-Dove	0.1028
33	Spectrogram 1	1	42.0	45.0	150	15000	rebshr1	Red-backed Shrike	0.1328
