"confidence_threshold","TP","FP","TN","FN","TPR","FPR","rec_recall","rec_precision","F_score1","F_score2","F_score3","id_precision","id_recall","id_FPR"
0.1,626,3499,35274,375,0.625374625374625,0.0902432104815206,0.625374625374625,0.151757575757576,0.244245025360905,0.158833450247011,0.152904104222239,0.117331513207387,0.150665278046358,0.0169991019644723
0.11,585,2873,35901,415,0.585,0.074096043740651,0.585,0.169172932330827,0.262449528936743,0.176555176821474,0.170371972318339,0.130512708257736,0.143297766852758,0.0137023185485548
0.12,556,2412,36360,446,0.554890219560878,0.0622098421541318,0.554890219560878,0.18733153638814,0.280100755667506,0.194926789028666,0.188568243329461,0.141836494470392,0.136739146371624,0.011091239435674
0.13,530,2027,36739,478,0.525793650793651,0.0522880874993551,0.525793650793651,0.207274149393821,0.297335203366059,0.21493320610687,0.208524860931486,0.156137781964101,0.130606892865531,0.00906489686201133
0.14,510,1694,37064,506,0.501968503937008,0.0437071056298055,0.501968503937008,0.231397459165154,0.316770186335404,0.238974641675854,0.23263901434404,0.170851897846348,0.124912304958267,0.00742742059167562
0.15,485,1440,37316,533,0.476424361493124,0.0371555372071421,0.476424361493124,0.251948051948052,0.329595650696568,0.259130052171727,0.253128907905208,0.187202471919718,0.119107296711007,0.00630216119343062
0.16,466,1218,37530,560,0.454191033138402,0.0314338804583462,0.454191033138402,0.276722090261283,0.343911439114391,0.283232034322488,0.277796796241427,0.207316758135574,0.112835603397677,0.00537700459633849
0.17,444,1029,37713,588,0.430232558139535,0.0265603221310206,0.430232558139535,0.30142566191446,0.354491017964072,0.306829268292683,0.302321818623089,0.217552856950012,0.108803830288168,0.00467363513368076
0.18,424,876,37861,613,0.408871745419479,0.0226140382579962,0.408871745419479,0.326153846153846,0.362858365425759,0.330081970966708,0.32680845867961,0.236764097807001,0.105840842226435,0.00410501895596661
0.19,414,735,38001,624,0.398843930635838,0.0189745972738538,0.398843930635838,0.360313315926893,0.378600823045267,0.362372567191844,0.36065828287533,0.254781378833098,0.100272201115277,0.00357808969472506
