Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	3.0	6.0	150	15000	comchi1	Common Chiffchaff	0.1389
2	Spectrogram 1	1	4.0	7.0	150	15000	comchi1	Common Chiffchaff	0.1363
3	Spectrogram 1	1	6.0	9.0	150	15000	comchi1	Common Chiffchaff	0.1770
4	Spectrogram 1	1	10.0	13.0	150	15000	thelar1	Thekla's Lark	0.2104
5	Spectrogram 1	1	11.0	14.0	150	15000	thelar1	Thekla's Lark	0.1651
6	Spectrogram 1	1	19.0	22.0	150	15000	comchi1	Common Chiffchaff	0.1180
7	Spectrogram 1	1	20.0	23.0	150	15000	comchi1	Common Chiffchaff	0.1404
8	Spectrogram 1	1	21.0	24.0	150	15000	comchi1	Common Chiffchaff	0.2211
9	Spectrogram 1	1	22.0	25.0	150	15000	comchi1	Common Chiffchaff	0.1563
10	Spectrogram 1	1	49.0	52.0	150	15000	comchi1	Common Chiffchaff	0.1148
11	Spectrogram 1	1	50.0	53.0	150	15000	comchi1	Common Chiffchaff	0.3183
12	Spectrogram 1	1	51.0	54.0	150	15000	comchi1	Common Chiffchaff	0.5274
13	Spectrogram 1	1	52.0	55.0	150	15000	comchi1	Common Chiffchaff	0.2381
14	Spectrogram 1	1	53.0	56.0	150	15000	comchi1	Common Chiffchaff	0.1382
