"species","n_recordings_clearly_detected","correctly_identified_1st_threshold","incorrectly_identified_1st_threshold","correctly_identified_2nd_threshold","incorrectly_identified_2nd_threshold","correctly_identified_3rd_threshold","incorrectly_identified_3rd_threshold","non_present_species_1st_threshold","non_present_species_2nd_threshold","non_present_species_3rd_threshold"
"Accipiter gentilis","0","0","2","0","0","0","0","2","0","0"
"Acrocephalus arundinaceus","0","0","3","0","0","0","0","3","0","0"
"Aegithalos caudatus","4","1","2","1","0","0","0","0","0","0"
"Alauda arvensis","6","4","0","0","0","0","0","0","0","0"
"Alcedo atthis","0","0","2","0","0","0","0","2","0","0"
"Alectoris rufa","3","0","0","0","0","0","0","0","0","0"
"Anthus spinoletta","0","0","2","0","1","0","0","2","1","0"
"Anthus trivialis","3","3","7","3","1","2","1","0","0","0"
"Apus apus","0","0","4","0","0","0","0","4","0","0"
"Apus pallidus","0","0","1","0","0","0","0","1","0","0"
"Ardea cinerea","0","0","1","0","1","0","1","1","1","1"
"Ardea purpurea","0","0","1","0","0","0","0","1","0","0"
"Athene noctua","0","0","2","0","0","0","0","2","0","0"
"Burhinus oedicnemus","0","0","5","0","0","0","0","5","0","0"
"Buteo buteo","1","1","3","1","1","0","1","0","0","0"
"Carduelis carduelis","0","0","1","0","0","0","0","1","0","0"
"Carduelis citrinella","0","0","3","0","0","0","0","3","0","0"
"Certhia brachydactyla","10","7","1","4","1","4","1","0","0","0"
"Cettia cetti","0","0","9","0","0","0","0","9","0","0"
"Charadrius dubius","0","0","2","0","0","0","0","2","0","0"
"Chlidonias hybrida","0","0","1","0","0","0","0","1","0","0"
"Chloris chloris","5","0","0","0","0","0","0","0","0","0"
"Cinclus cinclus","0","0","1","0","0","0","0","1","0","0"
"Cisticola juncidis","5","3","0","2","0","2","0","0","0","0"
"Coccothraustes coccothraustes","0","0","4","0","0","0","0","4","0","0"
"Columba oenas","2","0","0","0","0","0","0","0","0","0"
"Columba palumbus","16","0","0","0","0","0","0","0","0","0"
"Corvus corax","3","0","0","0","0","0","0","0","0","0"
"Corvus cornix","0","0","4","0","1","0","0","4","1","0"
"Corvus corone","42","7","1","3","0","2","0","0","0","0"
"Corvus monedula","2","0","0","0","0","0","0","0","0","0"
"Coturnix coturnix","9","4","12","3","1","3","0","0","0","0"
"Cuculus canorus","10","1","0","1","0","0","0","0","0","0"
"Curruca communis","50","19","10","9","0","7","0","0","0","0"
"Curruca iberiae","0","0","5","0","1","0","0","5","1","0"
"Curruca melanocephala","0","0","4","0","1","0","1","4","1","1"
"Cyanistes caeruleus","23","4","2","2","1","2","0","0","0","0"
"Cygnus olor","0","0","1","0","0","0","0","1","0","0"
"Dendrocopos major","5","1","0","0","0","0","0","0","0","0"
"Dendrocoptes medius","3","2","3","2","0","2","0","0","0","0"
"Dryocopus martius","0","0","3","0","0","0","0","3","0","0"
"Emberiza calandra","32","9","3","5","1","4","1","0","0","0"
"Emberiza cia","0","0","9","0","0","0","0","9","0","0"
"Emberiza cirlus","16","11","23","7","4","7","3","0","0","0"
"Emberiza citrinella","18","8","10","2","0","1","0","0","0","0"
"Emberiza schoeniclus","0","0","3","0","0","0","0","3","0","0"
"Erithacus rubecula","27","5","1","3","1","3","1","0","0","0"
"Falco naumanni","0","0","2","0","0","0","0","2","0","0"
"Falco subbuteo","0","0","1","0","0","0","0","1","0","0"
"Falco tinnunculus","0","0","1","0","0","0","0","1","0","0"
"Ficedula hypoleuca","0","0","7","0","0","0","0","7","0","0"
"Fringilla coelebs","19","2","0","0","0","0","0","0","0","0"
"Galerida cristata","1","0","0","0","0","0","0","0","0","0"
"Galerida theklae","0","0","5","0","0","0","0","5","0","0"
"Gallinula chloropus","0","0","2","0","0","0","0","2","0","0"
"Garrulus glandarius","8","2","1","2","1","2","1","0","0","0"
"Hieraaetus pennatus","0","0","2","0","0","0","0","2","0","0"
"Hippolais polyglotta","11","6","18","5","0","5","0","0","0","0"
"Hirundo rustica","2","1","0","0","0","0","0","0","0","0"
"Ixobrychus minutus","0","0","13","0","2","0","1","13","2","1"
"Jynx torquilla","1","0","0","0","0","0","0","0","0","0"
"Lanius collurio","0","0","6","0","0","0","0","6","0","0"
"Lanius meridionalis","0","0","2","0","0","0","0","2","0","0"
"Lanius senator","0","0","15","0","1","0","1","15","1","1"
"Lophophanes cristatus","1","1","2","1","0","1","0","0","0","0"
"Lullula arborea","11","4","5","3","1","3","1","0","0","0"
"Luscinia megarhynchos","94","36","1","15","0","11","0","0","0","0"
"Mareca strepera","0","0","1","0","0","0","0","1","0","0"
"Melanocorypha calandra","0","0","4","0","0","0","0","4","0","0"
"Merops apiaster","1","1","1","1","1","1","1","0","0","0"
"Milvus migrans","1","1","1","1","0","1","0","0","0","0"
"Milvus milvus","0","0","3","0","0","0","0","3","0","0"
"Monticola solitarius","0","0","1","0","0","0","0","1","0","0"
"Motacilla alba","0","0","1","0","1","0","0","1","1","0"
"Motacilla cinerea","0","0","1","0","0","0","0","1","0","0"
"Muscicapa striata","0","0","5","0","0","0","0","5","0","0"
"Nycticorax nycticorax","0","0","1","0","1","0","1","1","1","1"
"Oriolus oriolus","29","8","9","4","0","2","0","0","0","0"
"Otus scops","14","0","0","0","0","0","0","0","0","0"
"Parus major","17","5","2","1","0","1","0","0","0","0"
"Passer domesticus","19","4","0","0","0","0","0","0","0","0"
"Passer hispaniolensis","0","0","5","0","0","0","0","5","0","0"
"Passer montanus","0","0","1","0","0","0","0","1","0","0"
"Periparus ater","1","0","4","0","1","0","0","0","0","0"
"Petronia petronia","0","0","1","0","0","0","0","1","0","0"
"Phasianus colchicus","8","0","0","0","0","0","0","0","0","0"
"Phoenicurus ochruros","4","1","1","1","0","1","0","0","0","0"
"Phoenicurus phoenicurus","0","0","19","0","1","0","1","19","1","1"
"Phylloscopus bonelli","3","2","34","0","1","0","1","0","0","0"
"Phylloscopus collybita","35","11","0","2","0","1","0","0","0","0"
"Phylloscopus ibericus","0","0","3","0","1","0","1","3","1","1"
"Pica pica","8","1","0","1","0","1","0","0","0","0"
"Picus viridis","3","2","6","1","0","1","0","0","0","0"
"Poecile palustris","1","0","3","0","0","0","0","0","0","0"
"Prunella modularis","3","2","0","2","0","1","0","0","0","0"
"Pyrrhula pyrrhula","0","0","1","0","0","0","0","1","0","0"
"Regulus ignicapilla","6","5","11","3","0","3","0","0","0","0"
"Regulus regulus","0","0","2","0","0","0","0","2","0","0"
"Remiz pendulinus","0","0","14","0","1","0","0","14","1","0"
"Saxicola rubetra","0","0","5","0","0","0","0","5","0","0"
"Saxicola rubicola","5","4","4","3","1","3","1","0","0","0"
"Sitta europaea","1","0","1","0","0","0","0","0","0","0"
"Streptopelia decaocto","23","0","0","0","0","0","0","0","0","0"
"Streptopelia turtur","9","3","0","1","0","1","0","0","0","0"
"Strix aluco","3","1","1","1","0","0","0","0","0","0"
"Sturnus unicolor","0","0","1","0","0","0","0","1","0","0"
"Sturnus vulgaris","3","1","0","0","0","0","0","0","0","0"
"Sylvia atricapilla","105","29","3","11","0","8","0","0","0","0"
"Sylvia borin","0","0","13","0","1","0","1","13","1","1"
"Tachybaptus ruficollis","0","0","1","0","0","0","0","1","0","0"
"Tringa nebularia","0","0","3","0","1","0","1","3","1","1"
"Tringa totanus","0","0","2","0","0","0","0","2","0","0"
"Troglodytes troglodytes","16","5","0","1","0","1","0","0","0","0"
"Turdus merula","83","2","1","1","1","1","1","0","0","0"
"Turdus philomelos","9","2","2","1","0","1","0","0","0","0"
"Turdus viscivorus","5","1","6","1","0","1","0","0","0","0"
"Upupa epops","1","0","0","0","0","0","0","0","0","0"
"Total detections","859","233","412","111","33","90","23","217","15","9"
"Total species","60","45","92","38","29","34","21","57","14","9"
