"n_recordings_sampled","sample_number","minimum_confidence_threshold","n_species_correctly_detected","n_species_incorrectly_detected","total_species_detected"
10,1,0.15,12,18,18
10,1,0.9,7,1,18
10,1,0.95,7,0,18
10,2,0.15,9,13,20
10,2,0.9,7,1,20
10,2,0.95,7,1,20
10,3,0.15,10,15,28
10,3,0.9,3,0,28
10,3,0.95,3,0,28
10,4,0.15,12,20,32
10,4,0.9,5,0,32
10,4,0.95,4,0,32
10,5,0.15,11,15,29
10,5,0.9,6,3,29
10,5,0.95,4,2,29
10,6,0.15,12,14,29
10,6,0.9,8,1,29
10,6,0.95,7,1,29
10,7,0.15,8,10,22
10,7,0.9,4,3,22
10,7,0.95,4,2,22
10,8,0.15,14,16,28
10,8,0.9,8,2,28
10,8,0.95,6,2,28
10,9,0.15,13,14,26
10,9,0.9,7,0,26
10,9,0.95,5,0,26
10,10,0.15,12,13,32
10,10,0.9,8,1,32
10,10,0.95,7,1,32
10,11,0.15,13,16,32
10,11,0.9,10,1,32
10,11,0.95,8,0,32
10,12,0.15,7,9,14
10,12,0.9,3,0,14
10,12,0.95,2,0,14
10,13,0.15,8,13,24
10,13,0.9,7,0,24
10,13,0.95,5,0,24
10,14,0.15,9,11,28
10,14,0.9,3,1,28
10,14,0.95,2,0,28
10,15,0.15,15,12,30
10,15,0.9,10,1,30
10,15,0.95,9,0,30
10,16,0.15,9,11,24
10,16,0.9,6,1,24
10,16,0.95,4,0,24
10,17,0.15,11,11,19
10,17,0.9,6,0,19
10,17,0.95,5,0,19
10,18,0.15,12,16,25
10,18,0.9,9,2,25
10,18,0.95,9,2,25
10,19,0.15,9,9,24
10,19,0.9,6,2,24
10,19,0.95,4,1,24
10,20,0.15,9,14,28
10,20,0.9,3,2,28
10,20,0.95,3,2,28
10,21,0.15,8,12,20
10,21,0.9,5,1,20
10,21,0.95,5,1,20
10,22,0.15,13,11,30
10,22,0.9,8,0,30
10,22,0.95,7,0,30
10,23,0.15,9,16,24
10,23,0.9,6,2,24
10,23,0.95,6,2,24
10,24,0.15,11,11,22
10,24,0.9,5,2,22
10,24,0.95,5,2,22
10,25,0.15,11,12,23
10,25,0.9,10,1,23
10,25,0.95,8,1,23
10,26,0.15,8,16,22
10,26,0.9,3,1,22
10,26,0.95,3,1,22
10,27,0.15,10,15,22
10,27,0.9,6,3,22
10,27,0.95,4,2,22
10,28,0.15,12,16,27
10,28,0.9,2,0,27
10,28,0.95,2,0,27
10,29,0.15,14,14,31
10,29,0.9,7,1,31
10,29,0.95,5,0,31
10,30,0.15,13,14,28
10,30,0.9,8,0,28
10,30,0.95,6,0,28
10,31,0.15,13,15,25
10,31,0.9,5,1,25
10,31,0.95,4,1,25
10,32,0.15,9,12,17
10,32,0.9,6,0,17
10,32,0.95,5,0,17
10,33,0.15,8,22,26
10,33,0.9,5,4,26
10,33,0.95,5,3,26
10,34,0.15,10,18,23
10,34,0.9,6,2,23
10,34,0.95,5,2,23
10,35,0.15,12,13,20
10,35,0.9,8,3,20
10,35,0.95,7,2,20
10,36,0.15,9,9,25
10,36,0.9,5,3,25
10,36,0.95,3,2,25
10,37,0.15,11,12,22
10,37,0.9,6,1,22
10,37,0.95,6,0,22
10,38,0.15,13,17,26
10,38,0.9,5,2,26
10,38,0.95,5,2,26
10,39,0.15,9,11,22
10,39,0.9,2,1,22
10,39,0.95,1,1,22
10,40,0.15,9,10,22
10,40,0.9,3,1,22
10,40,0.95,3,1,22
10,41,0.15,9,15,22
10,41,0.9,5,1,22
10,41,0.95,4,1,22
10,42,0.15,4,14,12
10,42,0.9,3,4,12
10,42,0.95,3,4,12
10,43,0.15,5,11,20
10,43,0.9,4,1,20
10,43,0.95,2,1,20
10,44,0.15,9,14,20
10,44,0.9,4,1,20
10,44,0.95,3,1,20
10,45,0.15,14,9,30
10,45,0.9,6,2,30
10,45,0.95,6,2,30
10,46,0.15,12,14,29
10,46,0.9,4,1,29
10,46,0.95,2,1,29
10,47,0.15,9,18,28
10,47,0.9,5,0,28
10,47,0.95,3,0,28
10,48,0.15,16,12,28
10,48,0.9,9,2,28
10,48,0.95,8,0,28
10,49,0.15,10,15,18
10,49,0.9,4,0,18
10,49,0.95,4,0,18
10,50,0.15,9,14,25
10,50,0.9,5,2,25
10,50,0.95,3,0,25
10,51,0.15,11,9,22
10,51,0.9,6,1,22
10,51,0.95,6,1,22
10,52,0.15,6,11,21
10,52,0.9,4,0,21
10,52,0.95,4,0,21
10,53,0.15,9,10,24
10,53,0.9,4,0,24
10,53,0.95,2,0,24
10,54,0.15,7,8,17
10,54,0.9,5,0,17
10,54,0.95,4,0,17
10,55,0.15,11,13,28
10,55,0.9,8,2,28
10,55,0.95,8,2,28
10,56,0.15,11,12,25
10,56,0.9,8,2,25
10,56,0.95,7,1,25
10,57,0.15,11,14,30
10,57,0.9,4,0,30
10,57,0.95,4,0,30
10,58,0.15,6,7,20
10,58,0.9,4,0,20
10,58,0.95,2,0,20
10,59,0.15,8,13,18
10,59,0.9,5,1,18
10,59,0.95,5,1,18
10,60,0.15,5,16,20
10,60,0.9,4,2,20
10,60,0.95,2,2,20
10,61,0.15,10,13,20
10,61,0.9,7,3,20
10,61,0.95,5,3,20
10,62,0.15,12,24,25
10,62,0.9,5,1,25
10,62,0.95,4,1,25
10,63,0.15,11,19,26
10,63,0.9,7,0,26
10,63,0.95,6,0,26
10,64,0.15,13,13,30
10,64,0.9,5,0,30
10,64,0.95,3,0,30
10,65,0.15,10,10,26
10,65,0.9,6,0,26
10,65,0.95,5,0,26
10,66,0.15,14,12,30
10,66,0.9,7,3,30
10,66,0.95,7,3,30
10,67,0.15,10,13,28
10,67,0.9,8,0,28
10,67,0.95,7,0,28
10,68,0.15,11,10,25
10,68,0.9,4,0,25
10,68,0.95,4,0,25
10,69,0.15,7,12,18
10,69,0.9,5,0,18
10,69,0.95,4,0,18
10,70,0.15,7,13,21
10,70,0.9,1,0,21
10,70,0.95,1,0,21
10,71,0.15,9,14,24
10,71,0.9,5,0,24
10,71,0.95,5,0,24
10,72,0.15,7,16,19
10,72,0.9,4,1,19
10,72,0.95,4,1,19
10,73,0.15,9,16,19
10,73,0.9,6,3,19
10,73,0.95,5,2,19
10,74,0.15,11,19,25
10,74,0.9,5,4,25
10,74,0.95,4,3,25
10,75,0.15,7,11,18
10,75,0.9,5,2,18
10,75,0.95,4,1,18
10,76,0.15,14,12,25
10,76,0.9,9,0,25
10,76,0.95,8,0,25
10,77,0.15,10,13,25
10,77,0.9,4,1,25
10,77,0.95,3,1,25
10,78,0.15,4,10,12
10,78,0.9,3,1,12
10,78,0.95,3,1,12
10,79,0.15,9,12,20
10,79,0.9,7,1,20
10,79,0.95,6,0,20
10,80,0.15,13,19,25
10,80,0.9,6,3,25
10,80,0.95,6,3,25
10,81,0.15,8,12,19
10,81,0.9,3,0,19
10,81,0.95,1,0,19
10,82,0.15,7,18,21
10,82,0.9,5,1,21
10,82,0.95,5,0,21
10,83,0.15,10,15,20
10,83,0.9,5,1,20
10,83,0.95,5,0,20
10,84,0.15,2,10,12
10,84,0.9,2,3,12
10,84,0.95,2,2,12
10,85,0.15,11,16,23
10,85,0.9,8,1,23
10,85,0.95,5,1,23
10,86,0.15,13,15,26
10,86,0.9,7,2,26
10,86,0.95,7,1,26
10,87,0.15,10,16,23
10,87,0.9,8,1,23
10,87,0.95,7,1,23
10,88,0.15,8,15,19
10,88,0.9,6,1,19
10,88,0.95,4,1,19
10,89,0.15,9,11,31
10,89,0.9,7,2,31
10,89,0.95,6,1,31
10,90,0.15,9,18,25
10,90,0.9,5,0,25
10,90,0.95,3,0,25
10,91,0.15,9,15,24
10,91,0.9,5,1,24
10,91,0.95,5,1,24
10,92,0.15,6,9,19
10,92,0.9,3,1,19
10,92,0.95,3,1,19
10,93,0.15,5,12,16
10,93,0.9,3,0,16
10,93,0.95,3,0,16
10,94,0.15,10,11,23
10,94,0.9,7,1,23
10,94,0.95,6,0,23
10,95,0.15,7,17,22
10,95,0.9,3,2,22
10,95,0.95,3,1,22
10,96,0.15,9,11,21
10,96,0.9,4,1,21
10,96,0.95,4,1,21
10,97,0.15,8,8,18
10,97,0.9,6,1,18
10,97,0.95,4,1,18
10,98,0.15,14,17,22
10,98,0.9,7,2,22
10,98,0.95,6,1,22
10,99,0.15,10,14,26
10,99,0.9,6,2,26
10,99,0.95,5,1,26
10,100,0.15,11,15,24
10,100,0.9,6,3,24
10,100,0.95,5,3,24
10,101,0.15,14,14,29
10,101,0.9,5,1,29
10,101,0.95,3,0,29
10,102,0.15,10,14,26
10,102,0.9,4,1,26
10,102,0.95,3,1,26
10,103,0.15,9,9,25
10,103,0.9,6,2,25
10,103,0.95,6,2,25
10,104,0.15,11,23,24
10,104,0.9,4,1,24
10,104,0.95,4,0,24
10,105,0.15,10,17,26
10,105,0.9,4,1,26
10,105,0.95,4,1,26
10,106,0.15,8,11,19
10,106,0.9,5,0,19
10,106,0.95,4,0,19
10,107,0.15,14,19,30
10,107,0.9,10,1,30
10,107,0.95,9,0,30
10,108,0.15,7,12,16
10,108,0.9,4,0,16
10,108,0.95,4,0,16
10,109,0.15,8,21,20
10,109,0.9,4,1,20
10,109,0.95,3,1,20
10,110,0.15,6,11,16
10,110,0.9,2,2,16
10,110,0.95,2,0,16
10,111,0.15,14,21,28
10,111,0.9,7,2,28
10,111,0.95,7,2,28
10,112,0.15,10,16,24
10,112,0.9,1,0,24
10,112,0.95,0,0,24
10,113,0.15,15,15,30
10,113,0.9,12,1,30
10,113,0.95,12,1,30
10,114,0.15,12,20,26
10,114,0.9,9,1,26
10,114,0.95,8,0,26
10,115,0.15,12,12,34
10,115,0.9,9,1,34
10,115,0.95,8,0,34
10,116,0.15,5,12,15
10,116,0.9,5,2,15
10,116,0.95,4,2,15
10,117,0.15,8,14,23
10,117,0.9,6,2,23
10,117,0.95,5,1,23
10,118,0.15,12,11,20
10,118,0.9,6,2,20
10,118,0.95,6,2,20
10,119,0.15,14,10,25
10,119,0.9,8,1,25
10,119,0.95,7,1,25
10,120,0.15,11,10,23
10,120,0.9,7,1,23
10,120,0.95,5,0,23
10,121,0.15,7,13,23
10,121,0.9,5,1,23
10,121,0.95,5,1,23
10,122,0.15,9,14,28
10,122,0.9,4,0,28
10,122,0.95,2,0,28
10,123,0.15,9,14,18
10,123,0.9,5,3,18
10,123,0.95,4,2,18
10,124,0.15,8,15,20
10,124,0.9,6,3,20
10,124,0.95,4,2,20
10,125,0.15,10,15,23
10,125,0.9,6,2,23
10,125,0.95,4,2,23
10,126,0.15,9,21,30
10,126,0.9,7,3,30
10,126,0.95,6,2,30
10,127,0.15,9,19,25
10,127,0.9,6,1,25
10,127,0.95,5,1,25
10,128,0.15,9,13,18
10,128,0.9,6,0,18
10,128,0.95,6,0,18
10,129,0.15,10,9,21
10,129,0.9,8,1,21
10,129,0.95,8,0,21
10,130,0.15,8,13,22
10,130,0.9,5,0,22
10,130,0.95,4,0,22
10,131,0.15,12,14,25
10,131,0.9,7,1,25
10,131,0.95,7,0,25
10,132,0.15,9,18,23
10,132,0.9,6,3,23
10,132,0.95,4,3,23
10,133,0.15,6,19,20
10,133,0.9,1,1,20
10,133,0.95,1,1,20
10,134,0.15,11,13,25
10,134,0.9,5,1,25
10,134,0.95,3,1,25
10,135,0.15,10,9,30
10,135,0.9,5,0,30
10,135,0.95,5,0,30
10,136,0.15,7,14,22
10,136,0.9,4,3,22
10,136,0.95,4,2,22
10,137,0.15,10,15,24
10,137,0.9,5,1,24
10,137,0.95,4,0,24
10,138,0.15,17,12,30
10,138,0.9,7,0,30
10,138,0.95,4,0,30
10,139,0.15,7,11,21
10,139,0.9,4,1,21
10,139,0.95,4,1,21
10,140,0.15,10,14,21
10,140,0.9,5,0,21
10,140,0.95,5,0,21
10,141,0.15,9,11,27
10,141,0.9,4,1,27
10,141,0.95,4,1,27
10,142,0.15,8,13,23
10,142,0.9,5,1,23
10,142,0.95,4,1,23
10,143,0.15,8,11,14
10,143,0.9,6,1,14
10,143,0.95,4,1,14
10,144,0.15,7,20,19
10,144,0.9,3,0,19
10,144,0.95,3,0,19
10,145,0.15,13,12,27
10,145,0.9,8,0,27
10,145,0.95,8,0,27
10,146,0.15,8,12,20
10,146,0.9,6,4,20
10,146,0.95,5,2,20
10,147,0.15,14,12,25
10,147,0.9,7,1,25
10,147,0.95,6,0,25
10,148,0.15,13,15,29
10,148,0.9,6,2,29
10,148,0.95,4,0,29
10,149,0.15,17,17,29
10,149,0.9,6,1,29
10,149,0.95,6,1,29
10,150,0.15,8,8,19
10,150,0.9,5,0,19
10,150,0.95,5,0,19
10,151,0.15,12,13,23
10,151,0.9,6,0,23
10,151,0.95,3,0,23
10,152,0.15,12,15,28
10,152,0.9,7,1,28
10,152,0.95,7,0,28
10,153,0.15,10,21,26
10,153,0.9,6,1,26
10,153,0.95,4,1,26
10,154,0.15,11,14,32
10,154,0.9,7,1,32
10,154,0.95,6,0,32
10,155,0.15,10,20,28
10,155,0.9,7,1,28
10,155,0.95,6,0,28
10,156,0.15,10,16,25
10,156,0.9,6,0,25
10,156,0.95,5,0,25
10,157,0.15,8,9,14
10,157,0.9,5,0,14
10,157,0.95,5,0,14
10,158,0.15,7,7,22
10,158,0.9,4,2,22
10,158,0.95,3,1,22
10,159,0.15,11,17,26
10,159,0.9,8,2,26
10,159,0.95,7,2,26
10,160,0.15,14,16,29
10,160,0.9,7,0,29
10,160,0.95,7,0,29
10,161,0.15,9,17,17
10,161,0.9,6,1,17
10,161,0.95,4,0,17
10,162,0.15,6,23,19
10,162,0.9,3,1,19
10,162,0.95,3,0,19
10,163,0.15,16,14,29
10,163,0.9,9,2,29
10,163,0.95,9,2,29
10,164,0.15,6,12,20
10,164,0.9,5,1,20
10,164,0.95,4,0,20
10,165,0.15,12,22,26
10,165,0.9,3,0,26
10,165,0.95,3,0,26
10,166,0.15,9,11,22
10,166,0.9,6,1,22
10,166,0.95,4,0,22
10,167,0.15,11,13,30
10,167,0.9,3,0,30
10,167,0.95,2,0,30
10,168,0.15,12,14,23
10,168,0.9,7,2,23
10,168,0.95,4,1,23
10,169,0.15,13,18,27
10,169,0.9,4,0,27
10,169,0.95,4,0,27
10,170,0.15,5,12,19
10,170,0.9,3,0,19
10,170,0.95,2,0,19
10,171,0.15,9,17,17
10,171,0.9,4,0,17
10,171,0.95,3,0,17
10,172,0.15,11,15,27
10,172,0.9,5,0,27
10,172,0.95,3,0,27
10,173,0.15,8,21,23
10,173,0.9,4,0,23
10,173,0.95,3,0,23
10,174,0.15,10,20,18
10,174,0.9,8,0,18
10,174,0.95,6,0,18
10,175,0.15,10,12,22
10,175,0.9,6,1,22
10,175,0.95,6,0,22
10,176,0.15,7,16,28
10,176,0.9,4,1,28
10,176,0.95,3,1,28
10,177,0.15,5,14,20
10,177,0.9,4,2,20
10,177,0.95,3,1,20
10,178,0.15,11,15,23
10,178,0.9,6,3,23
10,178,0.95,4,3,23
10,179,0.15,8,12,21
10,179,0.9,6,2,21
10,179,0.95,6,1,21
10,180,0.15,7,16,17
10,180,0.9,4,3,17
10,180,0.95,3,3,17
10,181,0.15,11,12,28
10,181,0.9,6,1,28
10,181,0.95,6,0,28
10,182,0.15,12,15,21
10,182,0.9,7,4,21
10,182,0.95,5,2,21
10,183,0.15,10,7,21
10,183,0.9,7,2,21
10,183,0.95,6,1,21
10,184,0.15,9,13,21
10,184,0.9,4,1,21
10,184,0.95,4,1,21
10,185,0.15,13,9,22
10,185,0.9,6,2,22
10,185,0.95,5,0,22
10,186,0.15,11,7,25
10,186,0.9,8,1,25
10,186,0.95,7,0,25
10,187,0.15,10,14,22
10,187,0.9,6,3,22
10,187,0.95,4,0,22
10,188,0.15,7,10,16
10,188,0.9,5,0,16
10,188,0.95,5,0,16
10,189,0.15,12,6,26
10,189,0.9,5,0,26
10,189,0.95,5,0,26
10,190,0.15,8,19,24
10,190,0.9,5,0,24
10,190,0.95,5,0,24
10,191,0.15,10,15,21
10,191,0.9,4,2,21
10,191,0.95,4,2,21
10,192,0.15,13,19,25
10,192,0.9,8,3,25
10,192,0.95,5,2,25
10,193,0.15,9,23,23
10,193,0.9,5,2,23
10,193,0.95,5,0,23
10,194,0.15,13,13,31
10,194,0.9,8,0,31
10,194,0.95,8,0,31
10,195,0.15,14,11,30
10,195,0.9,7,1,30
10,195,0.95,7,0,30
10,196,0.15,11,17,28
10,196,0.9,7,2,28
10,196,0.95,6,1,28
10,197,0.15,8,11,24
10,197,0.9,5,2,24
10,197,0.95,4,1,24
10,198,0.15,12,21,24
10,198,0.9,7,0,24
10,198,0.95,6,0,24
10,199,0.15,12,21,29
10,199,0.9,3,1,29
10,199,0.95,2,1,29
10,200,0.15,10,14,31
10,200,0.9,8,1,31
10,200,0.95,7,1,31
20,1,0.15,10,18,28
