Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	trepip	Tree Pipit	0.3650
2	Spectrogram 1	1	6.0	9.0	150	15000	trepip	Tree Pipit	0.8972
3	Spectrogram 1	1	12.0	15.0	150	15000	eurrob1	European Robin	0.6366
4	Spectrogram 1	1	15.0	18.0	150	15000	trepip	Tree Pipit	0.1340
5	Spectrogram 1	1	18.0	21.0	150	15000	eurrob1	European Robin	0.5819
6	Spectrogram 1	1	21.0	24.0	150	15000	trepip	Tree Pipit	0.2398
7	Spectrogram 1	1	24.0	27.0	150	15000	trepip	Tree Pipit	0.2544
8	Spectrogram 1	1	27.0	30.0	150	15000	eurrob1	European Robin	0.2431
9	Spectrogram 1	1	27.0	30.0	150	15000	webwar1	Western Bonelli's Warbler	0.1009
10	Spectrogram 1	1	30.0	33.0	150	15000	trepip	Tree Pipit	0.1751
11	Spectrogram 1	1	33.0	36.0	150	15000	trepip	Tree Pipit	0.7023
12	Spectrogram 1	1	42.0	45.0	150	15000	trepip	Tree Pipit	0.1537
13	Spectrogram 1	1	45.0	48.0	150	15000	eurrob1	European Robin	0.3778
14	Spectrogram 1	1	51.0	54.0	150	15000	trepip	Tree Pipit	0.1534
15	Spectrogram 1	1	57.0	60.0	150	15000	eurrob1	European Robin	0.2392
