"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.1,336,311,38408,719,0.318483412322275,0.00803223223740283,0.318483412322275,0.519319938176198,0.394829612220917,0.500745156482861,0.516097635160824
0.11,329,276,38443,726,0.311848341232227,0.00712828327177871,0.311848341232227,0.543801652892562,0.396385542168675,0.52100605496041,0.539826171716351
0.12,319,247,38470,738,0.301797540208136,0.00637962652064984,0.301797540208136,0.563604240282686,0.393099199014171,0.536240482547217,0.558804655115598
0.13,309,220,38496,749,0.292060491493384,0.0056824052071495,0.292060491493384,0.584120982986768,0.389413988657845,0.55166981726528,0.578394306682976
0.14,300,194,38519,761,0.282752120640905,0.0050112365355307,0.282752120640905,0.607287449392713,0.385852090032154,0.568878973786949,0.600463724460474
0.15,294,171,38539,770,0.276315789473684,0.00441746318780677,0.276315789473684,0.632258064516129,0.384565075212557,0.587723424270931,0.6242956858128
0.16,288,155,38556,775,0.270931326434619,0.00400402986231304,0.270931326434619,0.650112866817156,0.382470119521912,0.600662495399337,0.641227432048145
0.17,282,144,38566,782,0.265037593984962,0.00371996900025833,0.265037593984962,0.661971830985915,0.378523489932886,0.608375634517766,0.652299377061195
0.18,276,130,38578,790,0.25891181988743,0.00335847886741759,0.25891181988743,0.679802955665025,0.375,0.620470774927268,0.669034704555273
0.19,273,116,38590,795,0.25561797752809,0.00299695137704749,0.25561797752809,0.701799485861183,0.374742621825669,0.636450905101481,0.689876901521217
0.2,266,106,38598,804,0.248598130841122,0.00273873501446879,0.248598130841122,0.71505376344086,0.368932038834951,0.643976075192253,0.702012019858897
0.21,262,97,38606,809,0.244631185807656,0.0025062656641604,0.244631185807656,0.729805013927577,0.366433566433566,0.653558327219369,0.715750182575532
0.22,256,91,38612,815,0.239028944911298,0.00235123892204739,0.239028944911298,0.737752161383285,0.361071932299013,0.657104031405707,0.722820161583406
0.23,250,82,38621,821,0.233426704014939,0.00211869880887786,0.233426704014939,0.753012048192771,0.356379187455453,0.665831113896287,0.73677453240349
0.24,248,77,38626,823,0.23155929038282,0.00198950985711702,0.23155929038282,0.763076923076923,0.355300859598854,0.672301068410142,0.746120163236126
0.25,244,69,38634,827,0.227824463118581,0.00178280753429967,0.227824463118581,0.779552715654952,0.352601156069364,0.682349070570818,0.761298693274845
0.26,241,66,38637,830,0.225023342670401,0.00170529416324316,0.225023342670401,0.785016286644951,0.34978229317852,0.684773524987464,0.766138931730194
0.27,240,63,38640,831,0.224089635854342,0.00162778079218665,0.224089635854342,0.792079207920792,0.349344978165939,0.68930562595033,0.772688151477479
0.28,237,60,38643,834,0.221288515406162,0.00155026742113015,0.221288515406162,0.797979797979798,0.346491228070175,0.691911385883565,0.777907770303208
0.29,234,58,38645,837,0.218487394957983,0.00149859184042581,0.218487394957983,0.801369863013699,0.343360234776229,0.692669336583667,0.780747249843084
0.3,231,54,38649,840,0.215686274509804,0.00139524067901713,0.215686274509804,0.810526315789474,0.34070796460177,0.697389451251998,0.788982449021
0.31,226,50,38653,845,0.211017740429505,0.00129188951760845,0.211017740429505,0.818840579710145,0.335560504825538,0.700200473847275,0.796135467894388
0.32,222,46,38657,849,0.207282913165266,0.00118853835619978,0.207282913165266,0.828358208955224,0.33159073935773,0.704235864900168,0.804492124430412
0.33,221,42,38661,850,0.206349206349206,0.0010851871947911,0.206349206349206,0.840304182509506,0.331334332833583,0.711687819662815,0.81549815498155
0.34,219,38,38665,852,0.204481792717087,0.000981836033382425,0.204481792717087,0.852140077821012,0.329819277108434,0.71830985915493,0.826229875611669
0.35,217,37,38666,854,0.202614379084967,0.000955998243030256,0.202614379084967,0.854330708661417,0.327547169811321,0.71840311587147,0.827962676136149
0.36,214,37,38666,857,0.199813258636788,0.000955998243030256,0.199813258636788,0.852589641434263,0.32375189107413,0.715156280715549,0.825875969584655
0.37,211,37,38666,860,0.197012138188609,0.000955998243030256,0.197012138188609,0.850806451612903,0.319939347990902,0.711847588807303,0.823740868153531
0.38,208,38,38666,862,0.194392523364486,0.000981810665564283,0.194392523364486,0.845528455284553,0.316109422492401,0.706352377147423,0.818387222438644
0.39,203,36,38668,867,0.189719626168224,0.000930136420008268,0.189719626168224,0.849372384937239,0.310160427807487,0.705149162239477,0.82110532639167
0.4,201,35,38669,869,0.18785046728972,0.00090429929723026,0.18785046728972,0.851694915254237,0.30781010719755,0.705117622781675,0.822902310498581
0.41,200,32,38672,870,0.186915887850467,0.000826787928896238,0.186915887850467,0.862068965517241,0.307219662058372,0.710999581764952,0.832303255047384
0.42,199,32,38672,871,0.185981308411215,0.000826787928896238,0.185981308411215,0.861471861471861,0.305918524212144,0.709819555182543,0.831568059577989
0.43,197,29,38675,873,0.18411214953271,0.000749276560562216,0.18411214953271,0.871681415929204,0.304012345679012,0.71468203158344,0.840599915504858
0.44,195,27,38676,876,0.182072829131653,0.000697620339508565,0.182072829131653,0.878378378378378,0.301624129930394,0.717066839714471,0.846332344978729
0.45,193,27,38676,878,0.180205415499533,0.000697620339508565,0.180205415499533,0.877272727272727,0.298993028659954,0.714659115661076,0.84491352780547
0.46,192,26,38677,879,0.179271708683473,0.000671782549156396,0.179271708683473,0.880733944954128,0.297905352986811,0.715946479491116,0.847885969131214
0.47,191,25,38678,880,0.178338001867414,0.000645944758804227,0.178338001867414,0.884259259259259,0.296814296814297,0.717252043295781,0.850910855277668
0.48,186,24,38679,885,0.173669467787115,0.000620106968452058,0.173669467787115,0.885714285714286,0.2903981264637,0.713608666215301,0.851162158488514
0.49,184,23,38680,887,0.171802054154995,0.000594269178099889,0.171802054154995,0.888888888888889,0.287949921752739,0.713666438512434,0.853612603922649
