"correct_identification","recording_id","recording_name","common_name","species_num_in_recording","confidence_higher_than","max_conf","n_species_target","start_times","annotated_species_list","first_detection_with_1st_threshold_confidence","first_detection_with_2nd_threshold_confidence","first_detection_with_3rd_threshold_confidence","first_detection_with_4th_threshold_confidence","first_detection_with_5th_threshold_confidence"
"?",168,"Aurignac/66/S4A10950_20190619_140000.wav","Eurasian Blackcap",7,0.95,"0.9819",7,"2M 49S, 2M 51S, 2M 55S, 2M 56S, 2M 57S, 2M 58S, 2M 59S, 3M 1S, 3M 4S, 3M 5S, 3M 6S, 3M 7S, 3M 12S, 3M 13S, 3M 14S, 3M 19S, 3M 20S, 3M 21S, 3M 25S, 3M 26S, 3M 27S, 3M 28S, 3M 29S, 3M 30S, 3M 31S, 3M 32S, 3M 33S, 3M 34S, 3M 35S, 3M 39S, 3M 40S, 3M 41S, 3M 47S, 3M 48S, 3M 49S, 3M 50S, 3M 54S, 3M 55S, 3M 56S, 3M 57S, 3M 58S, 3M 59S, 4M 2S, 4M 4S, 4M 19S, 4M 21S, 4M 25S, 4M 26S, 4M 27S, 4M 28S, 4M 35S, 4M 36S, 4M 37S, 4M 38S, 4M 44S, 4M 45S, 4M 46S, 4M 47S, 4M 52S, 4M 53S, 4M 56S, 4M 57S, 7M 0S, 7M 21S, 7M 22S, 7M 23S, 7M 37S, 7M 42S, 7M 44S, 7M 53S, 7M 55S, 8M 1S, 8M 2S, 8M 3S, 8M 8S, 8M 9S, 8M 10S, 8M 13S, 8M 19S, 8M 20S, 8M 21S, 8M 22S, 8M 25S, 8M 27S, 8M 28S, 8M 33S, 8M 34S, 8M 35S, 8M 43S, 8M 51S, 8M 52S, 8M 53S, 8M 57S, 8M 58S, 8M 59S, 9M 9S, 9M 17S, 9M 19S, 9M 31S, 9M 32S, 9M 33S, 9M 37S, 9M 38S, 9M 39S, 9M 40S, 9M 42S, 9M 43S, 9M 44S, 9M 48S, 9M 49S, 9M 50S, 9M 57S, 10M 3S, 10M 12S, 10M 13S, 10M 14S, 10M 15S, 10M 23S, 10M 25S, 10M 26S, 10M 27S, 10M 28S, 10M 35S, 10M 37S, 10M 38S, 10M 42S, 10M 43S, 10M 44S, 10M 46S, 11M 18S, 13M 16S, 13M 38S, 13M 39S, 13M 45S, 13M 46S, 13M 47S, 13M 56S, 13M 57S, 14M 2S, 14M 3S, 14M 4S, 14M 5S, 14M 10S, 14M 11S, 14M 12S, 14M 13S, 14M 14S, 14M 20S, 14M 22S, 14M 25S, 14M 26S, 14M 28S, 14M 30S, 14M 36S, 14M 38S, 14M 39S, 14M 40S, 14M 43S, 14M 44S, 14M 45S, 14M 46S, 14M 51S, 14M 53S, 14M 54S, 14M 55S, 14M 56S, 14M 59S, 15M 0S, 15M 1S, 15M 2S, 15M 3S, 15M 5S, 15M 6S, 15M 7S, 15M 8S, 15M 9S, 15M 10S, 15M 11S, 15M 16S, 15M 17S, 15M 18S, 15M 19S, 15M 20S, 15M 21S, 15M 23S, 15M 25S, 15M 26S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",169,175,175,178,214
"?",168,"Aurignac/66/S4A10950_20190619_140000.wav","Eurasian Golden Oriole",9,0.95,"0.9592",7,"2S, 15S, 1M 29S, 5M 51S, 6M 9S, 10M 48S, 10M 54S, 11M 3S, 11M 4S, 11M 6S, 11M 11S, 11M 22S, 11M 27S, 11M 33S, 11M 49S, 11M 53S, 11M 54S, 11M 55S, 12M 2S, 12M 3S, 12M 9S, 12M 16S, 12M 17S, 12M 23S, 12M 24S, 12M 25S, 12M 27S, 12M 32S, 12M 33S, 12M 34S, 12M 40S, 12M 49S, 12M 51S, 12M 52S, 12M 53S, 12M 54S, 13M 5S, 13M 6S, 13M 12S, 14M 33S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",2,15,15,369,743
"?",168,"Aurignac/66/S4A10950_20190619_140000.wav","Great Spotted Woodpecker",13,0.9,"0.9177",7,"7M 33S, 19M 31S, 19M 32S, 19M 33S, 20M 57S, 21M 3S, 21M 20S, 21M 25S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",453,453,453,453,NA
"?",168,"Aurignac/66/S4A10950_20190619_140000.wav","Mistle Thrush",17,0.8,"0.8278",7,"12M 20S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",740,740,NA,NA,NA
"?",168,"Aurignac/66/S4A10950_20190619_140000.wav","Song Thrush",19,0.9,"0.9045",7,"3M 23S, 15M 45S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",203,945,945,NA,NA
"?",168,"Aurignac/66/S4A10950_20190619_140000.wav","Spotted Flycatcher",20,0.9,"0.9401",7,"2M 4S, 2M 9S, 5M 22S, 29M 19S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",124,124,322,322,NA
"?",168,"Aurignac/66/S4A10950_20190619_150000.wav","Common Chaffinch",2,0.9,"0.9361",7,"1M 3S, 4M 0S, 21M 50S, 21M 51S, 21M 52S, 22M 7S, 22M 21S, 22M 22S, 22M 23S, 22M 54S, 22M 55S, 22M 56S, 22M 57S, 23M 26S, 23M 35S, 24M 30S, 24M 31S, 26M 37S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",63,1327,1341,1375,NA
"?",168,"Aurignac/66/S4A10950_20190619_150000.wav","Common Chiffchaff",3,0.95,"0.9800",7,"2M 10S, 2M 37S, 2M 41S, 2M 42S, 2M 43S, 3M 2S, 3M 12S, 3M 13S, 3M 14S, 3M 27S, 3M 38S, 3M 39S, 3M 42S, 3M 46S, 3M 47S, 3M 56S, 4M 5S, 4M 7S, 4M 8S, 4M 10S, 4M 11S, 4M 12S, 4M 14S, 4M 15S, 4M 17S, 4M 18S, 4M 20S, 4M 21S, 4M 22S, 4M 23S, 4M 30S, 4M 36S, 4M 37S, 4M 38S, 4M 40S, 4M 41S, 4M 42S, 4M 45S, 4M 46S, 4M 47S, 4M 48S, 4M 49S, 4M 50S, 4M 52S, 4M 53S, 4M 54S, 4M 55S, 4M 59S, 5M 3S, 5M 4S, 5M 5S, 5M 6S, 5M 11S, 5M 22S, 5M 23S, 5M 25S, 5M 26S, 5M 27S, 5M 28S, 5M 29S, 5M 30S, 5M 31S, 5M 39S, 5M 40S, 5M 43S, 5M 44S, 5M 45S, 5M 46S, 6M 1S, 6M 3S, 6M 5S, 6M 7S, 6M 8S, 6M 9S, 6M 10S, 6M 11S, 6M 12S, 6M 13S, 6M 14S, 6M 15S, 6M 18S, 6M 19S, 6M 20S, 6M 21S, 6M 22S, 6M 23S, 6M 24S, 6M 30S, 6M 40S, 7M 37S, 7M 38S, 7M 39S, 13M 1S, 13M 20S, 13M 46S, 14M 38S, 15M 39S, 16M 50S, 29M 46S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",130,130,193,207,285
"?",168,"Aurignac/66/S4A10950_20190619_150000.wav","Eurasian Blackbird",6,0.85,"0.8592",7,"14M 38S, 14M 39S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",878,878,878,NA,NA
"?",168,"Aurignac/66/S4A10950_20190619_150000.wav","Eurasian Blackcap",7,0.95,"0.9819",7,"6M 49S, 6M 50S, 7M 6S, 7M 9S, 7M 10S, 7M 11S, 7M 17S, 7M 18S, 7M 19S, 7M 27S, 7M 34S, 7M 35S, 7M 42S, 7M 43S, 7M 45S, 7M 49S, 7M 54S, 8M 1S, 8M 2S, 8M 3S, 8M 7S, 8M 8S, 8M 9S, 8M 10S, 8M 11S, 8M 12S, 8M 13S, 8M 16S, 8M 23S, 8M 24S, 8M 26S, 8M 27S, 8M 28S, 8M 29S, 8M 30S, 8M 31S, 8M 33S, 8M 39S, 8M 40S, 8M 41S, 8M 45S, 8M 46S, 8M 47S, 8M 48S, 8M 50S, 8M 55S, 8M 56S, 8M 57S, 9M 3S, 9M 4S, 9M 5S, 9M 8S, 9M 10S, 9M 11S, 9M 12S, 9M 16S, 9M 18S, 9M 20S, 9M 21S, 9M 22S, 9M 23S, 9M 25S, 9M 29S, 9M 33S, 9M 36S, 9M 37S, 9M 38S, 9M 39S, 9M 40S, 9M 44S, 9M 45S, 9M 46S, 9M 47S, 9M 50S, 9M 51S, 9M 53S, 9M 54S, 9M 55S, 10M 2S, 10M 3S, 10M 4S, 10M 8S, 10M 9S, 10M 10S, 10M 11S, 10M 12S, 10M 13S, 10M 16S, 10M 17S, 10M 18S, 10M 24S, 10M 25S, 10M 27S, 10M 28S, 10M 29S, 10M 30S, 10M 32S, 10M 35S, 10M 37S, 10M 45S, 10M 47S, 10M 51S, 10M 52S, 10M 53S, 10M 54S, 10M 55S, 11M 0S, 11M 1S, 11M 2S, 11M 3S, 11M 4S, 11M 10S, 11M 11S, 11M 14S, 11M 15S, 11M 16S, 11M 17S, 11M 19S, 11M 22S, 11M 23S, 11M 24S, 11M 25S, 11M 26S, 11M 28S, 11M 35S, 11M 36S, 11M 37S, 11M 38S, 11M 40S, 11M 41S, 11M 42S, 11M 43S, 11M 44S, 11M 45S, 11M 50S, 11M 51S, 11M 52S, 11M 53S, 11M 54S, 12M 1S, 12M 2S, 12M 3S, 12M 4S, 12M 12S, 12M 40S, 12M 41S, 12M 42S, 12M 43S, 12M 46S, 12M 55S, 13M 11S, 13M 25S, 13M 31S, 15M 28S, 16M 17S, 17M 5S, 17M 24S, 17M 57S, 17M 58S, 17M 59S, 18M 0S, 18M 4S, 18M 5S, 18M 6S, 18M 7S, 18M 8S, 18M 13S, 18M 14S, 18M 15S, 18M 16S, 18M 20S, 18M 21S, 18M 22S, 18M 27S, 18M 33S, 18M 34S, 18M 35S, 18M 36S, 18M 37S, 18M 43S, 18M 44S, 18M 45S, 18M 46S, 18M 52S, 18M 53S, 18M 54S, 19M 2S, 19M 3S, 19M 4S, 19M 5S, 19M 11S, 19M 20S, 19M 30S, 19M 31S, 19M 38S, 19M 39S, 19M 51S, 19M 52S, 19M 53S, 19M 54S, 19M 59S, 20M 0S, 20M 1S, 20M 8S, 20M 9S, 20M 14S, 20M 15S, 20M 16S, 20M 21S, 20M 22S, 20M 23S, 20M 27S, 20M 28S, 20M 29S, 20M 32S, 20M 38S, 20M 39S, 20M 43S, 20M 44S, 20M 49S, 20M 50S, 20M 57S, 20M 58S, 20M 59S, 21M 1S, 21M 6S, 21M 7S, 21M 8S, 21M 16S, 21M 17S, 23M 9S, 23M 10S, 23M 22S, 23M 23S, 23M 31S, 23M 32S, 23M 33S, 23M 49S, 23M 50S, 23M 51S, 23M 52S, 23M 53S, 23M 54S, 23M 55S, 24M 1S, 24M 2S, 24M 9S, 24M 10S, 24M 24S, 24M 25S, 24M 26S, 24M 27S, 24M 35S, 24M 36S, 24M 39S, 24M 40S, 24M 41S, 24M 45S, 24M 50S, 24M 51S, 24M 52S, 24M 58S, 24M 59S, 25M 0S, 25M 3S, 25M 4S, 25M 5S, 25M 6S, 25M 7S, 25M 8S, 25M 11S, 25M 17S, 25M 22S, 25M 23S, 25M 24S, 25M 25S, 25M 26S, 25M 27S, 25M 28S, 25M 50S, 25M 52S, 26M 1S, 26M 2S, 26M 15S, 26M 17S, 26M 18S, 26M 31S, 26M 32S, 26M 33S","Phy col, Syl atr, Den med, Eri rub, Fri coe, Cya cae, Ori ori",409,409,409,462,482
