"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.1,680,4395,34372,327,0.675273088381331,0.113369618489953,0.675273088381331,0.133990147783251,0.223610654390003,0.140620628413639,0.135062054209677
0.11,641,3670,35096,367,0.635912698412698,0.0946705876283341,0.635912698412698,0.14868939921132,0.241022748636962,0.155707018747142,0.149825969433568
0.12,607,3124,35642,401,0.60218253968254,0.0805860805860806,0.60218253968254,0.162690967569016,0.256172188225364,0.169988798102267,0.163875137660782
0.13,575,2653,36111,435,0.569306930693069,0.0684397894954081,0.569306930693069,0.178128872366791,0.271354412458707,0.185631812829959,0.179349000957352
0.14,549,2246,36513,466,0.540886699507389,0.0579478314714002,0.540886699507389,0.196422182468694,0.288188976377953,0.204066907182683,0.197668573873055
0.15,528,1932,36828,486,0.520710059171598,0.0498452012383901,0.520710059171598,0.214634146341463,0.303972366148532,0.222321295883489,0.21589059729408
0.16,506,1634,37119,515,0.495592556317336,0.0421644775888318,0.495592556317336,0.236448598130841,0.320151850680164,0.243952241853606,0.237679110412471
0.17,485,1387,37365,537,0.474559686888454,0.035791701073493,0.474559686888454,0.259081196581197,0.335176226675881,0.266190998902305,0.260251192740487
0.18,465,1196,37551,562,0.452775073028238,0.0308669058249671,0.452775073028238,0.279951836243227,0.345982142857143,0.286381915009238,0.281013839774543
0.19,448,1015,37730,581,0.435374149659864,0.026196928635953,0.435374149659864,0.30622009569378,0.359550561797753,0.311658550558579,0.30712215517651
0.2,430,857,37883,604,0.415860735009671,0.02212183789365,0.415860735009671,0.334110334110334,0.37052994398966,0.338019051142144,0.334761897420877
0.21,422,748,37983,621,0.404602109300096,0.0193126952570293,0.404602109300096,0.360683760683761,0.381382738364211,0.363001568587765,0.361071812813975
0.22,413,638,38088,635,0.394083969465649,0.0164747198264732,0.394083969465649,0.392959086584206,0.393520724154359,0.393025078369906,0.39297019256133
0.23,393,573,38150,658,0.373929590865842,0.0147974072256798,0.373929590865842,0.406832298136646,0.389687654933069,0.404737384140062,0.406478172266541
0.24,378,508,38216,672,0.36,0.0131184794959198,0.36,0.426636568848758,0.390495867768595,0.422041245238408,0.425856107083101
0.25,369,448,38274,683,0.350760456273764,0.0115696503279789,0.350760456273764,0.451652386780906,0.394863563402889,0.444137638062872,0.450369779582367
0.26,364,398,38323,689,0.345679012345679,0.0102786601585703,0.345679012345679,0.477690288713911,0.401101928374656,0.46719516798792,0.475890903913117
0.27,356,349,38370,699,0.337440758293839,0.00901366254293758,0.337440758293839,0.504964539007092,0.404545454545454,0.490636400486421,0.502494584585284
0.28,339,300,38417,718,0.320719016083254,0.0077485342356071,0.320719016083254,0.530516431924883,0.399764150943396,0.510858966403688,0.52710254476038
0.29,334,247,38467,726,0.315094339622641,0.00638012088650101,0.315094339622641,0.57487091222031,0.407068860450945,0.548281189648513,0.570216362407032
0.3,322,220,38491,741,0.302916274694262,0.00568313915941205,0.302916274694262,0.59409594095941,0.401246105919003,0.562300975860298,0.588495014747661
0.31,316,202,38508,748,0.296992481203008,0.0052182898475846,0.296992481203008,0.61003861003861,0.399494310998736,0.574422583404619,0.60373789346247
0.32,309,177,38530,758,0.289597000937207,0.00457281628645981,0.289597000937207,0.635802469135803,0.397939471989697,0.594029175619134,0.628364910302615
0.33,302,162,38544,766,0.282771535580524,0.00418539761277321,0.282771535580524,0.650862068965517,0.394255874673629,0.60456900612341,0.642580264599309
0.34,295,141,38564,774,0.275958840037418,0.00364294018860612,0.275958840037418,0.676605504587156,0.39202657807309,0.623368551895587,0.667017394613714
0.35,286,124,38580,784,0.267289719626168,0.00320380322447292,0.267289719626168,0.697560975609756,0.386486486486486,0.637221494102228,0.686617542191585
0.36,279,115,38589,791,0.260747663551402,0.00297126911947086,0.260747663551402,0.708121827411167,0.381147540983607,0.643205858421481,0.696293550778354
0.37,270,103,38601,800,0.252336448598131,0.00266122364613477,0.252336448598131,0.723860589812332,0.374220374220374,0.652173913043478,0.710711493354183
0.38,268,96,38608,802,0.250467289719626,0.00248036378668871,0.250467289719626,0.736263736263736,0.373779637377964,0.660864519872353,0.722391246330398
0.39,263,89,38615,807,0.245794392523364,0.00229950392724266,0.245794392523364,0.747159090909091,0.369901547116737,0.667114294240525,0.732368348497381
0.4,258,76,38628,812,0.241121495327103,0.00196362133112857,0.241121495327103,0.772455089820359,0.367521367521368,0.683816651075772,0.755961705831158
0.41,250,67,38636,821,0.233426704014939,0.00173113195359533,0.233426704014939,0.788643533123028,0.360230547550432,0.691844375712193,0.770498306429465
0.42,241,61,38642,830,0.225023342670401,0.00157610521148231,0.225023342670401,0.798013245033113,0.351056081573197,0.694053870913095,0.778388922643983
0.43,239,57,38646,832,0.223155929038282,0.00147275405007364,0.223155929038282,0.807432432432432,0.349670811997074,0.69967280867918,0.787030093573734
0.44,233,56,38648,837,0.217757009345794,0.00144687887556842,0.217757009345794,0.806228373702422,0.34289919058131,0.695644538110292,0.785218551885219
0.45,227,51,38653,843,0.21214953271028,0.00131769326167838,0.21214953271028,0.816546762589928,0.336795252225519,0.699347589706415,0.794146172497402
0.46,223,49,38655,847,0.208411214953271,0.00126601901612236,0.208411214953271,0.819852941176471,0.332339791356185,0.699188491331612,0.796710293597453
0.47,218,43,38661,852,0.203738317757009,0.00111099627945432,0.203738317757009,0.835249042145594,0.327573253193088,0.706443004193671,0.810379094589621
0.48,213,37,38667,857,0.199065420560748,0.000955973542786275,0.199065420560748,0.852,0.322727272727273,0.714201183431953,0.825201380897583
0.49,210,33,38670,861,0.196078431372549,0.00085264708162158,0.196078431372549,0.864197530864197,0.319634703196347,0.719903206291591,0.835993851247487
0.5,202,29,38674,869,0.188608776844071,0.000749295920212903,0.188608776844071,0.874458874458874,0.310291858678955,0.720369204950703,0.844069339290886
0.51,195,25,38678,876,0.182072829131653,0.000645944758804227,0.182072829131653,0.886363636363636,0.302091402013943,0.72206490960575,0.85366910840449
0.52,191,22,38681,880,0.178338001867414,0.00056843138774772,0.178338001867414,0.896713615023474,0.297507788161994,0.7249386023666,0.86232175584462
0.53,184,22,38681,887,0.171802054154995,0.00056843138774772,0.171802054154995,0.893203883495146,0.288175411119812,0.716281199908404,0.857551566609755
0.54,180,20,38683,891,0.168067226890756,0.000516755807043382,0.168067226890756,0.9,0.28324154209284,0.716459845469445,0.862797209434768
0.55,173,15,38688,898,0.161531279178338,0.000387566855282536,0.161531279178338,0.920212765957447,0.274821286735504,0.721010051483207,0.879321624477882
0.56,169,14,38689,902,0.157796451914099,0.000361729064930367,0.157796451914099,0.923497267759563,0.269537480063796,0.718429607401851,0.881162562593568
0.57,165,11,38692,906,0.15406162464986,0.00028421569387386,0.15406162464986,0.9375,0.264635124298316,0.721636223308464,0.892560655562102
0.58,161,10,38693,910,0.150326797385621,0.000258377903521691,0.150326797385621,0.941520467836257,0.259259259259259,0.718938796952981,0.894887458037532
0.59,151,10,38693,920,0.140989729225023,0.000258377903521691,0.140989729225023,0.937888198757764,0.24512987012987,0.703866191390184,0.88818356531361
0.6,148,9,38694,923,0.138188608776844,0.000232540113169522,0.138188608776844,0.942675159235669,0.241042345276873,0.702204856265699,0.891300459125872
0.61,142,9,38694,929,0.132586367880486,0.000232540113169522,0.132586367880486,0.940397350993378,0.23240589198036,0.692285632348724,0.886896295838229
0.62,139,7,38695,933,0.129664179104478,0.000180869205725802,0.129664179104478,0.952054794520548,0.22824302134647,0.693368544600939,0.895801429300664
0.63,135,6,38696,937,0.125932835820896,0.000155030747764973,0.125932835820896,0.957446808510638,0.222588623248145,0.689603365384615,0.89869496440812
0.64,131,5,38697,941,0.122201492537313,0.000129192289804145,0.122201492537313,0.963235294117647,0.216887417218543,0.685652709359606,0.901785714285714
0.65,126,4,38698,946,0.117537313432836,0.000103353831843316,0.117537313432836,0.969230769230769,0.209650582362729,0.679568527918782,0.904349061967027
0.66,121,4,38698,951,0.112873134328358,0.000103353831843316,0.112873134328358,0.968,0.202172096908939,0.669596354166667,0.900456822870616
0.67,109,4,38698,963,0.101679104477612,0.000103353831843316,0.101679104477612,0.964601769911504,0.183966244725738,0.643402777777778,0.889831878435176
0.68,105,3,38699,967,0.0979477611940299,7.75153738824867e-05,0.0979477611940299,0.972222222222222,0.177966101694915,0.6375,0.893278301886792
0.69,99,3,38699,973,0.0923507462686567,7.75153738824867e-05,0.0923507462686567,0.970588235294118,0.168654173764906,0.62241124260355,0.887065294535131
0.7,94,3,38699,978,0.0876865671641791,7.75153738824867e-05,0.0876865671641791,0.969072164948454,0.16082121471343,0.608993902439024,0.881359079093947
0.71,91,3,38699,981,0.0848880597014925,7.75153738824867e-05,0.0848880597014925,0.968085106382979,0.156089193825043,0.60054347826087,0.877673796791444
0.72,86,2,38700,986,0.0802238805970149,5.16769159216578e-05,0.0802238805970149,0.977272727272727,0.148275862068965,0.589516129032258,0.879862236628849
0.73,80,2,38700,992,0.0746268656716418,5.16769159216578e-05,0.0746268656716418,0.975609756097561,0.138648180242634,0.570469798657718,0.87144089732528
0.74,78,2,38700,994,0.0727611940298507,5.16769159216578e-05,0.0727611940298507,0.975,0.135416666666667,0.563775510204082,0.868386243386243
0.75,72,2,38700,1000,0.0671641791044776,5.16769159216578e-05,0.0671641791044776,0.972972972972973,0.12565445026178,0.542553191489362,0.858356940509915
0.76,67,2,38700,1005,0.0625,5.16769159216578e-05,0.0625,0.971014492753623,0.117440841367222,0.5234375,0.848845960863021
0.77,59,1,38701,1013,0.0550373134328358,2.58384579608289e-05,0.0550373134328358,0.983333333333333,0.104240282685512,0.493602362204724,0.842618778280543
0.78,55,0,38702,1017,0.0513059701492537,0,0.0513059701492537,1,0.0976042590949423,0.478995901639344,0.845252586731589
0.79,50,0,38702,1022,0.0466417910447761,0,0.0466417910447761,1,0.089126559714795,0.454059829059829,0.831686429512516
0.8,46,0,38702,1026,0.042910447761194,0,0.042910447761194,1,0.0822898032200358,0.432522123893805,0.819111424541608
0.81,43,0,38702,1029,0.0401119402985075,0,0.0401119402985075,1,0.0771300448430493,0.415340909090909,0.808451228592703
0.82,42,0,38702,1030,0.0391791044776119,0,0.0391791044776119,1,0.0754039497307002,0.409403669724771,0.804628224582701
0.83,40,0,38702,1032,0.0373134328358209,0,0.0373134328358209,1,0.0719424460431655,0.397196261682243,0.796529968454259
0.84,38,0,38702,1034,0.0354477611940298,0,0.0354477611940298,1,0.0684684684684685,0.384523809523809,0.787766830870279
0.85,38,0,38702,1034,0.0354477611940298,0,0.0354477611940298,1,0.0684684684684685,0.384523809523809,0.787766830870279
0.86,34,0,38702,1038,0.0317164179104478,0,0.0317164179104478,1,0.0614828209764919,0.357673267326733,0.767889087656529
0.87,33,0,38702,1039,0.0307835820895522,0,0.0307835820895522,1,0.0597285067873303,0.350625,0.762351326623971
0.88,29,0,38702,1043,0.0270522388059701,0,0.0270522388059701,1,0.0526793823796549,0.320963541666667,0.737411883182276
0.89,26,0,38702,1046,0.0242537313432836,0,0.0242537313432836,1,0.0473588342440801,0.297043010752688,0.715141612200436
0.9,22,0,38702,1050,0.0205223880597015,0,0.0205223880597015,1,0.0402193784277879,0.262640449438202,0.679095354523227
