Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	eutdov	European Turtle-Dove	0.1786
2	Spectrogram 1	1	1.0	4.0	150	15000	eutdov	European Turtle-Dove	0.1063
3	Spectrogram 1	1	2.0	5.0	150	15000	comqua1	Common Quail	0.1390
4	Spectrogram 1	1	27.0	30.0	150	15000	skylar	Eurasian Skylark	0.2016
5	Spectrogram 1	1	35.0	38.0	150	15000	melwar1	Melodious Warbler	0.6066
6	Spectrogram 1	1	36.0	39.0	150	15000	melwar1	Melodious Warbler	0.1012
7	Spectrogram 1	1	42.0	45.0	150	15000	spofly1	Spotted Flycatcher	0.1123
8	Spectrogram 1	1	43.0	46.0	150	15000	melwar1	Melodious Warbler	0.1462
9	Spectrogram 1	1	44.0	47.0	150	15000	melwar1	Melodious Warbler	0.1123
10	Spectrogram 1	1	45.0	48.0	150	15000	melwar1	Melodious Warbler	0.2217
11	Spectrogram 1	1	47.0	50.0	150	15000	melwar1	Melodious Warbler	0.1907
12	Spectrogram 1	1	48.0	51.0	150	15000	melwar1	Melodious Warbler	0.1619
