Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	webwar1	Western Bonelli's Warbler	0.1424
2	Spectrogram 1	1	0	3.0	150	15000	cirbun1	Cirl Bunting	0.1309
3	Spectrogram 1	1	1.0	4.0	150	15000	webwar1	Western Bonelli's Warbler	0.1277
4	Spectrogram 1	1	2.0	5.0	150	15000	webwar1	Western Bonelli's Warbler	0.4479
5	Spectrogram 1	1	2.0	5.0	150	15000	trepip	Tree Pipit	0.1878
6	Spectrogram 1	1	2.0	5.0	150	15000	comcha	Common Chaffinch	0.1635
7	Spectrogram 1	1	2.0	5.0	150	15000	cirbun1	Cirl Bunting	0.1426
8	Spectrogram 1	1	2.0	5.0	150	15000	comred2	Common Redstart	0.1361
9	Spectrogram 1	1	2.0	5.0	150	15000	shttre1	Short-toed Treecreeper	0.1100
10	Spectrogram 1	1	3.0	6.0	150	15000	webwar1	Western Bonelli's Warbler	0.3341
11	Spectrogram 1	1	3.0	6.0	150	15000	comnig1	Common Nightingale	0.2407
12	Spectrogram 1	1	3.0	6.0	150	15000	comred2	Common Redstart	0.1889
13	Spectrogram 1	1	3.0	6.0	150	15000	cirbun1	Cirl Bunting	0.1796
14	Spectrogram 1	1	3.0	6.0	150	15000	garwar1	Garden Warbler	0.1371
15	Spectrogram 1	1	3.0	6.0	150	15000	trepip	Tree Pipit	0.1291
16	Spectrogram 1	1	3.0	6.0	150	15000	eugori2	Eurasian Golden Oriole	0.1137
17	Spectrogram 1	1	4.0	7.0	150	15000	comnig1	Common Nightingale	0.1649
18	Spectrogram 1	1	4.0	7.0	150	15000	webwar1	Western Bonelli's Warbler	0.1555
19	Spectrogram 1	1	5.0	8.0	150	15000	comnig1	Common Nightingale	0.2001
20	Spectrogram 1	1	5.0	8.0	150	15000	cirbun1	Cirl Bunting	0.1650
21	Spectrogram 1	1	5.0	8.0	150	15000	webwar1	Western Bonelli's Warbler	0.1620
22	Spectrogram 1	1	5.0	8.0	150	15000	eugori2	Eurasian Golden Oriole	0.1401
23	Spectrogram 1	1	5.0	8.0	150	15000	wooshr1	Woodchat Shrike	0.1219
24	Spectrogram 1	1	5.0	8.0	150	15000	eurgre1	European Greenfinch	0.1150
25	Spectrogram 1	1	5.0	8.0	150	15000	comred2	Common Redstart	0.1049
26	Spectrogram 1	1	6.0	9.0	150	15000	woolar1	Wood Lark	0.2039
27	Spectrogram 1	1	6.0	9.0	150	15000	cirbun1	Cirl Bunting	0.1486
