Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	melwar1	Melodious Warbler	0.1228
2	Spectrogram 1	1	3.0	6.0	150	15000	grewhi1	Greater Whitethroat	0.1086
3	Spectrogram 1	1	6.0	9.0	150	15000	comnig1	Common Nightingale	0.1552
4	Spectrogram 1	1	6.0	9.0	150	15000	grewhi1	Greater Whitethroat	0.1110
5	Spectrogram 1	1	12.0	15.0	150	15000	garwar1	Garden Warbler	0.2057
6	Spectrogram 1	1	21.0	24.0	150	15000	comnig1	Common Nightingale	0.1846
