Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	16.0	19.0	150	15000	woolar1	Wood Lark	0.6224
2	Spectrogram 1	1	18.0	21.0	150	15000	woolar1	Wood Lark	0.4199
3	Spectrogram 1	1	24.0	27.0	150	15000	comnig1	Common Nightingale	0.8314
4	Spectrogram 1	1	30.0	33.0	150	15000	comnig1	Common Nightingale	0.3985
5	Spectrogram 1	1	32.0	35.0	150	15000	comnig1	Common Nightingale	0.1842
6	Spectrogram 1	1	34.0	37.0	150	15000	woolar1	Wood Lark	0.2083
7	Spectrogram 1	1	38.0	41.0	150	15000	comnig1	Common Nightingale	0.4588
8	Spectrogram 1	1	42.0	45.0	150	15000	woolar1	Wood Lark	0.2359
9	Spectrogram 1	1	52.0	55.0	150	15000	comnig1	Common Nightingale	0.1335
10	Spectrogram 1	1	54.0	57.0	150	15000	comnig1	Common Nightingale	0.5841
