"Habitat","Recordings analyzed","Species annotated","Correctly_identified_15","Incorrectly_identified_15","Correctly_identified_55","Incorrectly_identified_55","Correctly_identified_85","Incorrectly_identified_85"
"crop",39,40,10,25,8,6,4,3
"grassland",54,50,24,25,14,4,11,2
"mosaic",51,45,18,35,11,4,6,1
"wood",36,39,20,14,17,2,11,1
