Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	1.0	4.0	150	15000	webwar1	Western Bonelli's Warbler	0.1193
2	Spectrogram 1	1	34.0	37.0	150	15000	webwar1	Western Bonelli's Warbler	0.1072
3	Spectrogram 1	1	38.0	41.0	150	15000	woolar1	Wood Lark	0.3644
4	Spectrogram 1	1	40.0	43.0	150	15000	woolar1	Wood Lark	0.2577
5	Spectrogram 1	1	46.0	49.0	150	15000	blackc1	Eurasian Blackcap	0.4505
6	Spectrogram 1	1	47.0	50.0	150	15000	blackc1	Eurasian Blackcap	0.8346
7	Spectrogram 1	1	48.0	51.0	150	15000	blackc1	Eurasian Blackcap	0.6370
8	Spectrogram 1	1	52.0	55.0	150	15000	blackc1	Eurasian Blackcap	0.1028
9	Spectrogram 1	1	57.0	60.0	150	15000	webwar1	Western Bonelli's Warbler	0.1393
10	Spectrogram 1	1	59.0	62.0	150	15000	sonthr1	Song Thrush	0.1730
