Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	comqua1	Common Quail	0.1371
2	Spectrogram 1	1	0	3.0	150	15000	comnig1	Common Nightingale	0.1016
3	Spectrogram 1	1	2.0	5.0	150	15000	eurbla	Eurasian Blackbird	0.1521
4	Spectrogram 1	1	2.0	5.0	150	15000	comqua1	Common Quail	0.1002
5	Spectrogram 1	1	4.0	7.0	150	15000	comqua1	Common Quail	0.1056
6	Spectrogram 1	1	6.0	9.0	150	15000	comqua1	Common Quail	0.1006
7	Spectrogram 1	1	12.0	15.0	150	15000	litowl1	Little Owl	0.1121
8	Spectrogram 1	1	14.0	17.0	150	15000	litowl1	Little Owl	0.1822
9	Spectrogram 1	1	16.0	19.0	150	15000	litowl1	Little Owl	0.1817
10	Spectrogram 1	1	18.0	21.0	150	15000	litowl1	Little Owl	0.1478
11	Spectrogram 1	1	20.0	23.0	150	15000	comqua1	Common Quail	0.3222
12	Spectrogram 1	1	22.0	25.0	150	15000	comqua1	Common Quail	0.1830
13	Spectrogram 1	1	22.0	25.0	150	15000	graher1	Gray Heron	0.1232
14	Spectrogram 1	1	22.0	25.0	150	15000	litowl1	Little Owl	0.1048
15	Spectrogram 1	1	24.0	27.0	150	15000	comnig1	Common Nightingale	0.2231
16	Spectrogram 1	1	26.0	29.0	150	15000	comqua1	Common Quail	0.2096
17	Spectrogram 1	1	26.0	29.0	150	15000	comnig1	Common Nightingale	0.1826
18	Spectrogram 1	1	28.0	31.0	150	15000	comqua1	Common Quail	0.1060
19	Spectrogram 1	1	32.0	35.0	150	15000	comnig1	Common Nightingale	0.4861
20	Spectrogram 1	1	32.0	35.0	150	15000	eurbla	Eurasian Blackbird	0.1463
21	Spectrogram 1	1	32.0	35.0	150	15000	rebshr1	Red-backed Shrike	0.1278
22	Spectrogram 1	1	32.0	35.0	150	15000	comqua1	Common Quail	0.1160
23	Spectrogram 1	1	34.0	37.0	150	15000	comqua1	Common Quail	0.1539
24	Spectrogram 1	1	34.0	37.0	150	15000	mallar3	Mallard	0.1025
25	Spectrogram 1	1	36.0	39.0	150	15000	comnig1	Common Nightingale	0.2114
26	Spectrogram 1	1	44.0	47.0	150	15000	comnig1	Common Nightingale	0.4174
27	Spectrogram 1	1	46.0	49.0	150	15000	comqua1	Common Quail	0.1910
28	Spectrogram 1	1	52.0	55.0	150	15000	rebshr1	Red-backed Shrike	0.1430
29	Spectrogram 1	1	54.0	57.0	150	15000	comnig1	Common Nightingale	0.1488
30	Spectrogram 1	1	54.0	57.0	150	15000	comqua1	Common Quail	0.1382
31	Spectrogram 1	1	54.0	57.0	150	15000	rebshr1	Red-backed Shrike	0.1010
32	Spectrogram 1	1	56.0	59.0	150	15000	comnig1	Common Nightingale	0.3124
33	Spectrogram 1	1	56.0	59.0	150	15000	grrwar1	Great Reed Warbler	0.1320
34	Spectrogram 1	1	56.0	59.0	150	15000	comqua1	Common Quail	0.1205
