Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	woolar1	Wood Lark	0.2439
2	Spectrogram 1	1	1.0	4.0	150	15000	woolar1	Wood Lark	0.2175
3	Spectrogram 1	1	3.0	6.0	150	15000	woolar1	Wood Lark	0.3226
4	Spectrogram 1	1	4.0	7.0	150	15000	woolar1	Wood Lark	0.4958
5	Spectrogram 1	1	5.0	8.0	150	15000	woolar1	Wood Lark	0.2890
6	Spectrogram 1	1	8.0	11.0	150	15000	woolar1	Wood Lark	0.1293
7	Spectrogram 1	1	9.0	12.0	150	15000	woolar1	Wood Lark	0.2173
8	Spectrogram 1	1	12.0	15.0	150	15000	woolar1	Wood Lark	0.4293
9	Spectrogram 1	1	13.0	16.0	150	15000	woolar1	Wood Lark	0.7208
10	Spectrogram 1	1	14.0	17.0	150	15000	woolar1	Wood Lark	0.8352
11	Spectrogram 1	1	15.0	18.0	150	15000	woolar1	Wood Lark	0.7673
12	Spectrogram 1	1	16.0	19.0	150	15000	woolar1	Wood Lark	0.3438
13	Spectrogram 1	1	16.0	19.0	150	15000	lirplo	Little Ringed Plover	0.1883
14	Spectrogram 1	1	17.0	20.0	150	15000	woolar1	Wood Lark	0.7278
15	Spectrogram 1	1	18.0	21.0	150	15000	woolar1	Wood Lark	0.7915
16	Spectrogram 1	1	19.0	22.0	150	15000	woolar1	Wood Lark	0.7419
17	Spectrogram 1	1	20.0	23.0	150	15000	woolar1	Wood Lark	0.7244
18	Spectrogram 1	1	23.0	26.0	150	15000	comnig1	Common Nightingale	0.1003
19	Spectrogram 1	1	28.0	31.0	150	15000	woolar1	Wood Lark	0.3116
20	Spectrogram 1	1	29.0	32.0	150	15000	woolar1	Wood Lark	0.6350
21	Spectrogram 1	1	30.0	33.0	150	15000	woolar1	Wood Lark	0.2395
22	Spectrogram 1	1	34.0	37.0	150	15000	woolar1	Wood Lark	0.1456
23	Spectrogram 1	1	36.0	39.0	150	15000	woolar1	Wood Lark	0.1664
24	Spectrogram 1	1	39.0	42.0	150	15000	woolar1	Wood Lark	0.1100
25	Spectrogram 1	1	40.0	43.0	150	15000	woolar1	Wood Lark	0.6046
26	Spectrogram 1	1	41.0	44.0	150	15000	woolar1	Wood Lark	0.7243
27	Spectrogram 1	1	42.0	45.0	150	15000	woolar1	Wood Lark	0.6274
28	Spectrogram 1	1	43.0	46.0	150	15000	woolar1	Wood Lark	0.3829
29	Spectrogram 1	1	46.0	49.0	150	15000	woolar1	Wood Lark	0.5563
30	Spectrogram 1	1	47.0	50.0	150	15000	woolar1	Wood Lark	0.7396
31	Spectrogram 1	1	48.0	51.0	150	15000	woolar1	Wood Lark	0.8526
32	Spectrogram 1	1	49.0	52.0	150	15000	woolar1	Wood Lark	0.5518
33	Spectrogram 1	1	50.0	53.0	150	15000	woolar1	Wood Lark	0.1050
34	Spectrogram 1	1	53.0	56.0	150	15000	eurkes	Eurasian Kestrel	0.2239
35	Spectrogram 1	1	54.0	57.0	150	15000	eurkes	Eurasian Kestrel	0.1603
36	Spectrogram 1	1	55.0	58.0	150	15000	eurkes	Eurasian Kestrel	0.4611
37	Spectrogram 1	1	56.0	59.0	150	15000	eurkes	Eurasian Kestrel	0.2110
38	Spectrogram 1	1	58.0	61.0	150	15000	comnig1	Common Nightingale	0.1463
39	Spectrogram 1	1	59.0	62.0	150	15000	comnig1	Common Nightingale	0.2174
