Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	trepip	Tree Pipit	0.9820
2	Spectrogram 1	1	1.0	4.0	150	15000	trepip	Tree Pipit	0.9563
3	Spectrogram 1	1	2.0	5.0	150	15000	trepip	Tree Pipit	0.9523
4	Spectrogram 1	1	3.0	6.0	150	15000	trepip	Tree Pipit	0.1285
5	Spectrogram 1	1	4.0	7.0	150	15000	trepip	Tree Pipit	0.1999
6	Spectrogram 1	1	10.0	13.0	150	15000	woolar1	Wood Lark	0.1815
7	Spectrogram 1	1	11.0	14.0	150	15000	woolar1	Wood Lark	0.9123
8	Spectrogram 1	1	12.0	15.0	150	15000	woolar1	Wood Lark	0.4633
9	Spectrogram 1	1	14.0	17.0	150	15000	trepip	Tree Pipit	0.2320
10	Spectrogram 1	1	15.0	18.0	150	15000	trepip	Tree Pipit	0.6360
11	Spectrogram 1	1	16.0	19.0	150	15000	trepip	Tree Pipit	0.9918
12	Spectrogram 1	1	17.0	20.0	150	15000	trepip	Tree Pipit	0.9984
13	Spectrogram 1	1	18.0	21.0	150	15000	trepip	Tree Pipit	0.6849
14	Spectrogram 1	1	19.0	22.0	150	15000	trepip	Tree Pipit	0.8580
15	Spectrogram 1	1	24.0	27.0	150	15000	trepip	Tree Pipit	0.1517
16	Spectrogram 1	1	25.0	28.0	150	15000	trepip	Tree Pipit	0.8858
17	Spectrogram 1	1	26.0	29.0	150	15000	trepip	Tree Pipit	0.5221
18	Spectrogram 1	1	34.0	37.0	150	15000	trepip	Tree Pipit	0.8592
19	Spectrogram 1	1	34.0	37.0	150	15000	comcha	Common Chaffinch	0.1334
20	Spectrogram 1	1	35.0	38.0	150	15000	trepip	Tree Pipit	0.9977
21	Spectrogram 1	1	36.0	39.0	150	15000	trepip	Tree Pipit	0.9877
22	Spectrogram 1	1	37.0	40.0	150	15000	trepip	Tree Pipit	0.9779
23	Spectrogram 1	1	38.0	41.0	150	15000	trepip	Tree Pipit	0.9976
24	Spectrogram 1	1	41.0	44.0	150	15000	dunnoc1	Dunnock	0.1155
25	Spectrogram 1	1	46.0	49.0	150	15000	stonec4	European Stonechat	0.1911
26	Spectrogram 1	1	47.0	50.0	150	15000	stonec4	European Stonechat	0.4137
27	Spectrogram 1	1	48.0	51.0	150	15000	stonec4	European Stonechat	0.2594
28	Spectrogram 1	1	50.0	53.0	150	15000	trepip	Tree Pipit	0.2176
29	Spectrogram 1	1	51.0	54.0	150	15000	trepip	Tree Pipit	0.9954
30	Spectrogram 1	1	52.0	55.0	150	15000	trepip	Tree Pipit	0.9917
31	Spectrogram 1	1	53.0	56.0	150	15000	trepip	Tree Pipit	0.9269
32	Spectrogram 1	1	54.0	57.0	150	15000	trepip	Tree Pipit	0.1358
33	Spectrogram 1	1	55.0	58.0	150	15000	trepip	Tree Pipit	0.4445
34	Spectrogram 1	1	56.0	59.0	150	15000	stonec4	European Stonechat	0.1721
35	Spectrogram 1	1	57.0	60.0	150	15000	trepip	Tree Pipit	0.2179
36	Spectrogram 1	1	58.0	61.0	150	15000	trepip	Tree Pipit	0.1054
37	Spectrogram 1	1	59.0	62.0	150	15000	trepip	Tree Pipit	0.1728
