"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Alauda arvensis",0.1,5,1,173,1,0.833333333333333,0.00574712643678161,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"Alauda arvensis",0.11,5,1,173,1,0.833333333333333,0.00574712643678161,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"Alauda arvensis",0.12,5,1,173,1,0.833333333333333,0.00574712643678161,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
"Alauda arvensis",0.13,5,0,174,1,0.833333333333333,0,0.833333333333333,1,0.909090909090909,0.988372093023256,0.99802371541502
"Alauda arvensis",0.14,5,0,174,1,0.833333333333333,0,0.833333333333333,1,0.909090909090909,0.988372093023256,0.99802371541502
"Alauda arvensis",0.15,5,0,174,1,0.833333333333333,0,0.833333333333333,1,0.909090909090909,0.988372093023256,0.99802371541502
"Alauda arvensis",0.16,5,0,174,1,0.833333333333333,0,0.833333333333333,1,0.909090909090909,0.988372093023256,0.99802371541502
"Alauda arvensis",0.17,5,0,174,1,0.833333333333333,0,0.833333333333333,1,0.909090909090909,0.988372093023256,0.99802371541502
"Alauda arvensis",0.18,5,0,174,1,0.833333333333333,0,0.833333333333333,1,0.909090909090909,0.988372093023256,0.99802371541502
"Alauda arvensis",0.19,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.2,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.21,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.22,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.23,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.24,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.25,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.26,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.27,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.28,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.29,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.3,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.31,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.32,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.33,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.34,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.35,4,0,174,2,0.666666666666667,0,0.666666666666667,1,0.8,0.971428571428571,0.995073891625616
"Alauda arvensis",0.36,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.37,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.38,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.39,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.4,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.41,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.42,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.43,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.44,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.45,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.46,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.47,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.48,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.49,3,0,174,3,0.5,0,0.5,1,0.666666666666667,0.944444444444444,0.990196078431373
"Alauda arvensis",0.5,2,0,174,4,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Alauda arvensis",0.51,2,0,174,4,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Alauda arvensis",0.52,2,0,174,4,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
"Alauda arvensis",0.53,2,0,174,4,0.333333333333333,0,0.333333333333333,1,0.5,0.894736842105263,0.980582524271845
