Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	corbun1	Corn Bunting	0.9287
2	Spectrogram 1	1	6.0	9.0	150	15000	corbun1	Corn Bunting	0.3473
3	Spectrogram 1	1	6.0	9.0	150	15000	wooshr1	Woodchat Shrike	0.2222
4	Spectrogram 1	1	8.0	11.0	150	15000	corbun1	Corn Bunting	0.2216
5	Spectrogram 1	1	8.0	11.0	150	15000	wooshr1	Woodchat Shrike	0.1017
6	Spectrogram 1	1	14.0	17.0	150	15000	corbun1	Corn Bunting	0.1023
7	Spectrogram 1	1	18.0	21.0	150	15000	corbun1	Corn Bunting	0.4422
8	Spectrogram 1	1	22.0	25.0	150	15000	corbun1	Corn Bunting	0.1465
9	Spectrogram 1	1	24.0	27.0	150	15000	corbun1	Corn Bunting	0.3687
10	Spectrogram 1	1	36.0	39.0	150	15000	corbun1	Corn Bunting	0.5820
11	Spectrogram 1	1	38.0	41.0	150	15000	corbun1	Corn Bunting	0.4721
12	Spectrogram 1	1	40.0	43.0	150	15000	corbun1	Corn Bunting	0.9689
13	Spectrogram 1	1	52.0	55.0	150	15000	corbun1	Corn Bunting	0.7407
14	Spectrogram 1	1	54.0	57.0	150	15000	corbun1	Corn Bunting	0.2087
15	Spectrogram 1	1	58.0	61.0	150	15000	corbun1	Corn Bunting	0.1261
