Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	blackc1	Eurasian Blackcap	0.1359
2	Spectrogram 1	1	0	3.0	150	15000	trepip	Tree Pipit	0.1175
3	Spectrogram 1	1	3.0	6.0	150	15000	lirplo	Little Ringed Plover	0.1797
4	Spectrogram 1	1	3.0	6.0	150	15000	woolar1	Wood Lark	0.1712
5	Spectrogram 1	1	3.0	6.0	150	15000	trepip	Tree Pipit	0.1147
6	Spectrogram 1	1	6.0	9.0	150	15000	woolar1	Wood Lark	0.1400
7	Spectrogram 1	1	9.0	12.0	150	15000	blackc1	Eurasian Blackcap	0.2736
8	Spectrogram 1	1	9.0	12.0	150	15000	cirbun1	Cirl Bunting	0.1401
9	Spectrogram 1	1	15.0	18.0	150	15000	trepip	Tree Pipit	0.8991
10	Spectrogram 1	1	15.0	18.0	150	15000	watpip1	Water Pipit	0.1310
11	Spectrogram 1	1	18.0	21.0	150	15000	trepip	Tree Pipit	0.9624
12	Spectrogram 1	1	21.0	24.0	150	15000	trepip	Tree Pipit	0.7303
13	Spectrogram 1	1	21.0	24.0	150	15000	martit2	Marsh Tit	0.1020
14	Spectrogram 1	1	24.0	27.0	150	15000	trepip	Tree Pipit	0.3644
15	Spectrogram 1	1	27.0	30.0	150	15000	trepip	Tree Pipit	0.3079
16	Spectrogram 1	1	30.0	33.0	150	15000	trepip	Tree Pipit	0.2771
17	Spectrogram 1	1	30.0	33.0	150	15000	woolar1	Wood Lark	0.2322
18	Spectrogram 1	1	30.0	33.0	150	15000	lirplo	Little Ringed Plover	0.1957
19	Spectrogram 1	1	33.0	36.0	150	15000	trepip	Tree Pipit	0.8959
20	Spectrogram 1	1	36.0	39.0	150	15000	trepip	Tree Pipit	0.7269
21	Spectrogram 1	1	36.0	39.0	150	15000	woolar1	Wood Lark	0.2146
22	Spectrogram 1	1	36.0	39.0	150	15000	whinch1	Whinchat	0.1272
23	Spectrogram 1	1	39.0	42.0	150	15000	grewhi1	Greater Whitethroat	0.1336
24	Spectrogram 1	1	45.0	48.0	150	15000	trepip	Tree Pipit	0.1367
25	Spectrogram 1	1	45.0	48.0	150	15000	lirplo	Little Ringed Plover	0.1298
26	Spectrogram 1	1	51.0	54.0	150	15000	trepip	Tree Pipit	0.8256
27	Spectrogram 1	1	54.0	57.0	150	15000	crelar2	Crested Lark	0.1966
28	Spectrogram 1	1	54.0	57.0	150	15000	woolar1	Wood Lark	0.1951
29	Spectrogram 1	1	54.0	57.0	150	15000	thelar1	Thekla's Lark	0.1558
30	Spectrogram 1	1	54.0	57.0	150	15000	grnsan	Green Sandpiper	0.1094
31	Spectrogram 1	1	54.0	57.0	150	15000	trepip	Tree Pipit	0.1033
32	Spectrogram 1	1	57.0	60.0	150	15000	cirbun1	Cirl Bunting	0.1403
