Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	coatit2	Coal Tit	0.1597
2	Spectrogram 1	1	1.0	4.0	150	15000	coatit2	Coal Tit	0.2029
3	Spectrogram 1	1	8.0	11.0	150	15000	trepip	Tree Pipit	0.5563
4	Spectrogram 1	1	9.0	12.0	150	15000	trepip	Tree Pipit	0.3660
5	Spectrogram 1	1	10.0	13.0	150	15000	trepip	Tree Pipit	0.3715
6	Spectrogram 1	1	18.0	21.0	150	15000	trepip	Tree Pipit	0.9161
7	Spectrogram 1	1	19.0	22.0	150	15000	trepip	Tree Pipit	0.9625
8	Spectrogram 1	1	20.0	23.0	150	15000	trepip	Tree Pipit	0.9353
9	Spectrogram 1	1	21.0	24.0	150	15000	trepip	Tree Pipit	0.7676
10	Spectrogram 1	1	22.0	25.0	150	15000	trepip	Tree Pipit	0.8103
11	Spectrogram 1	1	23.0	26.0	150	15000	trepip	Tree Pipit	0.9115
12	Spectrogram 1	1	24.0	27.0	150	15000	trepip	Tree Pipit	0.9534
13	Spectrogram 1	1	33.0	36.0	150	15000	trepip	Tree Pipit	0.3446
14	Spectrogram 1	1	36.0	39.0	150	15000	trepip	Tree Pipit	0.4865
15	Spectrogram 1	1	37.0	40.0	150	15000	trepip	Tree Pipit	0.2096
16	Spectrogram 1	1	38.0	41.0	150	15000	trepip	Tree Pipit	0.1164
17	Spectrogram 1	1	39.0	42.0	150	15000	trepip	Tree Pipit	0.2554
18	Spectrogram 1	1	40.0	43.0	150	15000	trepip	Tree Pipit	0.1892
19	Spectrogram 1	1	40.0	43.0	150	15000	martit2	Marsh Tit	0.1301
20	Spectrogram 1	1	44.0	47.0	150	15000	trepip	Tree Pipit	0.1614
21	Spectrogram 1	1	44.0	47.0	150	15000	martit2	Marsh Tit	0.1506
22	Spectrogram 1	1	45.0	48.0	150	15000	martit2	Marsh Tit	0.3214
23	Spectrogram 1	1	45.0	48.0	150	15000	trepip	Tree Pipit	0.1284
24	Spectrogram 1	1	46.0	49.0	150	15000	martit2	Marsh Tit	0.4007
25	Spectrogram 1	1	46.0	49.0	150	15000	trepip	Tree Pipit	0.2206
26	Spectrogram 1	1	47.0	50.0	150	15000	trepip	Tree Pipit	0.3757
27	Spectrogram 1	1	47.0	50.0	150	15000	martit2	Marsh Tit	0.1036
28	Spectrogram 1	1	48.0	51.0	150	15000	martit2	Marsh Tit	0.4835
29	Spectrogram 1	1	53.0	56.0	150	15000	trepip	Tree Pipit	0.2805
30	Spectrogram 1	1	53.0	56.0	150	15000	martit2	Marsh Tit	0.1439
31	Spectrogram 1	1	54.0	57.0	150	15000	trepip	Tree Pipit	0.2559
32	Spectrogram 1	1	55.0	58.0	150	15000	trepip	Tree Pipit	0.1868
33	Spectrogram 1	1	55.0	58.0	150	15000	martit2	Marsh Tit	0.1868
34	Spectrogram 1	1	57.0	60.0	150	15000	trepip	Tree Pipit	0.1687
