Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	eurwry	Eurasian Wryneck	0.9197
2	Spectrogram 1	1	1.0	4.0	150	15000	eurwry	Eurasian Wryneck	0.9337
3	Spectrogram 1	1	2.0	5.0	150	15000	eurwry	Eurasian Wryneck	0.6989
4	Spectrogram 1	1	2.0	5.0	150	15000	eugwoo2	Eurasian Green Woodpecker	0.3530
5	Spectrogram 1	1	3.0	6.0	150	15000	eurwry	Eurasian Wryneck	0.9378
6	Spectrogram 1	1	4.0	7.0	150	15000	eurwry	Eurasian Wryneck	0.9594
7	Spectrogram 1	1	5.0	8.0	150	15000	eurwry	Eurasian Wryneck	0.9385
8	Spectrogram 1	1	6.0	9.0	150	15000	eurwry	Eurasian Wryneck	0.9800
9	Spectrogram 1	1	7.0	10.0	150	15000	eurwry	Eurasian Wryneck	0.8981
10	Spectrogram 1	1	8.0	11.0	150	15000	gretit1	Great Tit	0.1669
11	Spectrogram 1	1	8.0	11.0	150	15000	grewhi1	Greater Whitethroat	0.1244
12	Spectrogram 1	1	8.0	11.0	150	15000	wemhar1	Eurasian Marsh-Harrier	0.1237
13	Spectrogram 1	1	8.0	11.0	150	15000	eurwry	Eurasian Wryneck	0.1224
14	Spectrogram 1	1	8.0	11.0	150	15000	reebun	Reed Bunting	0.1158
15	Spectrogram 1	1	8.0	11.0	150	15000	cirbun1	Cirl Bunting	0.1113
16	Spectrogram 1	1	9.0	12.0	150	15000	eurwry	Eurasian Wryneck	0.8610
17	Spectrogram 1	1	9.0	12.0	150	15000	sposta1	Spotless Starling	0.1239
18	Spectrogram 1	1	10.0	13.0	150	15000	eurwry	Eurasian Wryneck	0.1916
19	Spectrogram 1	1	11.0	14.0	150	15000	eurwry	Eurasian Wryneck	0.9101
20	Spectrogram 1	1	12.0	15.0	150	15000	eurwry	Eurasian Wryneck	0.9522
21	Spectrogram 1	1	13.0	16.0	150	15000	eurwry	Eurasian Wryneck	0.9332
22	Spectrogram 1	1	14.0	17.0	150	15000	eurwry	Eurasian Wryneck	0.9420
23	Spectrogram 1	1	15.0	18.0	150	15000	cirbun1	Cirl Bunting	0.2317
24	Spectrogram 1	1	15.0	18.0	150	15000	gretit1	Great Tit	0.1969
25	Spectrogram 1	1	15.0	18.0	150	15000	webwar1	Western Bonelli's Warbler	0.1895
26	Spectrogram 1	1	15.0	18.0	150	15000	woolar1	Wood Lark	0.1857
27	Spectrogram 1	1	15.0	18.0	150	15000	trepip	Tree Pipit	0.1804
28	Spectrogram 1	1	15.0	18.0	150	15000	grewhi1	Greater Whitethroat	0.1636
29	Spectrogram 1	1	15.0	18.0	150	15000	blawoo1	Black Woodpecker	0.1344
30	Spectrogram 1	1	15.0	18.0	150	15000	rocbun1	Rock Bunting	0.1234
31	Spectrogram 1	1	15.0	18.0	150	15000	rebshr1	Red-backed Shrike	0.1222
32	Spectrogram 1	1	15.0	18.0	150	15000	yellow2	Yellowhammer	0.1214
33	Spectrogram 1	1	15.0	18.0	150	15000	stonec4	European Stonechat	0.1194
34	Spectrogram 1	1	15.0	18.0	150	15000	eurwry	Eurasian Wryneck	0.1163
35	Spectrogram 1	1	15.0	18.0	150	15000	reebun	Reed Bunting	0.1145
36	Spectrogram 1	1	15.0	18.0	150	15000	melwar1	Melodious Warbler	0.1121
