Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	cirbun1	Cirl Bunting	0.9976
2	Spectrogram 1	1	3.0	6.0	150	15000	cirbun1	Cirl Bunting	0.9933
3	Spectrogram 1	1	6.0	9.0	150	15000	cirbun1	Cirl Bunting	0.9891
4	Spectrogram 1	1	9.0	12.0	150	15000	cirbun1	Cirl Bunting	0.9965
5	Spectrogram 1	1	12.0	15.0	150	15000	cirbun1	Cirl Bunting	0.9971
6	Spectrogram 1	1	15.0	18.0	150	15000	cirbun1	Cirl Bunting	0.9835
7	Spectrogram 1	1	18.0	21.0	150	15000	cirbun1	Cirl Bunting	0.9840
8	Spectrogram 1	1	21.0	24.0	150	15000	cirbun1	Cirl Bunting	0.9846
9	Spectrogram 1	1	24.0	27.0	150	15000	cirbun1	Cirl Bunting	0.9752
10	Spectrogram 1	1	27.0	30.0	150	15000	cirbun1	Cirl Bunting	0.9865
11	Spectrogram 1	1	30.0	33.0	150	15000	cirbun1	Cirl Bunting	0.9970
12	Spectrogram 1	1	33.0	36.0	150	15000	cirbun1	Cirl Bunting	0.8756
13	Spectrogram 1	1	36.0	39.0	150	15000	cirbun1	Cirl Bunting	0.9934
14	Spectrogram 1	1	39.0	42.0	150	15000	cirbun1	Cirl Bunting	0.9921
15	Spectrogram 1	1	42.0	45.0	150	15000	cirbun1	Cirl Bunting	0.9937
16	Spectrogram 1	1	45.0	48.0	150	15000	cirbun1	Cirl Bunting	0.9125
17	Spectrogram 1	1	48.0	51.0	150	15000	cirbun1	Cirl Bunting	0.9999
18	Spectrogram 1	1	51.0	54.0	150	15000	cirbun1	Cirl Bunting	0.9961
19	Spectrogram 1	1	54.0	57.0	150	15000	cirbun1	Cirl Bunting	0.9992
20	Spectrogram 1	1	57.0	60.0	150	15000	cirbun1	Cirl Bunting	0.9267
