Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	blackc1	Eurasian Blackcap	0.1377
2	Spectrogram 1	1	3.0	6.0	150	15000	blackc1	Eurasian Blackcap	0.3207
3	Spectrogram 1	1	9.0	12.0	150	15000	blackc1	Eurasian Blackcap	0.6720
4	Spectrogram 1	1	12.0	15.0	150	15000	eurbul	Eurasian Bullfinch	0.1441
5	Spectrogram 1	1	15.0	18.0	150	15000	blackc1	Eurasian Blackcap	0.5697
6	Spectrogram 1	1	18.0	21.0	150	15000	blackc1	Eurasian Blackcap	0.3121
7	Spectrogram 1	1	21.0	24.0	150	15000	blackc1	Eurasian Blackcap	0.3184
8	Spectrogram 1	1	24.0	27.0	150	15000	blackc1	Eurasian Blackcap	0.2760
9	Spectrogram 1	1	27.0	30.0	150	15000	blackc1	Eurasian Blackcap	0.5660
10	Spectrogram 1	1	27.0	30.0	150	15000	webwar1	Western Bonelli's Warbler	0.1266
11	Spectrogram 1	1	36.0	39.0	150	15000	blackc1	Eurasian Blackcap	0.2685
12	Spectrogram 1	1	39.0	42.0	150	15000	blackc1	Eurasian Blackcap	0.1218
13	Spectrogram 1	1	45.0	48.0	150	15000	blackc1	Eurasian Blackcap	0.5982
14	Spectrogram 1	1	48.0	51.0	150	15000	blackc1	Eurasian Blackcap	0.4560
15	Spectrogram 1	1	51.0	54.0	150	15000	blackc1	Eurasian Blackcap	0.2537
16	Spectrogram 1	1	54.0	57.0	150	15000	blackc1	Eurasian Blackcap	0.2764
