Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	comchi1	Common Chiffchaff	0.5541
2	Spectrogram 1	1	6.0	9.0	150	15000	blackc1	Eurasian Blackcap	0.5781
3	Spectrogram 1	1	6.0	9.0	150	15000	comchi1	Common Chiffchaff	0.1200
4	Spectrogram 1	1	15.0	18.0	150	15000	blackc1	Eurasian Blackcap	0.1702
5	Spectrogram 1	1	18.0	21.0	150	15000	comchi1	Common Chiffchaff	0.1587
6	Spectrogram 1	1	27.0	30.0	150	15000	blackc1	Eurasian Blackcap	0.9890
7	Spectrogram 1	1	30.0	33.0	150	15000	blackc1	Eurasian Blackcap	0.7737
8	Spectrogram 1	1	30.0	33.0	150	15000	comchi1	Common Chiffchaff	0.1207
9	Spectrogram 1	1	33.0	36.0	150	15000	comchi1	Common Chiffchaff	0.9027
10	Spectrogram 1	1	36.0	39.0	150	15000	comchi1	Common Chiffchaff	0.6335
11	Spectrogram 1	1	39.0	42.0	150	15000	blackc1	Eurasian Blackcap	0.9941
12	Spectrogram 1	1	42.0	45.0	150	15000	blackc1	Eurasian Blackcap	0.9674
13	Spectrogram 1	1	48.0	51.0	150	15000	comchi1	Common Chiffchaff	0.3918
