Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	4.0	7.0	150	15000	eurbla	Eurasian Blackbird	0.6515
2	Spectrogram 1	1	10.0	13.0	150	15000	eurbla	Eurasian Blackbird	0.8149
3	Spectrogram 1	1	14.0	17.0	150	15000	eurbla	Eurasian Blackbird	0.3988
4	Spectrogram 1	1	18.0	21.0	150	15000	eurbla	Eurasian Blackbird	0.3609
5	Spectrogram 1	1	18.0	21.0	150	15000	eurrob1	European Robin	0.1041
6	Spectrogram 1	1	20.0	23.0	150	15000	eurbla	Eurasian Blackbird	0.6865
7	Spectrogram 1	1	22.0	25.0	150	15000	eurbla	Eurasian Blackbird	0.4583
8	Spectrogram 1	1	22.0	25.0	150	15000	grrwar1	Great Reed Warbler	0.1267
9	Spectrogram 1	1	26.0	29.0	150	15000	shttre1	Short-toed Treecreeper	0.4089
10	Spectrogram 1	1	28.0	31.0	150	15000	gretit1	Great Tit	0.1349
11	Spectrogram 1	1	34.0	37.0	150	15000	rebshr1	Red-backed Shrike	0.1618
12	Spectrogram 1	1	34.0	37.0	150	15000	blackc1	Eurasian Blackcap	0.1536
13	Spectrogram 1	1	36.0	39.0	150	15000	blackc1	Eurasian Blackcap	0.1639
14	Spectrogram 1	1	36.0	39.0	150	15000	rebshr1	Red-backed Shrike	0.1563
15	Spectrogram 1	1	42.0	45.0	150	15000	grrwar1	Great Reed Warbler	0.2262
16	Spectrogram 1	1	44.0	47.0	150	15000	eurbla	Eurasian Blackbird	0.1455
17	Spectrogram 1	1	46.0	49.0	150	15000	eurbla	Eurasian Blackbird	0.3026
18	Spectrogram 1	1	46.0	49.0	150	15000	shttre1	Short-toed Treecreeper	0.1264
19	Spectrogram 1	1	48.0	51.0	150	15000	shttre1	Short-toed Treecreeper	0.2027
20	Spectrogram 1	1	48.0	51.0	150	15000	eurbla	Eurasian Blackbird	0.1451
21	Spectrogram 1	1	50.0	53.0	150	15000	eurbla	Eurasian Blackbird	0.2192
22	Spectrogram 1	1	52.0	55.0	150	15000	eurbla	Eurasian Blackbird	0.4112
23	Spectrogram 1	1	54.0	57.0	150	15000	shttre1	Short-toed Treecreeper	0.2292
24	Spectrogram 1	1	56.0	59.0	150	15000	eurbla	Eurasian Blackbird	0.2630
25	Spectrogram 1	1	58.0	61.0	150	15000	eurbla	Eurasian Blackbird	0.4511
26	Spectrogram 1	1	58.0	61.0	150	15000	shttre1	Short-toed Treecreeper	0.1280
