"species","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"Acrocephalus scirpaceus",0.24,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.25,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.26,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.27,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.28,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.29,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.3,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.31,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.32,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.33,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.34,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.35,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Acrocephalus scirpaceus",0.36,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.1,0,14,223,0,NA,0.0590717299578059,NA,0,NA,NA,NA
"Actitis hypoleucos",0.11,0,10,227,0,NA,0.0421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.12,0,6,231,0,NA,0.0253164556962025,NA,0,NA,NA,NA
"Actitis hypoleucos",0.13,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Actitis hypoleucos",0.14,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Actitis hypoleucos",0.15,0,4,233,0,NA,0.0168776371308017,NA,0,NA,NA,NA
"Actitis hypoleucos",0.16,0,3,234,0,NA,0.0126582278481013,NA,0,NA,NA,NA
"Actitis hypoleucos",0.17,0,3,234,0,NA,0.0126582278481013,NA,0,NA,NA,NA
"Actitis hypoleucos",0.18,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Actitis hypoleucos",0.19,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Actitis hypoleucos",0.2,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Actitis hypoleucos",0.21,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Actitis hypoleucos",0.22,0,2,235,0,NA,0.00843881856540084,NA,0,NA,NA,NA
"Actitis hypoleucos",0.23,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.24,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Actitis hypoleucos",0.25,0,1,236,0,NA,0.00421940928270042,NA,0,NA,NA,NA
"Aegithalos caudatus",0.1,3,37,196,1,0.75,0.158798283261803,0.75,0.075,0.136363636363636,0.0791925465838509,0.0756743256743257
"Aegithalos caudatus",0.11,3,32,201,1,0.75,0.137339055793991,0.75,0.0857142857142857,0.153846153846154,0.0904255319148936,0.086472602739726
"Aegithalos caudatus",0.12,3,25,208,1,0.75,0.107296137339056,0.75,0.107142857142857,0.1875,0.11283185840708,0.108059914407989
"Aegithalos caudatus",0.13,3,23,210,1,0.75,0.0987124463519313,0.75,0.115384615384615,0.2,0.121428571428571,0.116359447004608
"Aegithalos caudatus",0.14,3,21,212,1,0.75,0.0901287553648069,0.75,0.125,0.214285714285714,0.131443298969072,0.12603993344426
"Aegithalos caudatus",0.15,3,19,214,1,0.75,0.0815450643776824,0.75,0.136363636363636,0.230769230769231,0.143258426966292,0.137477313974592
"Aegithalos caudatus",0.16,3,18,215,1,0.75,0.0772532188841202,0.75,0.142857142857143,0.24,0.15,0.144011406844106
"Aegithalos caudatus",0.17,3,13,220,1,0.75,0.055793991416309,0.75,0.1875,0.3,0.196153846153846,0.188902743142145
"Aegithalos caudatus",0.18,3,11,222,1,0.75,0.0472103004291846,0.75,0.214285714285714,0.333333333333333,0.223684210526316,0.215811965811966
"Aegithalos caudatus",0.19,3,5,228,1,0.75,0.0214592274678112,0.75,0.375,0.5,0.386363636363636,0.376865671641791
"Aegithalos caudatus",0.2,3,4,229,1,0.75,0.0171673819742489,0.75,0.428571428571429,0.545454545454545,0.439655172413793,0.430397727272727
"Aegithalos caudatus",0.21,3,3,230,1,0.75,0.0128755364806867,0.75,0.5,0.6,0.51,0.501655629139073
"Aegithalos caudatus",0.22,2,3,230,2,0.5,0.0128755364806867,0.5,0.4,0.444444444444444,0.404761904761905,0.400793650793651
"Aegithalos caudatus",0.23,1,3,230,3,0.25,0.0128755364806867,0.25,0.25,0.25,0.25,0.25
"Aegithalos caudatus",0.24,1,3,230,3,0.25,0.0128755364806867,0.25,0.25,0.25,0.25,0.25
"Aegithalos caudatus",0.25,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
"Aegithalos caudatus",0.26,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
"Aegithalos caudatus",0.27,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
"Aegithalos caudatus",0.28,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
"Aegithalos caudatus",0.29,1,2,231,3,0.25,0.00858369098712446,0.25,0.333333333333333,0.285714285714286,0.326923076923077,0.332236842105263
