"recording_id","total_time","species","min_frequency","max_frequency","min_code_n_ind","detected_by_BirdNET","total_detections","proportion_of_time_detected","mean_BirdNET_confidence"
"19","44.230052","Luscinia megarhynchos","1009.44635","3682.704346","1","FALSE","0","0","0"
"20","60.058839","Luscinia megarhynchos","913.718018","8947.173828","4","FALSE","0","0","0"
"20","8.413964","Emberiza calandra","4580.002441","7191.231934","1","FALSE","0","0","0"
"20","30.799088","Sylvia atricapilla","1593.635986","7112.35498","4","FALSE","0","0","0"
"20","7.649059","Fringilla coelebs","1253.080933","7432.669922","4","FALSE","0","0","0"
"20","1.445756","Oriolus oriolus","1176.157104","1993.572998","4","FALSE","0","0","0"
"20","3.143679","Corvus corone","1292.717651","2132.321777","4","FALSE","0","0","0"
"20","1.176778","Curruca communis","1374.420532","4964.65625","1","FALSE","0","0","0"
"20","4.370891","Garrulus glandarius","1176.157104","5256.448242","1","FALSE","0","0","0"
"20","0.949829000000001","Turdus merula","1333.158813","2248.449219","1","FALSE","0","0","0"
"21","3.227735","Emberiza calandra","4311.212891","6615.041992","1","FALSE","0","0","0"
"21","7.89282","Corvus corone","1005.147522","2513.075439","1","FALSE","0","0","0"
"21","12.423416","Sylvia atricapilla","1399.484497","5955.005371","1","TRUE","1","0.223632533918207","0.7199"
"21","7.49775900000001","Emberiza citrinella","3816.141113","6211.554688","1","FALSE","0","0","0"
"21","1.597057","Turdus merula","1340.76062","2831.745361","1","FALSE","0","0","0"
"22","59.948446","Luscinia megarhynchos","933.516724","7726.895996","4","FALSE","0","0","0"
"22","52.391849","Otus scops","1049.879883","1643.79895","1","FALSE","0","0","0"
"22","6.08562499999999","Strix aluco","450.58017","1614.208374","1","FALSE","0","0","0"
"22","29.125262","Lullula arborea","1493.606812","5656.223145","4","TRUE","2","0.136643886671303","0.7429"
"23","24.821616","Troglodytes troglodytes","986.965515","9295.135742","4","FALSE","0","0","0"
"23","59.830768","Luscinia megarhynchos","1279.016968","5854.269531","4","FALSE","0","0","0"
"23","13.600194","Sylvia atricapilla","1569.272217","4951.11377","4","FALSE","0","0","0"
"23","1.832411","Upupa epops","457.85495","788.065918","1","FALSE","0","0","0"
"23","8.111363","Corvus corone","221.705673","3134.677979","1","FALSE","0","0","0"
"23","23.274993","Cuculus canorus","149.694427","847.839172","1","FALSE","0","0","0"
"23","4.816386","Phylloscopus collybita","3178.662598","8849.40625","4","FALSE","0","0","0"
"23","5.102173","Turdus merula","1106.444824","4062.528809","4","FALSE","0","0","0"
"23","9.884937","Curruca communis","1468.074463","10375.583008","4","FALSE","0","0","0"
"23","18.769613","Columba palumbus","240.789215","847.839172","1","FALSE","0","0","0"
"23","0.512739","Oriolus oriolus","937.939331","1875.571777","4","FALSE","0","0","0"
"23","1.19359","Emberiza calandra","4887.029297","8741.112305","1","FALSE","0","0","0"
"23","1.706328","Lullula arborea","2183.377686","4577.345703","4","FALSE","0","0","0"
"24","10.053048","Luscinia megarhynchos","839.145874","10010.227539","1","FALSE","0","0","0"
"24","11.742566","Sylvia atricapilla","1300.477417","4051.726807","1","FALSE","0","0","0"
"24","15.205656","Streptopelia turtur","352.426025","722.733521","1","FALSE","0","0","0"
"24","13.147415","Curruca communis","1031.864868","8451.375","1","TRUE","2","0.0427755570201442","0.7737"
"24","3.00919100000001","Turdus merula","765.406189","3152.72876","1","FALSE","0","0","0"
"24","0.958234000000001","Phylloscopus collybita","1353.615112","3467.970215","1","FALSE","0","0","0"
"24","0.865772000000003","Picus viridis","1380.710815","3307.250488","4","FALSE","0","0","0"
"24","13.919606","Cuculus canorus","376.197876","732.214844","1","FALSE","0","0","0"
"24","2.672968","Corvus corone","298.667206","3203.562256","4","FALSE","0","0","0"
"26","59.948446","Turdus merula","1165.626099","0","4","TRUE","23","1","0.816439130434783"
"26","2.32834","Luscinia megarhynchos","1101.325073","3203.562256","1","FALSE","0","0","0"
"26","13.801929","Curruca communis","676.248596","9870.75293","1","FALSE","0","0","0"
"26","2.698184","Corvus corone","298.667206","3102.556885","1","FALSE","0","0","0"
"26","3.412657","Emberiza calandra","4466.12793","10426.457031","1","FALSE","0","0","0"
"26","3.790907","Cuculus canorus","413.735199","956.236816","1","FALSE","0","0","0"
"26","3.345413","Streptopelia decaocto","325.194366","760.524902","1","FALSE","0","0","0"
"27","24.140765","Curruca communis","1446.824463","10433.146484","1","TRUE","2","0.13212472761323","0.7073"
"27","3.698446","Sylvia atricapilla","1781.42334","4030.542236","1","FALSE","0","0","0"
"27","2.941945","Emberiza calandra","5139.934082","8805.9375","1","FALSE","0","0","0"
"27","5.37955700000001","Luscinia megarhynchos","1716.927979","11348.400391","4","FALSE","0","0","0"
"28","12.852099","Hippolais polyglotta","1713.932373","8341.237305","1","FALSE","0","0","0"
"28","14.432346","Sylvia atricapilla","1573.300171","6584.19873","1","FALSE","0","0","0"
"28","16.769087","Turdus merula","1153.63623","3971.71582","1","FALSE","0","0","0"
"28","15.86129","Curruca communis","1440.860962","7712.899414","1","TRUE","7","0.702905249194737","0.812471428571429"
"28","0.731283999999999","Turdus philomelos","1519.368774","4260.720703","1","FALSE","0","0","0"
"28","2.277907","Emberiza calandra","4893.471191","9016.499023","1","FALSE","0","0","0"
"30","0.98345","Curruca communis","2504.338623","5247.005859","4","FALSE","0","0","0"
"30","16.130268","Turdus merula","1008.545471","3089.380859","1","FALSE","0","0","0"
"30","33.000223","Sylvia atricapilla","1639.820068","9449.476562","1","FALSE","0","0","0"
"30","2.000523","Erithacus rubecula","1898.370728","5309.665039","4","FALSE","0","0","0"
"30","4.942469","Emberiza calandra","4826.3125","9135.307617","1","FALSE","0","0","0"
"30","2.605723","Luscinia megarhynchos","2067.02002","9449.476562","1","FALSE","0","0","0"
"30","6.724448","Emberiza cirlus","3210.424561","5123.644043","1","FALSE","0","0","0"
"30","10.624627","Columba palumbus","270.12085","822.495605","1","FALSE","0","0","0"
"30","1.462567","Garrulus glandarius","973.103577","2748.271729","4","FALSE","0","0","0"
"31","59.982068","Sylvia atricapilla","1771.479736","4975.733398","4","FALSE","0","0","0"
"31","53.223999","Phylloscopus collybita","2715.635498","8042.79541","1","FALSE","0","0","0"
"31","10.137105","Turdus merula","1004.240784","3184.95874","4","FALSE","0","0","0"
"33","25.914339","Phylloscopus collybita","3360.123047","8214.582031","1","FALSE","0","0","0"
