"confidence_threshold","recording_id","species","true_positive","false_positive","true_negative","false_negative"
"0.42","1","Turdus merula","0","0","1","0"
"0.42","1","Hirundo rustica","0","0","1","0"
"0.42","1","Columba palumbus","0","0","1","0"
"0.42","1","Fringilla coelebs","0","0","1","0"
"0.42","1","Apus apus","0","0","1","0"
"0.42","1","Passer domesticus","0","0","1","0"
"0.42","1","Parus major","0","0","1","0"
"0.42","1","Sylvia atricapilla","0","0","1","0"
"0.42","1","Corvus corone","0","0","1","0"
"0.42","1","Luscinia megarhynchos","0","0","0","1"
"0.42","1","Pica pica","0","0","1","0"
"0.42","1","Carduelis carduelis","0","0","1","0"
"0.42","1","Serinus serinus","0","0","1","0"
"0.42","1","Phoenicurus ochruros","0","0","1","0"
"0.42","1","Cuculus canorus","0","0","1","0"
"0.42","1","Milvus migrans","0","0","1","0"
"0.42","1","Erithacus rubecula","0","0","1","0"
"0.42","1","Delichon urbicum","0","0","1","0"
"0.42","1","Streptopelia decaocto","0","0","1","0"
"0.42","1","Anas platyrhynchos","0","0","1","0"
"0.42","1","Motacilla alba","0","0","1","0"
"0.42","1","Falco tinnunculus","0","0","1","0"
"0.42","1","Cyanistes caeruleus","0","0","1","0"
"0.42","1","Emberiza calandra","0","0","1","0"
"0.42","1","Chloris chloris","0","0","1","0"
"0.42","1","Buteo buteo","0","0","1","0"
"0.42","1","Garrulus glandarius","0","0","1","0"
"0.42","1","Merops apiaster","0","0","1","0"
"0.42","1","Columba livia","0","0","1","0"
"0.42","1","Linaria cannabina","0","0","1","0"
"0.42","1","Cettia cetti","0","0","1","0"
"0.42","1","Ardea cinerea","0","0","1","0"
"0.42","1","Troglodytes troglodytes","0","0","1","0"
"0.42","1","Sturnus vulgaris","0","0","1","0"
"0.42","1","Larus michahellis","0","0","1","0"
"0.42","1","Phylloscopus bonelli","0","0","1","0"
"0.42","1","Emberiza cirlus","0","0","1","0"
"0.42","1","Fulica atra","0","0","1","0"
"0.42","1","Oriolus oriolus","0","0","1","0"
"0.42","1","Saxicola rubicola","0","0","1","0"
"0.42","1","Upupa epops","0","0","1","0"
"0.42","1","Egretta garzetta","0","0","1","0"
"0.42","1","Certhia brachydactyla","0","0","1","0"
"0.42","1","Dendrocopos major","0","0","1","0"
"0.42","1","Circus aeruginosus","0","0","1","0"
"0.42","1","Ptyonoprogne rupestris","0","0","1","0"
"0.42","1","Periparus ater","0","0","1","0"
"0.42","1","Streptopelia turtur","0","0","1","0"
"0.42","1","Turdus viscivorus","0","0","1","0"
"0.42","1","Phylloscopus collybita","0","0","1","0"
"0.42","1","Regulus ignicapilla","0","0","1","0"
"0.42","1","Phalacrocorax carbo","0","0","1","0"
"0.42","1","Ciconia ciconia","0","0","1","0"
"0.42","1","Lullula arborea","0","0","1","0"
"0.42","1","Hippolais polyglotta","0","0","1","0"
"0.42","1","Aegithalos caudatus","0","0","1","0"
"0.42","1","Gallinula chloropus","0","0","1","0"
"0.42","1","Corvus corax","0","0","1","0"
"0.42","1","Himantopus himantopus","0","0","1","0"
"0.42","1","Motacilla flava","0","0","1","0"
"0.42","1","Cisticola juncidis","0","0","1","0"
"0.42","1","Corvus monedula","0","0","1","0"
"0.42","1","Alauda arvensis","0","0","1","0"
"0.42","1","Pyrrhocorax pyrrhocorax","0","0","1","0"
"0.42","1","Picus sharpei","0","0","1","0"
"0.42","1","Hieraaetus pennatus","0","0","1","0"
"0.42","1","Turdus philomelos","0","0","1","0"
"0.42","1","Sturnus unicolor","0","0","1","0"
"0.42","1","Galerida cristata","0","0","1","0"
"0.42","1","Milvus milvus","0","0","1","0"
"0.42","1","Chroicocephalus ridibundus","0","0","1","0"
"0.42","1","Podiceps cristatus","0","0","1","0"
"0.42","1","Oenanthe oenanthe","0","0","1","0"
"0.42","1","Lanius collurio","0","0","1","0"
"0.42","1","Circaetus gallicus","0","0","1","0"
"0.42","1","Prunella modularis","0","0","1","0"
"0.42","1","Phoenicurus phoenicurus","0","0","1","0"
"0.42","1","Curruca melanocephala","0","0","1","0"
"0.42","1","Tachybaptus ruficollis","0","0","1","0"
"0.42","1","Sitta europaea","0","0","1","0"
"0.42","1","Lophophanes cristatus","0","0","1","0"
"0.42","1","Alectoris rufa","0","0","1","0"
"0.42","1","Motacilla cinerea","0","0","1","0"
"0.42","1","Curruca communis","0","0","1","0"
"0.42","1","Acrocephalus scirpaceus","0","0","1","0"
"0.42","1","Petronia petronia","0","0","1","0"
"0.42","1","Bubulcus ibis","0","0","1","0"
"0.42","1","Acrocephalus arundinaceus","0","0","1","0"
"0.42","1","Picus viridis","0","0","1","0"
"0.42","1","Actitis hypoleucos","0","0","1","0"
"0.42","1","Ardea alba","0","0","1","0"
"0.42","1","Ardea purpurea","0","0","1","0"
"0.42","1","Passer montanus","0","0","1","0"
"0.42","1","Emberiza cia","0","0","1","0"
"0.42","1","Anthus trivialis","0","0","1","0"
"0.42","1","Muscicapa striata","0","0","1","0"
"0.42","1","Coturnix coturnix","0","0","1","0"
"0.42","1","Tadorna tadorna","0","0","1","0"
"0.42","1","Curruca iberiae","0","0","1","0"
"0.42","1","Lanius senator","0","0","1","0"
"0.42","1","Riparia riparia","0","0","1","0"
"0.42","1","Carduelis citrinella","0","0","1","0"
"0.42","1","Sylvia borin","0","0","1","0"
"0.42","1","Circus pygargus","0","0","1","0"
"0.42","1","Gelochelidon nilotica","0","0","1","0"
"0.42","1","Charadrius dubius","0","0","1","0"
"0.42","1","Apus melba","0","0","1","0"
"0.42","1","Phoenicopterus roseus","0","0","1","0"
"0.42","1","Recurvirostra avosetta","0","0","1","0"
