Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	18.0	21.0	150	15000	goldcr1	Goldcrest	0.1151
2	Spectrogram 1	1	33.0	36.0	150	15000	grnsan	Green Sandpiper	0.1274
3	Spectrogram 1	1	33.0	36.0	150	15000	tawowl1	Tawny Owl	0.1105
4	Spectrogram 1	1	33.0	36.0	150	15000	graher1	Gray Heron	0.1103
5	Spectrogram 1	1	36.0	39.0	150	15000	grnsan	Green Sandpiper	0.1075
6	Spectrogram 1	1	51.0	54.0	150	15000	goldcr1	Goldcrest	0.1038
7	Spectrogram 1	1	54.0	57.0	150	15000	goldcr1	Goldcrest	0.1151
8	Spectrogram 1	1	54.0	57.0	150	15000	trepip	Tree Pipit	0.1071
