Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	4.0	7.0	150	15000	blackc1	Eurasian Blackcap	0.1991
2	Spectrogram 1	1	16.0	19.0	150	15000	blackc1	Eurasian Blackcap	0.5816
3	Spectrogram 1	1	28.0	31.0	150	15000	blackc1	Eurasian Blackcap	0.3589
4	Spectrogram 1	1	34.0	37.0	150	15000	eutdov	European Turtle-Dove	0.6378
5	Spectrogram 1	1	36.0	39.0	150	15000	eutdov	European Turtle-Dove	0.7317
6	Spectrogram 1	1	36.0	39.0	150	15000	blackc1	Eurasian Blackcap	0.1806
7	Spectrogram 1	1	38.0	41.0	150	15000	eutdov	European Turtle-Dove	0.4980
8	Spectrogram 1	1	40.0	43.0	150	15000	eutdov	European Turtle-Dove	0.2027
9	Spectrogram 1	1	44.0	47.0	150	15000	eutdov	European Turtle-Dove	0.3546
10	Spectrogram 1	1	54.0	57.0	150	15000	blackc1	Eurasian Blackcap	0.3810
