Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	grewhi1	Greater Whitethroat	0.5378
2	Spectrogram 1	1	2.0	5.0	150	15000	grewhi1	Greater Whitethroat	0.9177
3	Spectrogram 1	1	4.0	7.0	150	15000	grewhi1	Greater Whitethroat	0.7662
4	Spectrogram 1	1	4.0	7.0	150	15000	eugori2	Eurasian Golden Oriole	0.6930
5	Spectrogram 1	1	6.0	9.0	150	15000	grewhi1	Greater Whitethroat	0.4848
6	Spectrogram 1	1	8.0	11.0	150	15000	grewhi1	Greater Whitethroat	0.3245
7	Spectrogram 1	1	10.0	13.0	150	15000	grewhi1	Greater Whitethroat	0.5227
8	Spectrogram 1	1	10.0	13.0	150	15000	cirbun1	Cirl Bunting	0.1431
9	Spectrogram 1	1	12.0	15.0	150	15000	cirbun1	Cirl Bunting	0.6936
10	Spectrogram 1	1	14.0	17.0	150	15000	cirbun1	Cirl Bunting	0.6066
11	Spectrogram 1	1	22.0	25.0	150	15000	cirbun1	Cirl Bunting	0.1832
12	Spectrogram 1	1	24.0	27.0	150	15000	cirbun1	Cirl Bunting	0.5144
13	Spectrogram 1	1	24.0	27.0	150	15000	rocbun1	Rock Bunting	0.1234
14	Spectrogram 1	1	26.0	29.0	150	15000	eugori2	Eurasian Golden Oriole	0.5990
15	Spectrogram 1	1	26.0	29.0	150	15000	cirbun1	Cirl Bunting	0.4146
16	Spectrogram 1	1	28.0	31.0	150	15000	cirbun1	Cirl Bunting	0.8167
17	Spectrogram 1	1	28.0	31.0	150	15000	grewhi1	Greater Whitethroat	0.6609
18	Spectrogram 1	1	30.0	33.0	150	15000	grewhi1	Greater Whitethroat	0.5792
19	Spectrogram 1	1	30.0	33.0	150	15000	cirbun1	Cirl Bunting	0.3664
20	Spectrogram 1	1	32.0	35.0	150	15000	cirbun1	Cirl Bunting	0.8117
21	Spectrogram 1	1	36.0	39.0	150	15000	cirbun1	Cirl Bunting	0.8973
22	Spectrogram 1	1	38.0	41.0	150	15000	cirbun1	Cirl Bunting	0.1992
23	Spectrogram 1	1	40.0	43.0	150	15000	cirbun1	Cirl Bunting	0.2379
24	Spectrogram 1	1	42.0	45.0	150	15000	eugori2	Eurasian Golden Oriole	0.7504
25	Spectrogram 1	1	42.0	45.0	150	15000	cirbun1	Cirl Bunting	0.6171
26	Spectrogram 1	1	44.0	47.0	150	15000	cirbun1	Cirl Bunting	0.1132
27	Spectrogram 1	1	46.0	49.0	150	15000	melwar1	Melodious Warbler	0.2735
28	Spectrogram 1	1	46.0	49.0	150	15000	grewhi1	Greater Whitethroat	0.1942
29	Spectrogram 1	1	54.0	57.0	150	15000	grewhi1	Greater Whitethroat	0.6748
30	Spectrogram 1	1	56.0	59.0	150	15000	grewhi1	Greater Whitethroat	0.5302
31	Spectrogram 1	1	56.0	59.0	150	15000	carcro1	Carrion Crow	0.3668
