"Habitat","Recordings analyzed","Species annotated","Correctly_identified_1st_threshold","Incorrectly_identified_1st_threshold","Correctly_identified_2nd_threshold","Incorrectly_identified_2nd_threshold","Correctly_identified_3rd_threshold","Incorrectly_identified_3rd_threshold"
"crop",39,40,19,40,13,5,11,4
"grassland",54,50,24,58,17,13,14,9
"mosaic",51,45,27,59,15,9,13,6
"wood",36,39,26,33,19,5,18,4
