Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	firecr1	Common Firecrest	0.4475
2	Spectrogram 1	1	4.0	7.0	150	15000	firecr1	Common Firecrest	0.8186
3	Spectrogram 1	1	6.0	9.0	150	15000	firecr1	Common Firecrest	0.4784
4	Spectrogram 1	1	6.0	9.0	150	15000	cowpig1	Common Wood-Pigeon	0.1250
5	Spectrogram 1	1	10.0	13.0	150	15000	firecr1	Common Firecrest	0.8855
6	Spectrogram 1	1	12.0	15.0	150	15000	winwre4	Eurasian Wren	0.3735
7	Spectrogram 1	1	14.0	17.0	150	15000	winwre4	Eurasian Wren	0.7621
8	Spectrogram 1	1	16.0	19.0	150	15000	winwre4	Eurasian Wren	0.3247
9	Spectrogram 1	1	18.0	21.0	150	15000	firecr1	Common Firecrest	0.5350
10	Spectrogram 1	1	20.0	23.0	150	15000	firecr1	Common Firecrest	0.4550
11	Spectrogram 1	1	26.0	29.0	150	15000	firecr1	Common Firecrest	0.6191
12	Spectrogram 1	1	28.0	31.0	150	15000	firecr1	Common Firecrest	0.4240
13	Spectrogram 1	1	38.0	41.0	150	15000	firecr1	Common Firecrest	0.4320
14	Spectrogram 1	1	42.0	45.0	150	15000	winwre4	Eurasian Wren	0.1774
15	Spectrogram 1	1	44.0	47.0	150	15000	winwre4	Eurasian Wren	0.8685
16	Spectrogram 1	1	46.0	49.0	150	15000	winwre4	Eurasian Wren	0.4943
17	Spectrogram 1	1	50.0	53.0	150	15000	eurjay1	Eurasian Jay	0.3045
