Melanocorypha calandra_Calandra Lark
Podiceps nigricollis_Eared Grebe
Charadrius alexandrinus_Kentish Plover
Emberiza schoeniclus_Reed Bunting
Tyto alba_Barn Owl
Strix aluco_Tawny Owl
Numenius arquata_Eurasian Curlew
Charadrius hiaticula_Common Ringed Plover
Ichthyaetus audouinii_Audouin's Gull
Passer hispaniolensis_Spanish Sparrow
Falco naumanni_Lesser Kestrel
Limosa limosa_Black-tailed Godwit
Ardeola ralloides_Squacco Heron
Phasianus colchicus_Ring-necked Pheasant
Psittacula krameri_Rose-ringed Parakeet
Regulus regulus_Goldcrest
Tringa nebularia_Common Greenshank
Chlidonias hybrida_Whiskered Tern
Falco peregrinus_Peregrine Falcon
Calidris alpina_Dunlin
Calidris minuta_Little Stint
Ixobrychus minutus_Little Bittern
Phylloscopus trochilus_Willow Warbler
Apus pallidus_Pallid Swift
Cygnus olor_Mute Swan
Hydroprogne caspia_Caspian Tern
Morus bassanus_Northern Gannet
Monticola solitarius_Blue Rock-Thrush
Porphyrio porphyrio_Western Swamphen
Larus fuscus_Lesser Black-backed Gull
Calidris ferruginea_Curlew Sandpiper
Hippolais icterina_Icterine Warbler
