"recording_id","station_id","recording_date","recording_time","file_name","recording_file_path","annotation_file_path"
1,100,2021-05-04,"00:00:00","S4A10950_20210504_000000.wav","Aurignac/100/S4A10950_20210504_000000.wav","Aurignac/100/S4A10950_20210504_000000_labels.txt"
2,100,2021-05-04,"07:00:00","S4A10950_20210504_070000.wav","Aurignac/100/S4A10950_20210504_070000.wav","Aurignac/100/S4A10950_20210504_070000_labels.txt"
3,100,2021-05-04,"13:00:00","S4A10950_20210504_130000.wav","Aurignac/100/S4A10950_20210504_130000.wav","Aurignac/100/S4A10950_20210504_130000_labels.txt"
4,108,2021-05-05,"13:00:00","S4A10954_20210505_130000.wav","Aurignac/108/S4A10954_20210505_130000.wav","Aurignac/108/S4A10954_20210505_130000_labels.txt"
5,108,2021-05-06,"00:00:00","S4A10954_20210506_000000.wav","Aurignac/108/S4A10954_20210506_000000.wav","Aurignac/108/S4A10954_20210506_000000_labels.txt"
6,108,2021-05-06,"07:00:00","S4A10954_20210506_070000.wav","Aurignac/108/S4A10954_20210506_070000.wav","Aurignac/108/S4A10954_20210506_070000_labels.txt"
7,109,2020-05-28,"00:00:00","S4A10922_20200528_000000.wav","Aurignac/109/S4A10922_20200528_000000.wav","Aurignac/109/S4A10922_20200528_000000_labels.txt"
8,109,2020-05-28,"07:00:00","S4A10922_20200528_070000.wav","Aurignac/109/S4A10922_20200528_070000.wav","Aurignac/109/S4A10922_20200528_070000_labels.txt"
9,109,2020-05-28,"13:00:00","S4A10922_20200528_130000.wav","Aurignac/109/S4A10922_20200528_130000.wav","Aurignac/109/S4A10922_20200528_130000_labels.txt"
10,116,2020-05-28,"13:00:00","20200528_130000.wav","Aurignac/116/20200528_130000.wav","Aurignac/116/20200528_130000_labels.txt"
11,116,2020-05-29,"00:00:00","20200529_000000.wav","Aurignac/116/20200529_000000.wav","Aurignac/116/20200529_000000_labels.txt"
12,116,2020-05-29,"07:00:00","20200529_070000.wav","Aurignac/116/20200529_070000.wav","Aurignac/116/20200529_070000_labels.txt"
13,121,2019-04-22,"13:00:00","S4A08058_20190422_130000.wav","Aurignac/121/S4A08058_20190422_130000.wav","Aurignac/121/S4A08058_20190422_130000_labels.txt"
14,121,2019-04-23,"00:00:00","S4A08058_20190423_000000.wav","Aurignac/121/S4A08058_20190423_000000.wav","Aurignac/121/S4A08058_20190423_000000_labels.txt"
15,121,2019-04-23,"07:00:00","S4A08058_20190423_070000.wav","Aurignac/121/S4A08058_20190423_070000.wav","Aurignac/121/S4A08058_20190423_070000_labels.txt"
16,124,2021-05-05,"00:00:00","S4A10922_20210505_000000.wav","Aurignac/124/S4A10922_20210505_000000.wav","Aurignac/124/S4A10922_20210505_000000_labels.txt"
17,124,2021-05-05,"07:00:00","S4A10922_20210505_070000.wav","Aurignac/124/S4A10922_20210505_070000.wav","Aurignac/124/S4A10922_20210505_070000_labels.txt"
18,124,2021-05-05,"13:00:00","S4A10922_20210505_130000.wav","Aurignac/124/S4A10922_20210505_130000.wav","Aurignac/124/S4A10922_20210505_130000_labels.txt"
19,137,2020-05-28,"00:00:00","20200528_000000.wav","Aurignac/137/20200528_000000.wav","Aurignac/137/20200528_000000_labels.txt"
20,137,2020-05-28,"07:00:00","20200528_070000.wav","Aurignac/137/20200528_070000.wav","Aurignac/137/20200528_070000_labels.txt"
21,137,2020-05-28,"13:00:00","20200528_130000.wav","Aurignac/137/20200528_130000.wav","Aurignac/137/20200528_130000_labels.txt"
22,138,2021-05-03,"00:00:00","S4A10954_20210503_000000.wav","Aurignac/138/S4A10954_20210503_000000.wav","Aurignac/138/S4A10954_20210503_000000_labels.txt"
23,138,2021-05-03,"07:00:00","S4A10954_20210503_070000.wav","Aurignac/138/S4A10954_20210503_070000.wav","Aurignac/138/S4A10954_20210503_070000_labels.txt"
24,138,2021-05-03,"13:00:00","S4A10954_20210503_130000.wav","Aurignac/138/S4A10954_20210503_130000.wav","Aurignac/138/S4A10954_20210503_130000_labels.txt"
25,139,2019-04-23,"00:00:00","S4A08064_20190423_000000.wav","Aurignac/139/S4A08064_20190423_000000.wav","Aurignac/139/S4A08064_20190423_000000_labels.txt"
26,139,2019-04-23,"07:00:00","S4A08064_20190423_070000.wav","Aurignac/139/S4A08064_20190423_070000.wav","Aurignac/139/S4A08064_20190423_070000_labels.txt"
27,139,2019-04-23,"13:00:00","S4A08064_20190423_130000.wav","Aurignac/139/S4A08064_20190423_130000.wav","Aurignac/139/S4A08064_20190423_130000_labels.txt"
28,14,2020-05-28,"13:00:00","20200528_130000.wav","Aurignac/14/20200528_130000.wav","Aurignac/14/20200528_130000_labels.txt"
29,14,2020-05-29,"00:00:00","20200529_000000.wav","Aurignac/14/20200529_000000.wav","Aurignac/14/20200529_000000_labels.txt"
30,14,2020-05-29,"07:00:00","20200529_070000.wav","Aurignac/14/20200529_070000.wav","Aurignac/14/20200529_070000_labels.txt"
31,145,2019-04-24,"13:00:00","S4A08058_20190424_130000.wav","Aurignac/145/S4A08058_20190424_130000.wav","Aurignac/145/S4A08058_20190424_130000_labels.txt"
