Scientific_name,English_name
Anas superciliosa,Pacific Black Duck
Anas laysanensis,Laysan Duck
Anas wyvilliana,Hawaiian Duck
Anas luzonica,Philippine Duck
Anas poecilorhyncha,Indian Spot-billed Duck
Anas zonorhyncha,Eastern Spot-billed Duck
Anas platyrhynchos,Mallard
Anas diazi,Mexican Duck
Anas rubripes,American Black Duck
Anas fulvigula,Mottled Duck
Anas capensis,Cape Teal
Anas bahamensis,White-cheeked Pintail
Anas erythrorhyncha,Red-billed Duck
Anas acuta,Northern Pintail
Anas eatoni,Eaton's Pintail
Anas georgica,Yellow-billed Pintail
Anas crecca,Green-winged Teal
Anas andium,Andean Teal
Anas flavirostris,Yellow-billed Teal
Anas theodori,Mauritius Duck
Anas albogularis,Andaman Teal
Anas gibberifrons,Sunda Teal
Anas gracilis,Gray Teal
Anas castanea,Chestnut Teal
Anas bernieri,Bernier's Teal
Anas aucklandica,Auckland Islands Teal
Anas nesiotis,Campbell Islands Teal
Anas chlorotis,Brown Teal
Malacorhynchus membranaceus,Pink-eared Duck
Marmaronetta angustirostris,Marbled Teal
Rhodonessa caryophyllacea,Pink-headed Duck
Asarcornis scutulata,White-winged Duck
Netta rufina,Red-crested Pochard
Netta erythrophthalma,Southern Pochard
Netta peposaca,Rosy-billed Pochard
Aythya valisineria,Canvasback
Aythya americana,Redhead
Aythya ferina,Common Pochard
Aythya collaris,Ring-necked Duck
Aythya nyroca,Ferruginous Duck
Aythya innotata,Madagascar Pochard
Aythya baeri,Baer's Pochard
Aythya australis,Hardhead
Aythya fuligula,Tufted Duck
Aythya novaeseelandiae,New Zealand Scaup
Aythya marila,Greater Scaup
Aythya affinis,Lesser Scaup
Polysticta stelleri,Steller's Eider
Somateria fischeri,Spectacled Eider
Somateria spectabilis,King Eider
Somateria mollissima,Common Eider
Histrionicus histrionicus,Harlequin Duck
Camptorhynchus labradorius,Labrador Duck
Melanitta perspicillata,Surf Scoter
Melanitta fusca,Velvet Scoter
Melanitta deglandi,White-winged Scoter
Melanitta stejnegeri,Stejneger's Scoter
Melanitta nigra,Common Scoter
Melanitta americana,Black Scoter
Clangula hyemalis,Long-tailed Duck
Bucephala albeola,Bufflehead
Bucephala clangula,Common Goldeneye
Bucephala islandica,Barrow's Goldeneye
Mergellus albellus,Smew
Lophodytes cucullatus,Hooded Merganser
Mergus australis,Auckland Islands Merganser
Mergus merganser,Common Merganser
Mergus octosetaceus,Brazilian Merganser
Mergus serrator,Red-breasted Merganser
Mergus squamatus,Scaly-sided Merganser
Heteronetta atricapilla,Black-headed Duck
Nomonyx dominicus,Masked Duck
Oxyura jamaicensis,Ruddy Duck
Oxyura ferruginea,Andean Duck
Oxyura leucocephala,White-headed Duck
Oxyura maccoa,Maccoa Duck
Oxyura vittata,Lake Duck
Oxyura australis,Blue-billed Duck
Biziura lobata,Musk Duck
Alectura lathami,Australian Brushturkey
Aepypodius arfakianus,Wattled Brushturkey
Aepypodius bruijnii,Waigeo Brushturkey
Talegalla cuvieri,Red-billed Brushturkey
Talegalla fuscirostris,Yellow-legged Brushturkey
Talegalla jobiensis,Red-legged Brushturkey
Leipoa ocellata,Malleefowl
Macrocephalon maleo,Maleo
Eulipoa wallacei,Moluccan Scrubfowl
Megapodius pritchardii,Niuafoou Scrubfowl
Megapodius laperouse,Micronesian Scrubfowl
Megapodius nicobariensis,Nicobar Scrubfowl
Megapodius cumingii,Tabon Scrubfowl
Megapodius bernsteinii,Sula Scrubfowl
Megapodius tenimberensis,Tanimbar Scrubfowl
Megapodius freycinet,Dusky Scrubfowl
Megapodius geelvinkianus,Biak Scrubfowl
Megapodius forsteni,Forsten's Scrubfowl
Megapodius eremita,Melanesian Scrubfowl
Megapodius layardi,Vanuatu Scrubfowl
Megapodius decollatus,New Guinea Scrubfowl
Megapodius reinwardt,Orange-footed Scrubfowl
Ortalis vetula,Plain Chachalaca
Ortalis cinereiceps,Gray-headed Chachalaca
Ortalis garrula,Chestnut-winged Chachalaca
Ortalis ruficauda,Rufous-vented Chachalaca
Ortalis erythroptera,Rufous-headed Chachalaca
Ortalis wagleri,Rufous-bellied Chachalaca
Ortalis poliocephala,West Mexican Chachalaca
Ortalis canicollis,Chaco Chachalaca
Ortalis leucogastra,White-bellied Chachalaca
Ortalis columbiana,Colombian Chachalaca
Ortalis guttata,Speckled Chachalaca
Ortalis araucuan,East Brazilian Chachalaca
Ortalis squamata,Scaled Chachalaca
Ortalis motmot,Variable Chachalaca
Ortalis ruficeps,Chestnut-headed Chachalaca
Ortalis superciliaris,Buff-browed Chachalaca
Penelope argyrotis,Band-tailed Guan
Penelope barbata,Bearded Guan
Penelope ortoni,Baudo Guan
Penelope montagnii,Andean Guan
Penelope marail,Marail Guan
Penelope superciliaris,Rusty-margined Guan
Penelope dabbenei,Red-faced Guan
Penelope jacquacu,Spix's Guan
Penelope purpurascens,Crested Guan
Penelope perspicax,Cauca Guan
Penelope albipennis,White-winged Guan
Penelope obscura,Dusky-legged Guan
Penelope bridgesi,Yungas Guan
Penelope pileata,White-crested Guan
Penelope ochrogaster,Chestnut-bellied Guan
Penelope jacucaca,White-browed Guan
Pipile pipile,Trinidad Piping-Guan
Pipile cumanensis,Blue-throated Piping-Guan
Pipile cujubi,Red-throated Piping-Guan
Pipile jacutinga,Black-fronted Piping-Guan
Aburria aburri,Wattled Guan
Chamaepetes unicolor,Black Guan
Chamaepetes goudotii,Sickle-winged Guan
Penelopina nigra,Highland Guan
Oreophasis derbianus,Horned Guan
Nothocrax urumutum,Nocturnal Curassow
Mitu tomentosum,Crestless Curassow
Mitu salvini,Salvin's Curassow
Mitu tuberosum,Razor-billed Curassow
Mitu mitu,Alagoas Curassow
Pauxi pauxi,Helmeted Curassow
Pauxi koepckeae,Sira Curassow
Pauxi unicornis,Horned Curassow
Crax rubra,Great Curassow
Crax alberti,Blue-billed Curassow
Crax daubentoni,Yellow-knobbed Curassow
Crax alector,Black Curassow
Crax globulosa,Wattled Curassow
Crax fasciolata,Bare-faced Curassow
Crax blumenbachii,Red-billed Curassow
Numida meleagris,Helmeted Guineafowl
Agelastes meleagrides,White-breasted Guineafowl
Agelastes niger,Black Guineafowl
Acryllium vulturinum,Vulturine Guineafowl
Guttera plumifera,Plumed Guineafowl
Guttera pucherani,Crested Guineafowl
Ptilopachus petrosus,Stone Partridge
Ptilopachus nahani,Nahan's Francolin
Rhynchortyx cinctus,Tawny-faced Quail
Oreortyx pictus,Mountain Quail
Dendrortyx leucophrys,Buffy-crowned Wood-Partridge
Dendrortyx macroura,Long-tailed Wood-Partridge
Dendrortyx barbatus,Bearded Wood-Partridge
Philortyx fasciatus,Banded Quail
Colinus virginianus,Northern Bobwhite
Colinus nigrogularis,Black-throated Bobwhite
Colinus cristatus,Crested Bobwhite
Callipepla squamata,Scaled Quail
Callipepla douglasii,Elegant Quail
Callipepla californica,California Quail
Callipepla gambelii,Gambel's Quail
Cyrtonyx montezumae,Montezuma Quail
Cyrtonyx ocellatus,Ocellated Quail
Dactylortyx thoracicus,Singing Quail
Odontophorus gujanensis,Marbled Wood-Quail
Odontophorus capueira,Spot-winged Wood-Quail
Odontophorus melanotis,Black-eared Wood-Quail
Odontophorus atrifrons,Black-fronted Wood-Quail
