"AcouOccupancy_left","Bioac_left","Ht_left","Hf_left","H_left","ACI_left","AEI_villa_left","M_left","NDSI_left","ADI_left","npic_left","recording_file_path","recording_id"
0.913278157610651,15.2247391467803,0.999789870586185,0.928514172873405,0.92831906473454,1130.73239171509,0.823146,2.14366849154654e-11,-0.106338776080718,0.791877,18,"Aurignac/100/S4A10950_20210504_000000.wav",1
0.0874415257286794,34.6377884517906,0.978117677463429,0.96099662353168,0.939967785459004,1191.73461409224,0.889098,1.74631306010241e-11,0.405173255961076,0.189675,15,"Aurignac/100/S4A10950_20210504_070000.wav",2
0.0234487734487734,33.0415082694362,0.951671366983552,0.968324238608588,0.921526451839942,1176.92442486198,0.899605,9.35046182282399e-12,0.0689884462341219,0.011314,15,"Aurignac/100/S4A10950_20210504_130000.wav",3
0.386028087864602,57.2362878084071,0.970464064972393,0.954292784641781,0.926106854957287,1395.60369286822,0.632526,1.60752198612087e-11,0.989748234537946,1.520753,21,"Aurignac/108/S4A10954_20210505_130000.wav",4
0.998204022988506,31.2530873521639,0.999243849282618,0.916729320436944,0.91603613490365,1175.22242445759,0.664804,2.13982047402292e-11,0.473043247160796,1.43564,17,"Aurignac/108/S4A10954_20210506_000000.wav",5
1,72.3899746832744,0.990245469634069,0.977194493452801,0.967662420092996,1618.18980948142,0.336144,2.02204329276264e-11,0.879633063776949,2.107069,30,"Aurignac/108/S4A10954_20210506_070000.wav",6
1,24.5119990728582,0.999183274005239,0.927913524438922,0.927155673342622,1163.57748359093,0.742969,2.14536111212518e-11,0.916776921831853,1.210152,14,"Aurignac/109/S4A10922_20200528_000000.wav",7
1,44.1947876161054,0.992293388632801,0.984995850449925,0.977404870232203,1415.85039854286,0.291253,2.11643513104877e-11,0.977300481973819,2.155412,31,"Aurignac/109/S4A10922_20200528_070000.wav",8
1,53.8549415663296,0.996746471831485,0.96326492130013,0.960130911744938,1260.31481288963,0.548192,2.1405510527497e-11,0.887239284848917,1.764367,19,"Aurignac/109/S4A10922_20200528_130000.wav",9
1,6.89701417874802,0.974019108772321,0.917299858565224,0.893467590716675,606.72067954369,0.33158,7.84163712445323e-12,0.565191882027074,2.118777,11,"Aurignac/116/20200528_130000.wav",10
1,2.69103892526468,0.980524166116654,0.841247642367239,0.824863643029737,570.861769315807,0.009053,8.79523174291953e-12,0.769933126053056,2.302453,5,"Aurignac/116/20200529_000000.wav",11
1,3.89646308159249,0.97976134455519,0.886080189345822,0.868147117697179,591.618320246097,0.006871,8.90369973227346e-12,0.669813336481796,2.302508,6,"Aurignac/116/20200529_070000.wav",12
0.997837058399423,31.6579266368247,0.999049381828941,0.955801474267573,0.954892872018209,1265.77253917098,0.710398,2.15174313329249e-11,0.409986781797152,1.313155,23,"Aurignac/121/S4A08058_20190422_130000.wav",13
