"AcouOccupancy_left","Bioac_left","Ht_left","Hf_left","H_left","ACI_left","AEI_villa_left","M_left","NDSI_left","ADI_left","npic_left","recording_file_path","recording_id"
0.912839059674503,15.2491124438065,0.999789823649276,0.928446510126224,0.928251372626883,1130.73239171509,0.823641,2.15463813029527e-11,-0.992982686843969,0.788944,19,"Aurignac/100/S4A10950_20210504_000000.wav",1
0.0878842676311031,34.6269822450156,0.978061658786453,0.960893033835316,0.939812634589317,1191.73461409224,0.889032,1.7535967250832e-11,-0.988005622679912,0.190596,14,"Aurignac/100/S4A10950_20210504_070000.wav",2
0.0235081374321881,33.0333156914951,0.951635842441091,0.968289181414946,0.921458690882407,1176.92442486198,0.899605,9.35796069151751e-12,-0.993873080074472,0.011325,15,"Aurignac/100/S4A10950_20210504_130000.wav",3
0.385533453887884,57.2009392806043,0.970381881199633,0.954307215274433,0.926042430800387,1395.60369286822,0.632519,1.61276421049357e-11,0.881519044717516,1.521103,21,"Aurignac/108/S4A10954_20210505_130000.wav",4
0.998191681735985,31.0938680067134,0.999243806589228,0.916880780292031,0.91618744108751,1175.22242445759,0.667047,2.15414767863943e-11,-0.955490846399062,1.429534,17,"Aurignac/108/S4A10954_20210506_000000.wav",5
1,72.3850216879672,0.990239599848264,0.977206241147234,0.967668317202863,1618.18980948142,0.335789,2.02661854991204e-11,0.411268340350609,2.107449,30,"Aurignac/108/S4A10954_20210506_070000.wav",6
1,24.5012533005359,0.999182353780991,0.927807410010612,0.927048791789848,1163.57748359093,0.743232,2.1537140251754e-11,-0.891217199239953,1.20921,14,"Aurignac/109/S4A10922_20200528_000000.wav",7
1,43.733744803586,0.992321357668769,0.985004583664535,0.977441085771951,1415.85039854286,0.292246,2.12997440552931e-11,-0.152597099959145,2.15428,31,"Aurignac/109/S4A10922_20200528_070000.wav",8
1,53.9012437415201,0.996740273433012,0.963258124677884,0.960118166578005,1260.31481288963,0.547777,2.1516612125545e-11,-0.602129893814494,1.765508,19,"Aurignac/109/S4A10922_20200528_130000.wav",9
1,6.89810447879767,0.973993947858526,0.91725166684306,0.893397572168285,606.72067954369,0.331588,7.87045316123037e-12,-0.532577075208349,2.118781,11,"Aurignac/116/20200528_130000.wav",10
1,2.69355547845123,0.980515759588681,0.84134267655488,0.824949753576582,570.861769315807,0.009057,8.82406778869538e-12,0.381870118380489,2.302453,5,"Aurignac/116/20200529_000000.wav",11
1,3.89332328223517,0.979751280920412,0.886447960552193,0.868498524820299,591.618320246097,0.006871,8.95528701272931e-12,0.108979666634796,2.302508,6,"Aurignac/116/20200529_070000.wav",12
0.997830018083183,31.5887744987924,0.999049750550759,0.955871693595224,0.954963377044839,1265.77253917098,0.71057,2.15850205252256e-11,-0.965159803582539,1.312522,23,"Aurignac/121/S4A08058_20190422_130000.wav",13
0.637613019891501,25.7601117861769,0.999283529517779,0.962710733022355,0.962020979199228,1236.36609051547,0.813974,2.15692656173518e-11,-0.991944818555533,0.839903,24,"Aurignac/121/S4A08058_20190423_000000.wav",14
0.970343580470163,63.9818845591517,0.99536348923092,0.959271164415895,0.954823493331613,1425.92070080672,0.375476,2.07543988355123e-11,0.231018016038961,2.048126,30,"Aurignac/121/S4A08058_20190423_070000.wav",15
0.000723327305605787,22.1509957268533,0.975044853072629,0.960136806441299,0.936176451366179,1175.82421996332,0.899645,1.60680896677554e-11,-0.990082896401987,0.009604,13,"Aurignac/124/S4A10922_20210505_000000.wav",16
0.298372513562387,25.6565296433139,0.950577535575096,0.977361461660044,0.929057849590879,1257.28682645356,0.862035,1.05057261750085e-11,-0.969725676470158,0.428233,18,"Aurignac/124/S4A10922_20210505_070000.wav",17
0.849547920433996,22.8619106638567,0.995193244226271,0.972854784077577,0.968178508727213,1176.64381195469,0.780304,2.14228684658273e-11,-0.945013041766001,0.998801,17,"Aurignac/124/S4A10922_20210505_130000.wav",18
0.998915205207015,0.867304963107822,0.896015283221274,0.840127143719139,0.752766760621384,641.738146268352,0.670382,4.52294765866905e-12,0.713847417901861,1.375387,16,"Aurignac/137/20200528_000000.wav",19
1,5.1972608521826,0.97547113162508,0.864491747342224,0.843286743060461,582.667917253866,0.075508,8.23412586723379e-12,0.525274007481032,2.29343,6,"Aurignac/137/20200528_070000.wav",20
1,1.99601103566171,0.976678484272082,0.875677804309792,0.855255670623992,573.685822702366,0.024371,8.302835818126e-12,-0.379015460172248,2.30157,10,"Aurignac/137/20200528_130000.wav",21
0.554430379746835,23.0939283846321,0.998548541029716,0.935639301580649,0.934281259523419,1256.80393671471,0.715451,2.15158034159866e-11,-0.977836839111506,1.306724,22,"Aurignac/138/S4A10954_20210503_000000.wav",22
0.995298372513562,51.6013023272909,0.996908538393359,0.960143819503836,0.957175571748986,1409.85403273597,0.595645,2.15364583281538e-11,-0.882861294721885,1.659523,19,"Aurignac/138/S4A10954_20210503_070000.wav",23
0.988426763110307,30.7887816208081,0.998820806726591,0.961885070995469,0.960750822589958,1233.96137865813,0.705559,2.15397300703348e-11,-0.966657947153496,1.279173,23,"Aurignac/138/S4A10954_20210503_130000.wav",24
0,13.1758940848775,0.940292007525461,0.972574588567165,0.914504112352069,1180.76010024024,0.9,7.69438556794735e-12,-0.996962307122322,0,14,"Aurignac/139/S4A08064_20190423_000000.wav",25
0.277757685352622,41.5098916878971,0.971131265954402,0.958538593979468,0.930866798237433,1355.4347395893,0.691974,1.54633870673495e-11,-0.860342522692836,1.386359,32,"Aurignac/139/S4A08064_20190423_070000.wav",26
