Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	shttre1	Short-toed Treecreeper	0.1313
2	Spectrogram 1	1	10.0	13.0	150	15000	cowpig1	Common Wood-Pigeon	0.1443
3	Spectrogram 1	1	10.0	13.0	150	15000	stodov1	Stock Dove	0.1437
4	Spectrogram 1	1	12.0	15.0	150	15000	trepip	Tree Pipit	0.1455
5	Spectrogram 1	1	13.0	16.0	150	15000	trepip	Tree Pipit	0.2197
6	Spectrogram 1	1	14.0	17.0	150	15000	trepip	Tree Pipit	0.1991
7	Spectrogram 1	1	15.0	18.0	150	15000	eurrob1	European Robin	0.1123
8	Spectrogram 1	1	16.0	19.0	150	15000	eurrob1	European Robin	0.2914
9	Spectrogram 1	1	17.0	20.0	150	15000	eurrob1	European Robin	0.1922
10	Spectrogram 1	1	28.0	31.0	150	15000	trepip	Tree Pipit	0.4941
11	Spectrogram 1	1	31.0	34.0	150	15000	eurrob1	European Robin	0.6018
12	Spectrogram 1	1	32.0	35.0	150	15000	eurrob1	European Robin	0.1775
13	Spectrogram 1	1	33.0	36.0	150	15000	eurrob1	European Robin	0.3324
14	Spectrogram 1	1	33.0	36.0	150	15000	cowpig1	Common Wood-Pigeon	0.1055
15	Spectrogram 1	1	41.0	44.0	150	15000	eurrob1	European Robin	0.3409
16	Spectrogram 1	1	42.0	45.0	150	15000	eurrob1	European Robin	0.4790
17	Spectrogram 1	1	45.0	48.0	150	15000	cowpig1	Common Wood-Pigeon	0.1551
18	Spectrogram 1	1	47.0	50.0	150	15000	martit2	Marsh Tit	0.1559
