"habitat","confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
"alpine meadow",0.1,53,70,8452,75,0.4140625,0.00821403426425722,0.4140625,0.430894308943089,0.422310756972112,0.429866412213741,0.43072095268748
"alpine meadow",0.11,53,65,8457,75,0.4140625,0.00762731753109599,0.4140625,0.449152542372881,0.430894308943089,0.446924603174603,0.448775989268947
"alpine meadow",0.12,52,55,8467,76,0.40625,0.00645388406477353,0.40625,0.485981308411215,0.442553191489362,0.480434782608696,0.485038788326561
"alpine meadow",0.13,52,50,8472,76,0.40625,0.0058671673316123,0.40625,0.509803921568627,0.452173913043478,0.502272727272727,0.50852052672347
"alpine meadow",0.14,52,47,8475,76,0.40625,0.00551513729171556,0.40625,0.525252525252525,0.458149779735683,0.516355140186916,0.523733546071001
"alpine meadow",0.15,51,38,8484,77,0.3984375,0.00445904717202535,0.3984375,0.573033707865168,0.470046082949309,0.558634020618557,0.570558263181214
"alpine meadow",0.16,51,37,8485,77,0.3984375,0.0043417038253931,0.3984375,0.579545454545455,0.472222222222222,0.564453125,0.576948924731183
"alpine meadow",0.17,50,35,8487,78,0.390625,0.00410701713212861,0.390625,0.588235294117647,0.469483568075117,0.571236559139785,0.585303662494205
"alpine meadow",0.18,49,30,8492,79,0.3828125,0.00352030039896738,0.3828125,0.620253164556962,0.473429951690821,0.598419540229885,0.616467364225212
"alpine meadow",0.19,47,27,8495,81,0.3671875,0.00316827035907064,0.3671875,0.635135135135135,0.465346534653465,0.608993902439024,0.63057917109458
"alpine meadow",0.2,47,25,8497,81,0.3671875,0.00293358366580615,0.3671875,0.652777777777778,0.47,0.62421875,0.647789301310044
"alpine meadow",0.21,46,22,8500,82,0.359375,0.00258155362590941,0.359375,0.676470588235294,0.469387755102041,0.643092105263158,0.670612009237875
"alpine meadow",0.22,46,20,8502,82,0.359375,0.00234686693264492,0.359375,0.696969696969697,0.474226804123711,0.660472972972973,0.690546967895363
"alpine meadow",0.23,45,18,8504,83,0.3515625,0.00211218023938043,0.3515625,0.714285714285714,0.471204188481675,0.673415492957746,0.707062850031114
"alpine meadow",0.24,45,16,8506,83,0.3515625,0.00187749354611594,0.3515625,0.737704918032787,0.476190476190476,0.692934782608696,0.729768786127168
"alpine meadow",0.25,45,14,8508,83,0.3515625,0.00164280685285144,0.3515625,0.76271186440678,0.481283422459893,0.713619402985075,0.753981420039814
"alpine meadow",0.26,45,14,8508,83,0.3515625,0.00164280685285144,0.3515625,0.76271186440678,0.481283422459893,0.713619402985075,0.753981420039814
"alpine meadow",0.27,45,12,8510,83,0.3515625,0.00140812015958695,0.3515625,0.789473684210526,0.486486486486487,0.735576923076923,0.779855868222375
