"confidence_threshold","TP","FP","TN","FN","TPR","FPR","recall","precision","F_score1","F_score2","F_score3"
0.1,391,419,40474,669,0.368867924528302,0.0102462524148387,0.368867924528302,0.482716049382716,0.418181818181818,0.474108416547789,0.481245430173044
0.11,383,399,40493,678,0.360980207351555,0.00975740976230069,0.360980207351555,0.489769820971867,0.415626695604992,0.479702350254181,0.488045823292666
0.12,374,352,40539,688,0.352165725047081,0.00860825120442151,0.352165725047081,0.515151515151515,0.41834451901566,0.501498659094494,0.512801715945806
0.13,371,306,40583,693,0.348684210526316,0.00748367531609968,0.348684210526316,0.548005908419498,0.426191843767949,0.530178211163416,0.544921761386772
0.14,368,279,40609,697,0.345539906103286,0.0068235179025631,0.345539906103286,0.568778979907264,0.429906542056075,0.547954804239292,0.565163840948833
0.15,358,240,40648,707,0.336150234741784,0.00586969281940912,0.336150234741784,0.59866220735786,0.430547203848467,0.572369039781811,0.594068840877352
0.16,355,217,40670,711,0.333020637898687,0.00530731039205615,0.333020637898687,0.620629370629371,0.433455433455434,0.590624388334312,0.61536745271685
0.17,351,202,40683,717,0.328651685393258,0.00494068729362847,0.328651685393258,0.634719710669078,0.433066008636644,0.601754739814441,0.628920664206642
0.18,346,186,40699,722,0.323970037453184,0.00454934572581631,0.323970037453184,0.650375939849624,0.4325,0.613987473903967,0.643952237045773
0.19,338,178,40708,729,0.316776007497657,0.0043535684586411,0.316776007497657,0.655038759689923,0.427037271004422,0.616325217204762,0.648185770976133
0.2,329,165,40721,738,0.30834114339269,0.00403561121166169,0.30834114339269,0.665991902834008,0.42152466367713,0.62345334968231,0.658430261358908
0.21,321,157,40731,744,0.301408450704225,0.00383975738603013,0.301408450704225,0.671548117154812,0.416072585871679,0.626305520486629,0.66348101913435
0.22,317,144,40744,748,0.297652582159624,0.00352181569164547,0.297652582159624,0.68763557483731,0.415465268676278,0.638431465466177,0.678829640623344
0.23,311,135,40753,754,0.292018779342723,0.00330170221091763,0.292018779342723,0.697309417040359,0.411647915287889,0.644677478356298,0.687857221066462
0.24,309,125,40763,756,0.290140845070423,0.00305713167677558,0.290140845070423,0.711981566820276,0.412274849899933,0.655887126982145,0.701877881479816
0.25,305,121,40767,760,0.286384976525822,0.00295930346311876,0.286384976525822,0.715962441314554,0.409121395036888,0.65791143255932,0.705484942173365
0.26,299,117,40771,766,0.28075117370892,0.00286147524946194,0.28075117370892,0.71875,0.403781228899392,0.65833441264085,0.707816711590296
0.27,297,111,40777,768,0.27887323943662,0.00271473292897672,0.27887323943662,0.727941176470588,0.403258655804481,0.664954563413671,0.716517377284128
0.28,294,105,40783,771,0.276056338028169,0.00256799060849149,0.276056338028169,0.736842105263158,0.401639344262295,0.670962545308095,0.724862687660198
0.29,293,98,40790,772,0.275117370892019,0.00239679123459206,0.275117370892019,0.749360613810742,0.402472527472527,0.68037153394345,0.736785758745176
0.3,292,95,40793,773,0.274178403755869,0.00232342007434944,0.274178403755869,0.754521963824289,0.402203856749311,0.684029213173488,0.741657236263045
0.31,287,92,40796,778,0.269483568075117,0.00225004891410683,0.269483568075117,0.757255936675462,0.397506925207756,0.684387712161594,0.743924034389837
0.32,285,91,40796,781,0.267354596622889,0.0022256462934429,0.267354596622889,0.757978723404255,0.395284327323162,0.684128777181587,0.744452490560182
0.33,284,89,40798,782,0.266416510318949,0.00217673099029031,0.266416510318949,0.761394101876676,0.394718554551772,0.686380437873187,0.747641140593233
0.34,280,88,40798,787,0.262417994376757,0.0021523259795529,0.262417994376757,0.760869565217391,0.390243902439024,0.684399712437096,0.746824411756939
0.35,276,87,40799,791,0.258669165885661,0.00212786772978526,0.258669165885661,0.760330578512397,0.386013986013986,0.682472727272727,0.746005834024674
0.36,273,81,40805,794,0.255857544517338,0.00198111823117938,0.255857544517338,0.771186440677966,0.38423645320197,0.689496360124796,0.756108262264513
0.37,271,79,40807,796,0.25398313027179,0.00193220173164408,0.25398313027179,0.774285714285714,0.382498235709245,0.691015449227539,0.758893171042781
0.38,262,73,40812,806,0.245318352059925,0.00178549590314296,0.245318352059925,0.782089552238806,0.373485388453314,0.692906036092097,0.7655056699838
0.39,260,71,40814,808,0.243445692883895,0.00173657820716644,0.243445692883895,0.785498489425982,0.371694067190851,0.694531741043369,0.768555373448841
0.4,259,67,40818,809,0.24250936329588,0.0016387428152134,0.24250936329588,0.794478527607362,0.371592539454806,0.7006683640993,0.776969228941428
0.41,258,60,40825,810,0.241573033707865,0.00146753087929559,0.241573033707865,0.811320754716981,0.372294372294372,0.712475633528265,0.792807594012413
0.42,250,60,40825,818,0.234082397003745,0.00146753087929559,0.234082397003745,0.806451612903226,0.362844702467344,0.705043132050431,0.787389297742298
0.43,246,58,40827,822,0.230337078651685,0.00141861318331907,0.230337078651685,0.809210526315789,0.358600583090379,0.704989885367498,0.789564001525359
0.44,246,57,40828,822,0.230337078651685,0.00139415433533081,0.230337078651685,0.811881188118812,0.358862144420131,0.706896551724138,0.792081101759755
0.45,244,56,40829,824,0.228464419475655,0.00136969548734255,0.228464419475655,0.813333333333333,0.35672514619883,0.706884798909339,0.793227758465302
0.46,244,55,40830,824,0.228464419475655,0.00134523663935429,0.228464419475655,0.816053511705686,0.356986100950988,0.708817498291182,0.795789201756652
0.47,240,53,40832,828,0.224719101123595,0.00129631894337777,0.224719101123595,0.819112627986348,0.352681851579721,0.708825573314802,0.798208640674394
0.48,236,50,40835,832,0.220973782771536,0.00122294239941299,0.220973782771536,0.825174825174825,0.348596750369276,0.710843373493976,0.803424565188081
0.49,236,50,40835,832,0.220973782771536,0.00122294239941299,0.220973782771536,0.825174825174825,0.348596750369276,0.710843373493976,0.803424565188081
0.5,232,46,40838,837,0.217025257249766,0.00112513452695431,0.217025257249766,0.834532374100719,0.344469190794358,0.714881276055827,0.811666493470505
0.51,229,46,40838,840,0.21421889616464,0.00112513452695431,0.21421889616464,0.832727272727273,0.34077380952381,0.711830316328396,0.809583814624243
0.52,224,43,40841,845,0.209541627689429,0.0010517561882399,0.209541627689429,0.838951310861423,0.335329341317365,0.712975098296199,0.814721451978825
0.53,222,42,40842,847,0.207670720299345,0.00102729674200176,0.207670720299345,0.840909090909091,0.333083270817704,0.713017192518421,0.816265608504132
0.54,219,41,40843,850,0.204864359214219,0.00100283729576362,0.204864359214219,0.842307692307692,0.329571106094808,0.711990820424555,0.817133990912114
0.55,217,39,40845,852,0.202993451824135,0.00095391840328735,0.202993451824135,0.84765625,0.327547169811321,0.714230396902227,0.821815591135776
0.56,214,37,40847,855,0.200187090739008,0.000904999510811075,0.200187090739008,0.852589641434263,0.324242424242424,0.715437561455261,0.82593908823417
0.57,213,36,40848,856,0.199251637043966,0.000880540064572938,0.199251637043966,0.855421686746988,0.323216995447648,0.716603997625173,0.828410797489314
0.58,212,35,40848,858,0.198130841121495,0.000856101558104836,0.198130841121495,0.8582995951417,0.321943811693242,0.717642373556352,0.830888630190143
0.59,212,34,40849,858,0.198130841121495,0.000831641513587555,0.198130841121495,0.861788617886179,0.322188449848024,0.71993607670795,0.834125438254772
0.6,211,33,40850,859,0.197196261682243,0.000807181469070274,0.197196261682243,0.864754098360656,0.321156773211568,0.721149979895456,0.836709854731056
0.61,207,30,40853,863,0.193457943925234,0.000733801335518431,0.193457943925234,0.873417721518987,0.316755929609793,0.723776223776224,0.844045215987081
0.62,205,30,40853,865,0.191588785046729,0.000733801335518431,0.191588785046729,0.872340425531915,0.314176245210728,0.721532091097309,0.842694342694343
0.63,203,30,40853,867,0.189719626168224,0.000733801335518431,0.189719626168224,0.871244635193133,0.311588641596316,0.71925802417674,0.841321296676241
0.64,199,29,40854,871,0.185981308411215,0.00070934129100115,0.185981308411215,0.87280701754386,0.306625577812018,0.717041119118271,0.842019271051529
0.65,199,29,40854,871,0.185981308411215,0.00070934129100115,0.185981308411215,0.87280701754386,0.306625577812018,0.717041119118271,0.842019271051529
0.66,195,28,40855,875,0.182242990654206,0.000684881246483869,0.182242990654206,0.874439461883408,0.301624129930394,0.714747736093144,0.842747111681643
0.67,188,26,40857,882,0.175700934579439,0.000635961157449307,0.175700934579439,0.878504672897196,0.292834890965732,0.711170449488207,0.845037828215398
0.68,180,26,40857,890,0.168224299065421,0.000635961157449307,0.168224299065421,0.87378640776699,0.282131661442006,0.700870361887311,0.83894785417628
0.69,175,26,40857,895,0.163551401869159,0.000635961157449307,0.163551401869159,0.870646766169154,0.27537372147915,0.694120391973868,0.834907888521493
0.7,171,25,40858,899,0.15981308411215,0.000611501112932026,0.15981308411215,0.872448979591837,0.270142180094787,0.691155492154066,0.8355587808418
0.71,168,25,40858,902,0.157009345794393,0.000611501112932026,0.157009345794393,0.870466321243523,0.26603325415677,0.686868686868687,0.832989690721649
0.72,166,25,40858,904,0.155140186915888,0.000611501112932026,0.155140186915888,0.869109947643979,0.263283108643933,0.683955404750364,0.831234506693109
