Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	blackc1	Eurasian Blackcap	0.8957
2	Spectrogram 1	1	12.0	15.0	150	15000	blackc1	Eurasian Blackcap	0.9229
3	Spectrogram 1	1	14.0	17.0	150	15000	blackc1	Eurasian Blackcap	0.9854
4	Spectrogram 1	1	26.0	29.0	150	15000	carcro1	Carrion Crow	0.2096
5	Spectrogram 1	1	28.0	31.0	150	15000	carcro1	Carrion Crow	0.2187
6	Spectrogram 1	1	34.0	37.0	150	15000	carcro1	Carrion Crow	0.2265
7	Spectrogram 1	1	36.0	39.0	150	15000	carcro1	Carrion Crow	0.5805
8	Spectrogram 1	1	40.0	43.0	150	15000	whtdip1	White-throated Dipper	0.3760
9	Spectrogram 1	1	50.0	53.0	150	15000	blackc1	Eurasian Blackcap	0.3771
10	Spectrogram 1	1	52.0	55.0	150	15000	blackc1	Eurasian Blackcap	0.3749
