Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
1	Spectrogram 1	1	0	3.0	150	15000	trepip	Tree Pipit	0.1251
2	Spectrogram 1	1	6.0	9.0	150	15000	melwar1	Melodious Warbler	0.1529
3	Spectrogram 1	1	6.0	9.0	150	15000	sarwar1	Sardinian Warbler	0.1105
4	Spectrogram 1	1	7.0	10.0	150	15000	subwar6	Western Subalpine Warbler	0.1374
5	Spectrogram 1	1	11.0	14.0	150	15000	zitcis1	Zitting Cisticola	0.1065
6	Spectrogram 1	1	27.0	30.0	150	15000	cetwar1	Cetti's Warbler	0.2531
